config_id,curvature_lambda,curvature_mode,curvature_tau,mean_delta,mean_step_curvature_coef,mean_step_primary_coef,median_delta,nonharm,rows,shrink_curvature,signed_curvature_coef,wins,worst_delta
788,50.0,signed_d2_lr,0.1,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,1,0,15,-6.289566272098146
789,50.0,signed_d2_lr,0.1,-36.181213549694434,-6.425908769529545e-07,0.04145013660793511,-40.477293275340145,15,15,1,1,15,-6.289447255439429
790,50.0,signed_d2_lr,0.1,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,0,0,15,-6.289566272098146
791,50.0,signed_d2_lr,0.1,-36.18116765100508,-1.1245340346676705e-06,0.04145013660793511,-40.477293275340145,15,15,0,1,15,-6.289357993252354
792,50.0,signed_d2_lr,0.2,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,1,0,15,-6.289566272098146
793,50.0,signed_d2_lr,0.2,-36.18125944841979,-1.606477192464802e-07,0.041450136610610956,-40.477293275340145,15,15,1,1,15,-6.2895365179337475
794,50.0,signed_d2_lr,0.2,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,0,0,15,-6.289566272098146
795,50.0,signed_d2_lr,0.2,-36.181247973747446,-2.8113350868134033e-07,0.041450136610610956,-40.477293275340145,15,15,0,1,15,-6.289514202386936
796,50.0,signed_d2_lr,0.5,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,1,0,15,-6.289566272098146
797,50.0,signed_d2_lr,0.5,-36.18127230006287,-2.5703635079806057e-08,0.04145013661136018,-40.477293275340145,15,15,1,1,15,-6.289561511432062
798,50.0,signed_d2_lr,0.5,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,0,0,15,-6.289566272098146
799,50.0,signed_d2_lr,0.5,-36.18127046411535,-4.49813613896606e-08,0.04145013661136018,-40.477293275340145,15,15,0,1,15,-6.2895579409445235
800,50.0,diff_drop,0.001,-35.56934370597549,0.0064273908656447745,0.0414501009245367,-40.477293275340145,15,15,1,0,15,-5.09986220083446
801,50.0,diff_drop,0.001,-35.56934370597549,0.0064273908656447745,0.0414501009245367,-40.477293275340145,15,15,1,1,15,-5.09986220083446
