config_id,curvature_lambda,curvature_mode,curvature_tau,mean_delta,mean_step_curvature_coef,mean_step_primary_coef,median_delta,nonharm,pair_index,rows,shrink_curvature,signed_curvature_coef,smooth_fit_start_step,smooth_lambda,smooth_max_mode,smooth_nuisance_lambda,smooth_retention_power,smooth_rho,smooth_ridge_tau,source_decoupled_mean_delta,source_decoupled_worst_delta,source_pair_config_id,step_fit_start_step,step_lambda,step_max_mode,step_nuisance_lambda,step_retention_power,step_rho,step_ridge_tau,wins,worst_delta
15621,10.0,signed_d2_lr,0.003,-37.40862480411366,0.017734713516130922,0.04073728349207993,-40.477293275340145,15,15,15,1,1,12000,4.0,8,0.05,0.25,0.2,0.05,-36.17898289741352,-6.3129230545310495,9995,3000,20.0,8,0.01,0.0,0.35,0.05,15,-10.801466736917275
16645,10.0,signed_d2_lr,0.003,-37.408473111377866,0.017734713516130922,0.04073728349207993,-40.47614276278092,15,16,15,1,1,12000,4.0,12,0.05,0.25,0.2,0.05,-36.17883120467772,-6.3129230545310495,9395,3000,20.0,8,0.01,0.0,0.35,0.05,15,-10.801466736917275
17669,10.0,signed_d2_lr,0.003,-37.40846171037536,0.017734713516130922,0.04073728349207993,-40.47600157834289,15,17,15,1,1,12000,4.0,16,0.05,0.25,0.2,0.05,-36.17881980367522,-6.3129230545310495,8795,3000,20.0,8,0.01,0.0,0.35,0.05,15,-10.801466736917275
9477,10.0,signed_d2_lr,0.003,-37.405089108701596,0.017684230276552308,0.04072901540995522,-40.477293275340145,15,9,15,1,1,12000,4.0,8,0.05,0.25,0.2,0.05,-36.179421584866645,-6.3157428352411005,9996,3000,20.0,12,0.01,0.0,0.35,0.05,15,-10.831329611881024
11525,10.0,signed_d2_lr,0.003,-37.4049374159658,0.017684230276552308,0.04072901540995522,-40.47614276278092,15,11,15,1,1,12000,4.0,12,0.05,0.25,0.2,0.05,-36.17926989213085,-6.3157428352411005,9396,3000,20.0,12,0.01,0.0,0.35,0.05,15,-10.831329611881024
12549,10.0,signed_d2_lr,0.003,-37.404926014963294,0.017684230276552308,0.04072901540995522,-40.47600157834289,15,12,15,1,1,12000,4.0,16,0.05,0.25,0.2,0.05,-36.17925849112835,-6.3157428352411005,8796,3000,20.0,12,0.01,0.0,0.35,0.05,15,-10.831329611881024
10501,10.0,signed_d2_lr,0.003,-37.404357174110345,0.01767456361608262,0.04072714250554868,-40.477293275340145,15,10,15,1,1,12000,4.0,8,0.05,0.25,0.2,0.05,-36.179364219807674,-6.3156883827064085,9997,3000,20.0,16,0.01,0.0,0.35,0.05,15,-10.834074675190774
13573,10.0,signed_d2_lr,0.003,-37.404205481374554,0.01767456361608262,0.04072714250554868,-40.47614276278092,15,13,15,1,1,12000,4.0,12,0.05,0.25,0.2,0.05,-36.17921252707188,-6.3156883827064085,9397,3000,20.0,16,0.01,0.0,0.35,0.05,15,-10.834074675190774
14597,10.0,signed_d2_lr,0.003,-37.40419408037205,0.01767456361608262,0.04072714250554868,-40.47600157834289,15,14,15,1,1,12000,4.0,16,0.05,0.25,0.2,0.05,-36.17920112606938,-6.3156883827064085,8797,3000,20.0,16,0.01,0.0,0.35,0.05,15,-10.834074675190774
262,10.0,signed_d2_lr,0.003,-37.398269949456235,0.024156794606580285,0.04145027878287932,-40.477293275340145,15,0,15,0,0,12000,4.0,8,0.05,0.25,0.2,0.05,-36.181274747994884,-6.289566272098146,9817,3000,20.0,16,0.015,0.0,0.75,0.05,15,-9.725894571824545
2310,10.0,signed_d2_lr,0.003,-37.39811825672044,0.024156794606580285,0.04145027878287932,-40.47614276278092,15,2,15,0,0,12000,4.0,12,0.05,0.25,0.2,0.05,-36.1811230552591,-6.289566272098146,9217,3000,20.0,16,0.015,0.0,0.75,0.05,15,-9.725894571824545
3334,10.0,signed_d2_lr,0.003,-37.398106855717934,0.024156794606580285,0.04145027878287932,-40.47600157834289,15,3,15,0,0,12000,4.0,16,0.05,0.25,0.2,0.05,-36.18111165425659,-6.289566272098146,8617,3000,20.0,16,0.015,0.0,0.75,0.05,15,-9.725894571824545
