cfg_curvature_lambda,cfg_curvature_mode,cfg_curvature_tau,cfg_fit_start_step,cfg_max_mode,cfg_nuisance_lambda,cfg_response_lambda,cfg_retention_power,cfg_rho,cfg_ridge_tau,cfg_shrink_curvature,cfg_signed_curvature_coef,config,delta_first_vs_pure_pct,delta_refit_mpl_vs_pure_pct,delta_vs_first_error_pct,delta_vs_pure_pct,final_error_mae,final_step_curvature_coef,final_step_primary_coef,final_target_retention,first_error_mae,first_step_curvature_coef,first_step_primary_coef,first_target_retention,forced_channel,pure_mpl_mae,refit_mpl_mae,scale,test_curve,test_label,win_vs_first_error,win_vs_pure
10.0,signed_d2_lr,0.003,3000,16,0.01,20.0,0.0,0.35,0.05,False,False,forced_step_best_worst,-11.824860881612342,-1.1809888473312324,-1.5243327980416832,-13.168943446912806,0.0037727141580597427,0.0,0.03271135691193728,0.1361799215249352,0.0038311130711330865,0.0,0.03245896168049874,0.1361799215249352,step,0.004344890305179187,0.004293577635246245,100,wsd_20000_24000.csv,WSD sharp,1,1
10.0,signed_d2_lr,0.003,3000,16,0.01,20.0,0.0,0.35,0.05,False,False,forced_step_best_worst,-10.17002015528159,-1.5969153419752025,-2.0888550300772635,-12.046438207785382,0.0031820549994197463,0.0,0.03271135691193728,0.175707862009025,0.003249941567323352,0.0,0.03245896168049874,0.175707862009025,step,0.0036178807709199698,0.003560106277834778,100,wsdld_20000_24000.csv,WSD linear,1,1
10.0,signed_d2_lr,0.003,3000,16,0.01,20.0,0.0,0.35,0.05,False,False,forced_step_best_worst,-39.52011997993067,1.173446416326973,1.0826879882533724,-38.865311583643326,0.004846803490335393,0.0,0.03271135691193728,0.37625370599245184,0.004794889794480565,0.0,0.03245896168049874,0.3762537059924519,step,0.007928074250295227,0.008021105953469058,100,wsdcon_3.csv,WSD-con 3e-5,0,1
10.0,signed_d2_lr,0.003,3000,16,0.01,20.0,0.0,0.35,0.05,False,False,forced_step_best_worst,-14.971616088172112,-0.11200595972205019,-0.34119065656581515,-15.261724989508185,0.005301817121603055,0.0,0.03271135691193728,0.6901130079254594,0.005319968356567923,0.0,0.03245896168049874,0.6901130079254595,step,0.0062566970131816045,0.00624968913964509,100,wsdcon_9.csv,WSD-con 9e-5,1,1
10.0,signed_d2_lr,0.003,3000,16,0.01,20.0,0.0,0.35,0.05,False,False,forced_step_best_worst,-11.925404960209818,-1.5085601162281526,-1.8822938703982328,-13.583227664021846,0.002308385664653142,0.0,0.03271135691193728,0.8289938717705626,0.0023526698245513815,0.0,0.03245896168049874,0.8289938717705627,step,0.0026712241180200675,0.0026309270963605497,100,wsdcon_18.csv,WSD-con 18e-5,1,1
10.0,signed_d2_lr,0.003,3000,16,0.01,20.0,0.0,0.35,0.05,False,False,forced_step_best_worst,-10.79918705556102,0.39984038298461755,0.20853809255456657,-10.613169381703514,0.0065041910863,0.007960283958097268,0.04870270933905882,0.1355685780100145,0.006490655596923888,0.0057436867450189,0.048114945477033697,0.13557263029663846,step,0.007276453411883992,0.007305547611073765,400,wsd_20000_24000.csv,WSD sharp,0,1
10.0,signed_d2_lr,0.003,3000,16,0.01,20.0,0.0,0.35,0.05,False,False,forced_step_best_worst,-10.104301901034663,0.30280498891079866,0.06895716210411074,-10.042312378771934,0.005456490496511919,0.007960283958097268,0.04870270933905882,0.17615527064046557,0.005452730448337558,0.0057436867450189,0.048114945477033697,0.17615141182860058,step,0.006065618893503333,0.0060839858901211765,400,wsdld_20000_24000.csv,WSD linear,0,1
10.0,signed_d2_lr,0.003,3000,16,0.01,20.0,0.0,0.35,0.05,False,False,forced_step_best_worst,-34.081332331298285,2.925719113409464,3.9265938741150475,-31.492973964720782,0.010535305640735727,0.007960283958097268,0.04870270933905882,0.36437304955441957,0.010137256738633239,0.0057436867450189,0.048114945477033697,0.36722119234908585,step,0.015378430871178581,0.015828360562519114,400,wsdcon_3.csv,WSD-con 3e-5,0,1
10.0,signed_d2_lr,0.003,3000,16,0.01,20.0,0.0,0.35,0.05,False,False,forced_step_best_worst,-16.151134224162778,2.0567993487755176,2.3985993339362244,-14.139935888150468,0.007755641725111473,0.007960283958097268,0.04870270933905882,0.6747702381511353,0.007573972471849186,0.0057436867450189,0.048114945477033697,0.6786758805706828,step,0.009032886016726277,0.009218674357493939,400,wsdcon_9.csv,WSD-con 9e-5,0,1
10.0,signed_d2_lr,0.003,3000,16,0.01,20.0,0.0,0.35,0.05,False,False,forced_step_best_worst,-9.391558931944655,5.093968467867471,5.67287187875567,-4.251458158816046,0.004661852615433348,0.007960283958097268,0.04870270933905882,0.8157827916012721,0.004411588833113336,0.0057436867450189,0.048114945477033697,0.8193715684261115,step,0.004868849724276598,0.0051168673939791,400,wsdcon_18.csv,WSD-con 18e-5,0,1
