center,gate_sign,gate_tau,mean_delta,median_delta,mid_config_id,mid_mean_delta,mid_median_delta,mid_nonharm,mid_rows,mid_wins,mid_worst_delta,nonharm,rows,shrink_gate,time_power,width,wins,worst_delta
0.5,signed,0.01,-37.65419280659913,-40.477293275340145,750,-16.935310417892406,-18.75344293967255,3,3,3,-10.62985398905022,15,15,1,1.0,0.05,15,-10.62985398905022
0.5,signed,0.01,-37.654115732455566,-40.477293275340145,751,-16.93492504717456,-18.75302695724005,3,3,3,-10.629179225756646,15,15,0,1.0,0.05,15,-10.629179225756646
0.5,nonpos,0.03,-37.668246127276035,-40.477293275340145,752,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,1,1.0,0.05,15,-10.801466736917275
0.5,nonpos,0.03,-37.668246127276035,-40.477293275340145,753,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,0,1.0,0.05,15,-10.801466736917275
0.5,signed,0.03,-37.66467767206364,-40.477293275340145,754,-16.987734745214983,-18.778333565947168,3,3,3,-10.750700801442248,15,15,1,1.0,0.05,15,-10.750700801442248
0.5,signed,0.03,-37.66466417173483,-40.477293275340145,755,-16.987667243570918,-18.77835000382725,3,3,3,-10.750501195117746,15,15,0,1.0,0.05,15,-10.750501195117746
0.5,nonpos,0.1,-37.668246127276035,-40.477293275340145,756,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,1,1.0,0.05,15,-10.801466736917275
0.5,nonpos,0.1,-37.668246127276035,-40.477293275340145,757,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,0,1.0,0.05,15,-10.801466736917275
0.5,signed,0.1,-37.66785007468681,-40.477293275340145,758,-17.00359675833081,-18.776479939261137,3,3,3,-10.79583239026427,15,15,1,1.0,0.05,15,-10.79583239026427
0.5,signed,0.1,-37.667848576318754,-40.477293275340145,759,-17.003589266490515,-18.776481763493415,3,3,3,-10.79581023660533,15,15,0,1.0,0.05,15,-10.79581023660533
0.5,nonpos,0.001,-37.668246127276035,-40.477293275340145,760,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,1,2.0,0.05,15,-10.801466736917275
0.5,nonpos,0.001,-37.668246127276035,-40.477293275340145,761,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,0,2.0,0.05,15,-10.801466736917275
0.5,signed,0.001,-37.643302381270544,-40.477293275340145,762,-16.880858291249456,-18.68087060737832,3,3,3,-10.561386971628883,15,15,1,2.0,0.05,15,-10.561386971628883
0.5,signed,0.001,-37.643174807328606,-40.477293275340145,763,-16.880220421539775,-18.68000171310652,3,3,3,-10.560488360340614,15,15,0,2.0,0.05,15,-10.560488360340614
0.5,nonpos,0.003,-37.668246127276035,-40.477293275340145,764,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,1,2.0,0.05,15,-10.801466736917275
0.5,nonpos,0.003,-37.668246127276035,-40.477293275340145,765,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,0,2.0,0.05,15,-10.801466736917275
0.5,signed,0.003,-37.646835997979956,-40.477293275340145,766,-16.89852637479652,-18.706684631934635,3,3,3,-10.584802798197057,15,15,1,2.0,0.05,15,-10.584802798197057
0.5,signed,0.003,-37.64672087131943,-40.477293275340145,767,-16.8979507414939,-18.705900552157107,3,3,3,-10.583991831638395,15,15,0,2.0,0.05,15,-10.583991831638395
0.5,nonpos,0.01,-37.668246127276035,-40.477293275340145,768,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,1,2.0,0.05,15,-10.801466736917275
0.5,nonpos,0.01,-37.668246127276035,-40.477293275340145,769,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,0,2.0,0.05,15,-10.801466736917275
0.5,signed,0.01,-37.66058979677713,-40.477293275340145,770,-16.967295368782413,-18.78067105588216,3,3,3,-10.698755334929,15,15,1,2.0,0.05,15,-10.698755334929
0.5,signed,0.01,-37.66056296042431,-40.477293275340145,771,-16.967161187018306,-18.78071546257434,3,3,3,-10.698370889263131,15,15,0,2.0,0.05,15,-10.698370889263131
0.5,nonpos,0.03,-37.668246127276035,-40.477293275340145,772,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,1,2.0,0.05,15,-10.801466736917275
0.5,nonpos,0.03,-37.668246127276035,-40.477293275340145,773,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,0,2.0,0.05,15,-10.801466736917275
0.5,signed,0.03,-37.66688466127495,-40.477293275340145,774,-16.998769691271495,-18.777034713897667,3,3,3,-10.783202583526752,15,15,1,2.0,0.05,15,-10.783202583526752
0.5,signed,0.03,-37.666879889066735,-40.477293275340145,775,-16.998745830230373,-18.7770426078268,3,3,3,-10.78313422135395,15,15,0,2.0,0.05,15,-10.78313422135395
0.5,nonpos,0.1,-37.668246127276035,-40.477293275340145,776,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,1,2.0,0.05,15,-10.801466736917275
0.5,nonpos,0.1,-37.668246127276035,-40.477293275340145,777,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,0,2.0,0.05,15,-10.801466736917275
0.5,signed,0.1,-37.66811461353398,-40.477293275340145,778,-17.004919452566657,-18.776324486113083,3,3,3,-10.799702475822926,15,15,1,2.0,0.05,15,-10.799702475822926
0.5,signed,0.1,-37.66811415255027,-40.477293275340145,779,-17.00491714764809,-18.77632524859574,3,3,3,-10.799695872246984,15,15,0,2.0,0.05,15,-10.799695872246984
0.5,nonpos,0.001,-37.668246127276035,-40.477293275340145,780,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,1,0.0,0.1,15,-10.801466736917275
0.5,nonpos,0.001,-37.668246127276035,-40.477293275340145,781,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,0,0.0,0.1,15,-10.801466736917275
0.5,signed,0.001,-36.56481403428847,-40.477293275340145,782,-11.488416556339056,-12.984792254038613,3,3,3,-2.7807986441787835,15,15,1,0.0,0.1,15,-2.7807986441787835
0.5,signed,0.001,-36.221427385494714,-40.477293275340145,783,-9.771483312370314,-10.82117844776681,3,3,3,-0.7097373529941331,15,15,0,0.0,0.1,15,-0.7097373529941331
0.5,nonpos,0.003,-37.668246127276035,-40.477293275340145,784,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,1,0.0,0.1,15,-10.801466736917275
0.5,nonpos,0.003,-37.668246127276035,-40.477293275340145,785,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,0,0.0,0.1,15,-10.801466736917275
0.5,signed,0.003,-36.581423602526606,-40.477293275340145,786,-11.571464397529793,-13.089465078254914,3,3,3,-2.880957501100778,15,15,1,0.0,0.1,15,-2.880957501100778
0.5,signed,0.003,-36.24232501106641,-40.477293275340145,787,-9.875971440228778,-10.95286936316161,3,3,3,-0.8357587850954862,15,15,0,0.0,0.1,15,-0.8357587850954862
0.5,nonpos,0.01,-37.668246127276035,-40.477293275340145,788,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,1,0.0,0.1,15,-10.801466736917275
0.5,nonpos,0.01,-37.668246127276035,-40.477293275340145,789,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,0,0.0,0.1,15,-10.801466736917275
0.5,signed,0.01,-36.741704786500016,-40.477293275340145,790,-12.372870317396822,-14.119008560102497,3,3,3,-3.8661011840401605,15,15,1,0.0,0.1,15,-3.8661011840401605
0.5,signed,0.01,-36.44787023276411,-40.477293275340145,791,-10.903697548717327,-12.248158036019163,3,3,3,-2.0752818943379436,15,15,0,0.0,0.1,15,-2.0752818943379436
0.5,nonpos,0.03,-37.668246127276035,-40.477293275340145,792,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,1,0.0,0.1,15,-10.801466736917275
0.5,nonpos,0.03,-37.668246127276035,-40.477293275340145,793,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,0,0.0,0.1,15,-10.801466736917275
0.5,signed,0.03,-37.258801179381166,-40.477293275340145,794,-14.958352281802533,-17.048782000652928,3,3,3,-7.488563267976467,15,15,1,0.0,0.1,15,-7.488563267976467
0.5,signed,0.03,-37.13948380556201,-40.477293275340145,795,-14.361765412706795,-16.39879342038012,3,3,3,-6.633120048456287,15,15,0,0.0,0.1,15,-6.633120048456287
