candidate,coef_0,coef_1,fit_objective,fit_start,kind,lambdas,localization,nuisance_lambda,residualized_corr,scale,signed,target_lambda,test_curve,test_label
continuous_lambda_projected_7_20,0.1261654360452499,,0.0006963297698314092,8000,adaptive_projected_raw,"7,20",1.0,0.02,0.05726490189790507,400,0,7.00325081270318,wsdld_20000_24000.csv,WSD linear
continuous_lambda_projected_7_20,0.09916063864387821,,0.0007429514214926068,8000,adaptive_projected_raw,"7,20",1.0,0.02,0.044712956776034186,400,0,20.0,wsdcon_3.csv,WSD-con 3e-5
continuous_lambda_projected_7_20,0.09916063864387821,,0.0007429514214926068,8000,adaptive_projected_raw,"7,20",1.0,0.02,0.044712956776034186,400,0,20.0,wsdcon_9.csv,WSD-con 9e-5
continuous_lambda_projected_7_20,0.09916063864387821,,0.0007429514214926068,8000,adaptive_projected_raw,"7,20",1.0,0.02,0.044712956776034186,400,0,20.0,wsdcon_18.csv,WSD-con 18e-5
continuous_lambda_projected_7_20,0.11802375650150526,,0.0006272584911475804,8000,adaptive_projected_raw,"7,20",1.0,0.05,0.052735462501774036,25,0,7.008313029715088,wsd_20000_24000.csv,WSD sharp
continuous_lambda_projected_7_20,0.11801950962841691,,0.0006272325430070331,8000,adaptive_projected_raw,"7,20",1.0,0.05,0.052733591435518874,25,0,7.00325081270318,wsdld_20000_24000.csv,WSD linear
continuous_lambda_projected_7_20,0.10167673326920587,,0.000670536701968301,8000,adaptive_projected_raw,"7,20",1.0,0.05,0.04569779332571856,25,0,20.0,wsdcon_3.csv,WSD-con 3e-5
continuous_lambda_projected_7_20,0.10167673326920587,,0.000670536701968301,8000,adaptive_projected_raw,"7,20",1.0,0.05,0.04569779332571856,25,0,20.0,wsdcon_9.csv,WSD-con 9e-5
continuous_lambda_projected_7_20,0.10167673326920587,,0.000670536701968301,8000,adaptive_projected_raw,"7,20",1.0,0.05,0.04569779332571856,25,0,20.0,wsdcon_18.csv,WSD-con 18e-5
continuous_lambda_projected_7_20,0.17462858834415798,,0.0012508181946659298,8000,adaptive_projected_raw,"7,20",1.0,0.05,0.08132125708222053,100,0,7.008313029715088,wsd_20000_24000.csv,WSD sharp
continuous_lambda_projected_7_20,0.17462298586553987,,0.0012507600687595175,8000,adaptive_projected_raw,"7,20",1.0,0.05,0.0813190062476677,100,0,7.00325081270318,wsdld_20000_24000.csv,WSD linear
continuous_lambda_projected_7_20,0.14992196410257216,,0.0013460765064211124,8000,adaptive_projected_raw,"7,20",1.0,0.05,0.0699829251245167,100,0,20.0,wsdcon_3.csv,WSD-con 3e-5
continuous_lambda_projected_7_20,0.14992196410257216,,0.0013460765064211124,8000,adaptive_projected_raw,"7,20",1.0,0.05,0.0699829251245167,100,0,20.0,wsdcon_9.csv,WSD-con 9e-5
continuous_lambda_projected_7_20,0.14992196410257216,,0.0013460765064211124,8000,adaptive_projected_raw,"7,20",1.0,0.05,0.0699829251245167,100,0,20.0,wsdcon_18.csv,WSD-con 18e-5
continuous_lambda_projected_7_20,0.23264160734355455,,0.0019734020375982314,8000,adaptive_projected_raw,"7,20",1.0,0.05,0.11406816049543858,400,0,7.008313029715088,wsd_20000_24000.csv,WSD sharp
continuous_lambda_projected_7_20,0.2326344751790661,,0.001973297351656774,8000,adaptive_projected_raw,"7,20",1.0,0.05,0.11406544803504422,400,0,7.00325081270318,wsdld_20000_24000.csv,WSD linear
continuous_lambda_projected_7_20,0.1995301382495358,,0.0021434916079057474,8000,adaptive_projected_raw,"7,20",1.0,0.05,0.09780853303761358,400,0,20.0,wsdcon_3.csv,WSD-con 3e-5
continuous_lambda_projected_7_20,0.1995301382495358,,0.0021434916079057474,8000,adaptive_projected_raw,"7,20",1.0,0.05,0.09780853303761358,400,0,20.0,wsdcon_9.csv,WSD-con 9e-5
