basis_dim,coef,denominator,fit_start,lambda,n_cal,nuisance,response_rule,ridge,shrinkage,source_dot,source_full_norm,source_perp_norm,source_retention,test_curve,test_label,test_scale,train_scale,variant
4,0.07883317335826752,0.0021588825415218256,8000,9.025353913540956,500,mpl_ld4,observation_bracket,0.002,sample_size_ridge,0.00017019156165592726,0.34187450119553464,0.01260486182081445,0.0013593858914163763,constant_24000.csv,Constant 24k,25,400,observation_bracket_mplld_neff
4,0.07883317335826752,0.0021588825415218256,8000,9.025353913540956,500,mpl_ld4,observation_bracket,0.002,sample_size_ridge,0.00017019156165592726,0.34187450119553464,0.01260486182081445,0.0013593858914163763,constant_72000.csv,Constant 72k,25,400,observation_bracket_mplld_neff
4,0.07877182557247302,0.002158656368343973,8000,9.031125300869606,500,mpl_ld4,observation_bracket,0.002,sample_size_ridge,0.00017004130291809952,0.3416543580606147,0.012595886961384384,0.0013592006680934836,wsd_20000_24000.csv,WSD sharp,100,400,observation_bracket_mplld_neff
4,0.07880917466977902,0.002158794038417391,8000,9.02761081624502,500,mpl_ld4,observation_bracket,0.002,sample_size_ridge,0.00017013277644971383,0.34178838077740026,0.012601350658456856,0.0013593134197573322,wsdld_20000_24000.csv,WSD linear,100,400,observation_bracket_mplld_neff
4,0.031783300219353904,0.002036467402997324,8000,18.05070782708191,500,mpl_ld4,observation_bracket,0.002,sample_size_ridge,6.472565485639192e-05,0.16972427165544524,0.006038824637073331,0.0012659510960544888,wsdcon_3.csv,WSD-con 3e-5,100,400,observation_bracket_mplld_neff
4,0.031783300219353904,0.002036467402997324,8000,18.05070782708191,500,mpl_ld4,observation_bracket,0.002,sample_size_ridge,6.472565485639192e-05,0.16972427165544524,0.006038824637073331,0.0012659510960544888,wsdcon_9.csv,WSD-con 9e-5,100,400,observation_bracket_mplld_neff
4,0.031783300219353904,0.002036467402997324,8000,18.05070782708191,500,mpl_ld4,observation_bracket,0.002,sample_size_ridge,6.472565485639192e-05,0.16972427165544524,0.006038824637073331,0.0012659510960544888,wsdcon_18.csv,WSD-con 18e-5,100,400,observation_bracket_mplld_neff
4,0.07882626972788319,0.0021588570786442236,8000,9.02600304324791,500,mpl_ld4,observation_bracket,0.002,sample_size_ridge,0.0001701746503851595,0.34184972687100396,0.012603851738425974,0.001359365041869413,cosine_24000.csv,Cosine 24k,100,400,observation_bracket_mplld_neff
4,0.07883317335826752,0.0021588825415218256,8000,9.025353913540956,500,mpl_ld4,observation_bracket,0.002,sample_size_ridge,0.00017019156165592726,0.34187450119553464,0.01260486182081445,0.0013593858914163763,constant_24000.csv,Constant 24k,100,400,observation_bracket_mplld_neff
4,0.07883317335826752,0.0021588825415218256,8000,9.025353913540956,500,mpl_ld4,observation_bracket,0.002,sample_size_ridge,0.00017019156165592726,0.34187450119553464,0.01260486182081445,0.0013593858914163763,constant_72000.csv,Constant 72k,100,400,observation_bracket_mplld_neff
4,0.07877182557247302,0.002158656368343973,8000,9.031125300869606,500,mpl_ld4,observation_bracket,0.002,sample_size_ridge,0.00017004130291809952,0.3416543580606147,0.012595886961384384,0.0013592006680934836,wsd_20000_24000.csv,WSD sharp,400,400,observation_bracket_mplld_neff
4,0.07880917466977902,0.002158794038417391,8000,9.02761081624502,500,mpl_ld4,observation_bracket,0.002,sample_size_ridge,0.00017013277644971383,0.34178838077740026,0.012601350658456856,0.0013593134197573322,wsdld_20000_24000.csv,WSD linear,400,400,observation_bracket_mplld_neff
4,0.031783300219353904,0.002036467402997324,8000,18.05070782708191,500,mpl_ld4,observation_bracket,0.002,sample_size_ridge,6.472565485639192e-05,0.16972427165544524,0.006038824637073331,0.0012659510960544888,wsdcon_3.csv,WSD-con 3e-5,400,400,observation_bracket_mplld_neff
4,0.031783300219353904,0.002036467402997324,8000,18.05070782708191,500,mpl_ld4,observation_bracket,0.002,sample_size_ridge,6.472565485639192e-05,0.16972427165544524,0.006038824637073331,0.0012659510960544888,wsdcon_9.csv,WSD-con 9e-5,400,400,observation_bracket_mplld_neff
4,0.031783300219353904,0.002036467402997324,8000,18.05070782708191,500,mpl_ld4,observation_bracket,0.002,sample_size_ridge,6.472565485639192e-05,0.16972427165544524,0.006038824637073331,0.0012659510960544888,wsdcon_18.csv,WSD-con 18e-5,400,400,observation_bracket_mplld_neff
4,0.07882626972788319,0.0021588570786442236,8000,9.02600304324791,500,mpl_ld4,observation_bracket,0.002,sample_size_ridge,0.0001701746503851595,0.34184972687100396,0.012603851738425974,0.001359365041869413,cosine_24000.csv,Cosine 24k,400,400,observation_bracket_mplld_neff
4,0.07883317335826752,0.0021588825415218256,8000,9.025353913540956,500,mpl_ld4,observation_bracket,0.002,sample_size_ridge,0.00017019156165592726,0.34187450119553464,0.01260486182081445,0.0013593858914163763,constant_24000.csv,Constant 24k,400,400,observation_bracket_mplld_neff
4,0.07883317335826752,0.0021588825415218256,8000,9.025353913540956,500,mpl_ld4,observation_bracket,0.002,sample_size_ridge,0.00017019156165592726,0.34187450119553464,0.01260486182081445,0.0013593858914163763,constant_72000.csv,Constant 72k,400,400,observation_bracket_mplld_neff
4,0.04735528061043357,0.0021724689574154367,8000,9.031125300869606,500,mpl_ld4,observation_bracket,0.002,sample_size_ridge,0.00010287787709586406,0.34163832611364137,0.013132743712394476,0.0014776710585123038,wsd_20000_24000.csv,WSD sharp,25,25,observation_bracket_mplld_neff_nolocality
4,0.04737830779412671,0.002172616531913509,8000,9.02761081624502,500,mpl_ld4,observation_bracket,0.002,sample_size_ridge,0.00010293489476760635,0.341772334069947,0.013138361081714456,0.0014777758946908194,wsdld_20000_24000.csv,WSD linear,25,25,observation_bracket_mplld_neff_nolocality
4,0.0186012135954047,0.0020400885888890905,8000,18.05070782708191,500,mpl_ld4,observation_bracket,0.002,sample_size_ridge,3.7948123595473736e-05,0.1697216607782859,0.006331555013508949,0.0013917019116719191,wsdcon_3.csv,WSD-con 3e-5,25,25,observation_bracket_mplld_neff_nolocality
4,0.0186012135954047,0.0020400885888890905,8000,18.05070782708191,500,mpl_ld4,observation_bracket,0.002,sample_size_ridge,3.7948123595473736e-05,0.1697216607782859,0.006331555013508949,0.0013917019116719191,wsdcon_9.csv,WSD-con 9e-5,25,25,observation_bracket_mplld_neff_nolocality
