attenuation,attenuation_factor,base_mae,coefficient,cooldown_support_span,corr_mae,delta_pct,effective_tau_steps,fit_start,group,ld_component,nonharm,split,tau_rule,tau_steps,test_curve,test_label,test_scale,train_scale,variant,win
none,1.0,0.0013816404339982303,1.0,2,0.0016382546423588868,18.573154204676754,256.0,,core_wsd,full,0,direct_no_source_fit,fixed_grid,256,wsdcon_18.csv,WSD-con 18e-5,100,,direct_mpl_ld_lag,0
none,1.0,0.0032781062167547585,1.0,21840,0.0032144069755236566,-1.9431719724494645,256.0,,extra_control,full,1,direct_no_source_fit,fixed_grid,256,cosine_24000.csv,Cosine 24k,100,,direct_mpl_ld_lag,1
none,1.0,0.001848699219840022,1.0,0,0.0018917219301822403,2.3271882132314348,256.0,,extra_control,full,0,direct_no_source_fit,fixed_grid,256,constant_24000.csv,Constant 24k,100,,direct_mpl_ld_lag,0
none,1.0,0.004776169698442608,1.0,0,0.0047598212182555005,-0.3422926993661535,256.0,,extra_control,full,1,direct_no_source_fit,fixed_grid,256,constant_72000.csv,Constant 72k,100,,direct_mpl_ld_lag,1
none,1.0,0.004701998914275349,1.0,4000,0.0035813056289117477,-23.83440119395088,256.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,256,wsd_20000_24000.csv,WSD sharp,400,,direct_mpl_ld_lag,1
none,1.0,0.0038535563963712593,1.0,4000,0.002775190647725442,-27.983650366743596,256.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,256,wsdld_20000_24000.csv,WSD linear,400,,direct_mpl_ld_lag,1
none,1.0,0.008173606778800102,1.0,2,0.006288915309030104,-23.05825960038016,256.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,256,wsdcon_3.csv,WSD-con 3e-5,400,,direct_mpl_ld_lag,1
none,1.0,0.006687305974578527,1.0,2,0.005764423900466957,-13.800506177223859,256.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,256,wsdcon_9.csv,WSD-con 9e-5,400,,direct_mpl_ld_lag,1
none,1.0,0.0025579541942073844,1.0,2,0.002455299039400985,-4.0131740841515935,256.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,256,wsdcon_18.csv,WSD-con 18e-5,400,,direct_mpl_ld_lag,1
none,1.0,0.007134640765897494,1.0,21840,0.008268938083004804,15.89845031201964,256.0,,extra_control,full,0,direct_no_source_fit,fixed_grid,256,cosine_24000.csv,Cosine 24k,400,,direct_mpl_ld_lag,0
none,1.0,0.001679822173746335,1.0,0,0.0016185041072900087,-3.650271285535822,256.0,,extra_control,full,1,direct_no_source_fit,fixed_grid,256,constant_24000.csv,Constant 24k,400,,direct_mpl_ld_lag,1
none,1.0,0.004118245803084534,1.0,0,0.0040894138130859745,-0.7001036697946716,256.0,,extra_control,full,1,direct_no_source_fit,fixed_grid,256,constant_72000.csv,Constant 72k,400,,direct_mpl_ld_lag,1
none,1.0,0.003408385839825258,1.0,4000,0.0026756393468696854,-21.498343420917955,512.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,512,wsd_20000_24000.csv,WSD sharp,25,,direct_mpl_ld_lag,1
none,1.0,0.0031360955249893426,1.0,4000,0.002322187258087267,-25.952916944544967,512.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,512,wsdld_20000_24000.csv,WSD linear,25,,direct_mpl_ld_lag,1
none,1.0,0.004487187642230267,1.0,2,0.0033357588296058474,-25.660366903045873,512.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,512,wsdcon_3.csv,WSD-con 3e-5,25,,direct_mpl_ld_lag,1
none,1.0,0.002926482771138891,1.0,2,0.003759189485534573,28.454181333574713,512.0,,core_wsd,full,0,direct_no_source_fit,fixed_grid,512,wsdcon_9.csv,WSD-con 9e-5,25,,direct_mpl_ld_lag,0
none,1.0,0.002504818961791151,1.0,2,0.0024513313654737755,-2.1353877119776876,512.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,512,wsdcon_18.csv,WSD-con 18e-5,25,,direct_mpl_ld_lag,1
none,1.0,0.004428106847791531,1.0,21840,0.00477436764536205,7.819612522295238,512.0,,extra_control,full,0,direct_no_source_fit,fixed_grid,512,cosine_24000.csv,Cosine 24k,25,,direct_mpl_ld_lag,0
