con18_center,con18_config_id,con18_gate_sign,con18_gate_tau,con18_mean_delta,con18_shrink_gate,con18_time_power,con18_width,con18_worst_delta,con9_center,con9_config_id,con9_gate_sign,con9_gate_tau,con9_mean_delta,con9_shrink_gate,con9_time_power,con9_width,con9_worst_delta,mean_delta,median_delta,nonharm,rows,wins,worst_delta
0.3,470,signed,0.01,-13.222079047033764,1,2.0,0.25,-12.658867610487102,0.2,51,signed,0.01,-17.48641773980782,0,2.0,0.05,-11.80343749520516,-37.81168003801162,-40.477293275340145,15,15,15,-11.80343749520516
0.3,470,signed,0.01,-13.222079047033764,1,2.0,0.25,-12.658867610487102,0.2,10,signed,0.01,-17.485034476000102,1,0.0,0.05,-11.6844842337675,-37.811403385250074,-40.477293275340145,15,15,15,-11.6844842337675
0.2,227,signed,0.003,-13.248982258246848,0,2.0,0.25,-12.233960242099684,0.2,54,signed,0.03,-17.456304361328275,1,2.0,0.05,-11.628590455941268,-37.81103800455833,-40.477293275340145,15,15,15,-11.628590455941268
0.2,202,signed,0.001,-13.334903054534301,1,1.0,0.25,-12.263820039640983,0.2,50,signed,0.01,-17.36781553053687,1,2.0,0.05,-11.798463131118641,-37.81052439765753,-40.477293275340145,15,15,15,-11.798463131118641
0.3,470,signed,0.01,-13.222079047033764,1,2.0,0.25,-12.658867610487102,0.2,30,signed,0.01,-17.480217697204633,1,1.0,0.05,-11.80756647979444,-37.81044002949099,-40.477293275340145,15,15,15,-11.80756647979444
0.3,466,signed,0.003,-13.205560366564294,1,2.0,0.25,-12.314812459538926,0.2,2,signed,0.001,-17.496060948292847,1,0.0,0.05,-11.706361339257654,-37.81030494361473,-40.477293275340145,15,15,15,-11.706361339257654
0.3,466,signed,0.003,-13.205560366564294,1,2.0,0.25,-12.314812459538926,0.2,6,signed,0.003,-17.49512605499751,1,0.0,0.05,-11.704506458753283,-37.810117964955666,-40.477293275340145,15,15,15,-11.704506458753283
0.2,210,signed,0.01,-13.264213211192365,1,1.0,0.25,-12.227926750152163,0.2,55,signed,0.03,-17.435007510843985,0,2.0,0.05,-11.577407161487042,-37.80982482505057,-40.477293275340145,15,15,15,-11.577407161487042
0.3,462,signed,0.001,-13.2025802023756,1,2.0,0.25,-12.266419528593541,0.2,2,signed,0.001,-17.496060948292847,1,0.0,0.05,-11.706361339257654,-37.80970891077699,-40.477293275340145,15,15,15,-11.706361339257654
0.3,462,signed,0.001,-13.2025802023756,1,2.0,0.25,-12.266419528593541,0.2,6,signed,0.003,-17.49512605499751,1,0.0,0.05,-11.704506458753283,-37.809521932117924,-40.477293275340145,15,15,15,-11.704506458753283
0.2,206,signed,0.003,-13.327884606365023,1,1.0,0.25,-12.260256251274072,0.2,50,signed,0.01,-17.36781553053687,1,2.0,0.05,-11.798463131118641,-37.809120708023684,-40.477293275340145,15,15,15,-11.798463131118641
0.3,470,signed,0.01,-13.222079047033764,1,2.0,0.25,-12.658867610487102,0.2,34,signed,0.03,-17.47301731166604,1,1.0,0.05,-11.653897427837823,-37.80899995238327,-40.477293275340145,15,15,15,-11.653897427837823
0.2,223,signed,0.001,-13.257113406590028,0,2.0,0.25,-12.238511252614826,0.2,55,signed,0.03,-17.435007510843985,0,2.0,0.05,-11.577407161487042,-37.808404864130104,-40.477293275340145,15,15,15,-11.577407161487042
0.3,466,signed,0.003,-13.205560366564294,1,2.0,0.25,-12.314812459538926,0.2,51,signed,0.01,-17.48641773980782,0,2.0,0.05,-11.80343749520516,-37.808376301917725,-40.477293275340145,15,15,15,-11.80343749520516
