bootstrap,full_kappa,kappa,retention,scale,subset_n,tau,train_curve,train_label
43,0.008872855850635438,0.006930772541302096,0.003941595800165336,100,545,0.030898198785299612,cosine_72000.csv,Cosine
44,0.008872855850635438,0.0,0.025076626566114334,100,548,0.030898198785299612,cosine_72000.csv,Cosine
45,0.008872855850635438,0.02062304857247122,0.02269083336969435,100,551,0.030898198785299612,cosine_72000.csv,Cosine
46,0.008872855850635438,0.01728392831548894,0.03759460123150552,100,543,0.030898198785299612,cosine_72000.csv,Cosine
47,0.008872855850635438,0.0,0.03506234438689348,100,550,0.030898198785299612,cosine_72000.csv,Cosine
48,0.008872855850635438,0.0019245347108097612,0.03394836348819103,100,547,0.030898198785299612,cosine_72000.csv,Cosine
49,0.008872855850635438,0.0063951105452304015,0.028771584778733927,100,548,0.030898198785299612,cosine_72000.csv,Cosine
50,0.008872855850635438,0.004640498083157698,0.029246722731282353,100,544,0.030898198785299612,cosine_72000.csv,Cosine
51,0.008872855850635438,0.020021500283277725,0.014195692618163351,100,545,0.030898198785299612,cosine_72000.csv,Cosine
52,0.008872855850635438,0.0020658338793937358,0.010935921894952585,100,547,0.030898198785299612,cosine_72000.csv,Cosine
53,0.008872855850635438,0.0,0.0344898567737599,100,546,0.030898198785299612,cosine_72000.csv,Cosine
54,0.008872855850635438,0.0060080347499710035,0.03208485217486437,100,547,0.030898198785299612,cosine_72000.csv,Cosine
55,0.008872855850635438,0.0030837202515259614,0.010102424237689867,100,546,0.030898198785299612,cosine_72000.csv,Cosine
56,0.008872855850635438,0.03,0.010814932588130944,100,547,0.030898198785299612,cosine_72000.csv,Cosine
57,0.008872855850635438,0.011186406145312426,0.04137448812901302,100,549,0.030898198785299612,cosine_72000.csv,Cosine
58,0.008872855850635438,0.0078093999496859825,0.037143360784260074,100,545,0.030898198785299612,cosine_72000.csv,Cosine
59,0.008872855850635438,0.003336488646230524,0.04280539786374749,100,547,0.030898198785299612,cosine_72000.csv,Cosine
60,0.008872855850635438,0.0,0.04044208219905796,100,548,0.030898198785299612,cosine_72000.csv,Cosine
61,0.008872855850635438,0.021500550645504345,0.015646869020188765,100,547,0.030898198785299612,cosine_72000.csv,Cosine
62,0.008872855850635438,0.0038719224204066174,0.026839605900758755,100,546,0.030898198785299612,cosine_72000.csv,Cosine
63,0.008872855850635438,0.003269436565982972,0.03467608766158807,100,545,0.030898198785299612,cosine_72000.csv,Cosine
64,0.008872855850635438,0.009929869354928634,0.01714467495651454,100,545,0.030898198785299612,cosine_72000.csv,Cosine
65,0.008872855850635438,0.021157770924577712,0.0169730529686582,100,547,0.030898198785299612,cosine_72000.csv,Cosine
66,0.008872855850635438,0.0008364999825968006,0.00031234453161765803,100,542,0.030898198785299612,cosine_72000.csv,Cosine
67,0.008872855850635438,0.012837963058884216,0.03770211155022633,100,546,0.030898198785299612,cosine_72000.csv,Cosine
68,0.008872855850635438,0.011429787063427838,0.008432665789962072,100,545,0.030898198785299612,cosine_72000.csv,Cosine
69,0.008872855850635438,0.007311568517049595,0.011868700134976052,100,548,0.030898198785299612,cosine_72000.csv,Cosine
70,0.008872855850635438,0.0,0.029767150854829748,100,547,0.030898198785299612,cosine_72000.csv,Cosine
