blend_mae,channel,delta_vs_first_error_pct,delta_vs_pure_pct,first_error_mae,pure_mpl_mae,scale,test_curve,test_label,variant,weight,win_vs_first_error,win_vs_pure
0.0021297481596221518,smooth,-6.772493359624354,-50.98269438279135,0.002284463283822057,0.004344890305179187,100,wsd_20000_24000.csv,WSD sharp,smooth_only,0.35,1,1
0.002288376733727336,smooth,-7.235058326341671,-36.748144048278355,0.0024668551420834305,0.0036178807709199698,100,wsdld_20000_24000.csv,WSD linear,smooth_only,0.35,1,1
0.0035010779315416446,step,-1.326223631257839,-55.839491142363215,0.003548134124773109,0.007928074250295227,100,wsdcon_3.csv,WSD-con 3e-5,smooth_only,0.35,1,1
0.0044345811609839345,step,-1.73347025140137,-29.12264807387729,0.004512809368896204,0.0062566970131816045,100,wsdcon_9.csv,WSD-con 9e-5,smooth_only,0.35,1,1
0.0019010623973075022,step,-4.2601237099969875,-28.831789722062528,0.001985653701441024,0.0026712241180200675,100,wsdcon_18.csv,WSD-con 18e-5,smooth_only,0.35,1,1
0.0044094428601287915,smooth,0.027485185400122347,-39.40120810878503,0.004408231249596974,0.007276453411883992,400,wsd_20000_24000.csv,WSD sharp,smooth_only,0.35,0,1
0.004101641737124917,smooth,-1.0210306349818343,-32.378841975745644,0.004143952764348088,0.006065618893503333,400,wsdld_20000_24000.csv,WSD linear,smooth_only,0.35,1,1
0.005982978119605996,step,1.516887598088279,-61.0950026714431,0.005893579148420095,0.015378430871178581,400,wsdcon_3.csv,WSD-con 3e-5,smooth_only,0.35,0,1
0.006464982482230853,step,-1.4182241819398311,-28.42838412596388,0.006557989474811701,0.009032886016726277,400,wsdcon_9.csv,WSD-con 9e-5,smooth_only,0.35,1,1
0.004314879874168169,step,4.292891710745006,-11.377838328964573,0.004137271297583188,0.004868849724276598,400,wsdcon_18.csv,WSD-con 18e-5,smooth_only,0.35,0,1
0.004202664857533888,smooth,38.54272922717521,-2.3391407547701526,0.0030334791879569334,0.004303325702859985,25,wsd_20000_24000.csv,WSD sharp,smooth_only,0.4,0,1
0.004250554012117863,smooth,32.46102564828712,10.100797799866235,0.0032089091801266964,0.003860602372604268,25,wsdld_20000_24000.csv,WSD linear,smooth_only,0.4,0,0
0.005207100297040927,step,28.620267754467974,-39.39175657593322,0.004048429060170452,0.008591406057766149,25,wsdcon_3.csv,WSD-con 3e-5,smooth_only,0.4,0,1
0.00461337814915555,step,6.461529072221683,-23.773690337314445,0.004333375811299792,0.006052212378600692,25,wsdcon_9.csv,WSD-con 9e-5,smooth_only,0.4,0,1
0.004025516651112929,step,13.578905409200859,-2.633310272843281,0.003544246738960761,0.004134387912738256,25,wsdcon_18.csv,WSD-con 18e-5,smooth_only,0.4,0,1
0.0021109445991399018,smooth,-7.59559962775358,-51.415468495864715,0.002284463283822057,0.004344890305179187,100,wsd_20000_24000.csv,WSD sharp,smooth_only,0.4,1,1
0.0022638601275000872,smooth,-8.228898856699784,-37.42579507603775,0.0024668551420834305,0.0036178807709199698,100,wsdld_20000_24000.csv,WSD linear,smooth_only,0.4,1,1
0.0034949926180646448,step,-1.4977310563721313,-55.91624765705874,0.003548134124773109,0.007928074250295227,100,wsdcon_3.csv,WSD-con 3e-5,smooth_only,0.4,1,1
0.004425657014823572,step,-1.9312217057807612,-29.265281577490466,0.004512809368896204,0.0062566970131816045,100,wsdcon_9.csv,WSD-con 9e-5,smooth_only,0.4,1,1
0.0018908733226898472,step,-4.773258231402244,-29.213228125112256,0.001985653701441024,0.0026712241180200675,100,wsdcon_18.csv,WSD-con 18e-5,smooth_only,0.4,1,1
0.004410985564768239,smooth,0.06248118611102971,-39.38000678236785,0.004408231249596974,0.007276453411883992,400,wsd_20000_24000.csv,WSD sharp,smooth_only,0.4,0,1
0.004096966922085075,smooth,-1.1338411640993917,-32.455912677382535,0.004143952764348088,0.006065618893503333,400,wsdld_20000_24000.csv,WSD linear,smooth_only,0.4,1,1
0.005996450054471426,step,1.7454742434214632,-61.007399879075784,0.005893579148420095,0.015378430871178581,400,wsdcon_3.csv,WSD-con 3e-5,smooth_only,0.4,0,1
0.006452844622954016,step,-1.6033092499085577,-28.56275822582921,0.006557989474811701,0.009032886016726277,400,wsdcon_9.csv,WSD-con 9e-5,smooth_only,0.4,1,1
0.004347485661175959,step,5.080990548421838,-10.708156805519431,0.004137271297583188,0.004868849724276598,400,wsdcon_18.csv,WSD-con 18e-5,smooth_only,0.4,0,1
0.0043527680803908874,smooth,43.49094919363872,1.1489341254844687,0.0030334791879569334,0.004303325702859985,25,wsd_20000_24000.csv,WSD sharp,smooth_only,0.45,0,0
0.004384636476088679,smooth,36.63946936371574,13.573894768419525,0.0032089091801266964,0.003860602372604268,25,wsdld_20000_24000.csv,WSD linear,smooth_only,0.45,0,0
0.00560186389213754,step,38.37129930842074,-34.79689058493784,0.004048429060170452,0.008591406057766149,25,wsdcon_3.csv,WSD-con 3e-5,smooth_only,0.45,0,1
