baseline,mean_delta,median_delta,nonharm,rows,variant,weight,wins,worst_delta
pure_mpl,-34.64731902033371,-32.03378460492782,15,15,step_only,0.55,15,-12.504797175785487
first_error,-1.4518116925617437,-0.9015070693217386,12,15,step_only,0.55,12,2.9666568868840892
pure_mpl,-34.72488394599779,-32.053628014779,15,15,step_only,0.6,15,-12.229850420059762
first_error,-1.5680528247292267,-0.9834622574419916,12,15,step_only,0.6,12,3.290221463514076
pure_mpl,-34.8010350864064,-32.071484760653554,15,15,step_only,0.65,15,-11.945144263364515
first_error,-1.6824041265634315,-1.0654174455624998,12,15,step_only,0.65,12,3.6252711599976672
pure_mpl,-34.87522445483332,-32.08934150652751,15,15,step_only,0.7,15,-11.646151409546357
first_error,-1.7939788883300758,-1.1473726336831636,12,15,step_only,0.7,12,3.9771338175719206
pure_mpl,-34.948021039545125,-32.107198252402405,15,15,step_only,0.75,15,-11.347158555728697
first_error,-1.9033948677729071,-1.2293278218027504,12,15,step_only,0.75,12,4.328996475145552
pure_mpl,-35.02022598245376,-32.125054998276866,15,15,step_only,0.8,15,-11.047056333665651
first_error,-2.0120054960340017,-1.3112830099219486,12,15,step_only,0.8,12,4.682164666460431
pure_mpl,-35.0913870939321,-32.142911744151036,15,15,step_only,0.85,15,-10.73597352174187
first_error,-2.119322737195466,-1.3932381980423236,12,15,step_only,0.85,12,5.048255104848431
pure_mpl,-35.15922644884875,-32.16076849002568,15,15,step_only,0.9,15,-10.410455051845046
first_error,-2.221817348946883,-1.4751933861627209,12,15,step_only,0.9,12,5.431333805375016
pure_mpl,-35.225167418737556,-32.177872425245354,15,15,step_only,0.95,15,-10.075606709850115
first_error,-2.3214385288240944,-1.5571485742832403,12,15,step_only,0.95,12,5.825392144877406
pure_mpl,-35.288874468903856,-32.18418573472464,15,15,step_only,1.0,15,-9.733897980311546
first_error,-2.4178773586600717,-1.6391037624034932,12,15,step_only,1.0,12,6.227523968953963
