base_mae,corr_mae,delta_pct,method,note,projected,response_axis,response_value,scale,test_curve,test_label,win
0.0038535563963712593,0.0017616752772348068,-54.28442986084994,obs_half_life_2p5_roundfast20,slow endpoint from 2.5 observed intervals; fast endpoint rounded to 20,1,lr_time,7.223478858982098,400,wsdld_20000_24000.csv,WSD linear,1
0.008173606778800102,0.0032081357570570863,-60.750059993367515,obs_half_life_2p5_roundfast20,slow endpoint from 2.5 observed intervals; fast endpoint rounded to 20,1,lr_time,20.0,400,wsdcon_3.csv,WSD-con 3e-5,1
0.006687305974578527,0.0057642622615026035,-13.802923278594259,obs_half_life_2p5_roundfast20,slow endpoint from 2.5 observed intervals; fast endpoint rounded to 20,1,lr_time,20.0,400,wsdcon_9.csv,WSD-con 9e-5,1
0.0025579541942073844,0.0023935004638786323,-6.429111619792327,obs_half_life_2p5_roundfast20,slow endpoint from 2.5 observed intervals; fast endpoint rounded to 20,1,lr_time,20.0,400,wsdcon_18.csv,WSD-con 18e-5,1
0.003408385839825258,0.0022095149386177977,-35.17415449856828,current_q_7_20,current development endpoint rule,1,lr_time,7.008313029715088,25,wsd_20000_24000.csv,WSD sharp,1
0.0031360955249893426,0.0020753550384836968,-33.82360256737557,current_q_7_20,current development endpoint rule,1,lr_time,7.00325081270318,25,wsdld_20000_24000.csv,WSD linear,1
0.004487187642230267,0.001925827099706994,-57.08164549254731,current_q_7_20,current development endpoint rule,1,lr_time,20.0,25,wsdcon_3.csv,WSD-con 3e-5,1
0.002926482771138891,0.0023405053646304817,-20.023265207208652,current_q_7_20,current development endpoint rule,1,lr_time,20.0,25,wsdcon_9.csv,WSD-con 9e-5,1
0.002504818961791151,0.002193292470898778,-12.437086098613914,current_q_7_20,current development endpoint rule,1,lr_time,20.0,25,wsdcon_18.csv,WSD-con 18e-5,1
0.0037480705220761528,0.0015514858823204541,-58.60574465762597,current_q_7_20,current development endpoint rule,1,lr_time,7.008313029715088,100,wsd_20000_24000.csv,WSD sharp,1
0.003248313740665229,0.0015996377341373437,-50.754826600901225,current_q_7_20,current development endpoint rule,1,lr_time,7.00325081270318,100,wsdld_20000_24000.csv,WSD linear,1
0.0056693997340904675,0.003322186323631867,-41.40144495976627,current_q_7_20,current development endpoint rule,1,lr_time,20.0,100,wsdcon_3.csv,WSD-con 3e-5,1
0.004934623402238123,0.004673263869062348,-5.296443352845004,current_q_7_20,current development endpoint rule,1,lr_time,20.0,100,wsdcon_9.csv,WSD-con 9e-5,1
0.0013816404339982303,0.001264872834214382,-8.45137395450587,current_q_7_20,current development endpoint rule,1,lr_time,20.0,100,wsdcon_18.csv,WSD-con 18e-5,1
0.004701998914275349,0.0019385919110212735,-58.770898369719404,current_q_7_20,current development endpoint rule,1,lr_time,7.008313029715088,400,wsd_20000_24000.csv,WSD sharp,1
0.0038535563963712593,0.0017743820483317318,-53.95468845343494,current_q_7_20,current development endpoint rule,1,lr_time,7.00325081270318,400,wsdld_20000_24000.csv,WSD linear,1
0.008173606778800102,0.0032081357570570863,-60.750059993367515,current_q_7_20,current development endpoint rule,1,lr_time,20.0,400,wsdcon_3.csv,WSD-con 3e-5,1
0.006687305974578527,0.0057642622615026035,-13.802923278594259,current_q_7_20,current development endpoint rule,1,lr_time,20.0,400,wsdcon_9.csv,WSD-con 9e-5,1
0.0025579541942073844,0.0023935004638786323,-6.429111619792327,current_q_7_20,current development endpoint rule,1,lr_time,20.0,400,wsdcon_18.csv,WSD-con 18e-5,1
0.003408385839825258,0.004945468233616369,45.09707720971856,step_time_geometry_tau,"step-time contrast rule; target tau from LR geometry, coefficient from cosine only",1,step_time,4998.75,25,wsd_20000_24000.csv,WSD sharp,0
0.0031360955249893426,0.0041824903562619345,33.36616576040514,step_time_geometry_tau,"step-time contrast rule; target tau from LR geometry, coefficient from cosine only",1,step_time,4998.75,25,wsdld_20000_24000.csv,WSD linear,0
0.004487187642230267,0.006888621829487294,53.51757890970303,step_time_geometry_tau,"step-time contrast rule; target tau from LR geometry, coefficient from cosine only",1,step_time,1535.9999999999993,25,wsdcon_3.csv,WSD-con 3e-5,0
0.002926482771138891,0.003368690085168962,15.110538780242955,step_time_geometry_tau,"step-time contrast rule; target tau from LR geometry, coefficient from cosine only",1,step_time,733.1839999999999,25,wsdcon_9.csv,WSD-con 9e-5,0
0.002504818961791151,0.0020240806017248945,-19.19253915750019,step_time_geometry_tau,"step-time contrast rule; target tau from LR geometry, coefficient from cosine only",1,step_time,512.0,25,wsdcon_18.csv,WSD-con 18e-5,1
0.0037480705220761528,0.005233502913255232,39.631922143136734,step_time_geometry_tau,"step-time contrast rule; target tau from LR geometry, coefficient from cosine only",1,step_time,4998.75,100,wsd_20000_24000.csv,WSD sharp,0
0.003248313740665229,0.004319743834636086,32.984193631229616,step_time_geometry_tau,"step-time contrast rule; target tau from LR geometry, coefficient from cosine only",1,step_time,4998.75,100,wsdld_20000_24000.csv,WSD linear,0
0.0056693997340904675,0.008989158999280353,58.55574524456193,step_time_geometry_tau,"step-time contrast rule; target tau from LR geometry, coefficient from cosine only",1,step_time,1535.9999999999993,100,wsdcon_3.csv,WSD-con 3e-5,0
0.004934623402238123,0.006159966586134849,24.83154405138528,step_time_geometry_tau,"step-time contrast rule; target tau from LR geometry, coefficient from cosine only",1,step_time,733.1839999999999,100,wsdcon_9.csv,WSD-con 9e-5,0
0.0013816404339982303,0.0016778809227075689,21.441214473730284,step_time_geometry_tau,"step-time contrast rule; target tau from LR geometry, coefficient from cosine only",1,step_time,512.0,100,wsdcon_18.csv,WSD-con 18e-5,0
0.004701998914275349,0.006923315056474647,47.241953532897355,step_time_geometry_tau,"step-time contrast rule; target tau from LR geometry, coefficient from cosine only",1,step_time,4998.75,400,wsd_20000_24000.csv,WSD sharp,0
0.0038535563963712593,0.005804817195508461,50.635324838495336,step_time_geometry_tau,"step-time contrast rule; target tau from LR geometry, coefficient from cosine only",1,step_time,4998.75,400,wsdld_20000_24000.csv,WSD linear,0
0.008173606778800102,0.010289108290504195,25.8821052805118,step_time_geometry_tau,"step-time contrast rule; target tau from LR geometry, coefficient from cosine only",1,step_time,1535.9999999999993,400,wsdcon_3.csv,WSD-con 3e-5,0
0.006687305974578527,0.007642187080015436,14.279010248175329,step_time_geometry_tau,"step-time contrast rule; target tau from LR geometry, coefficient from cosine only",1,step_time,733.1839999999999,400,wsdcon_9.csv,WSD-con 9e-5,0
0.0025579541942073844,0.002875621163529149,12.418790377135668,step_time_geometry_tau,"step-time contrast rule; target tau from LR geometry, coefficient from cosine only",1,step_time,512.0,400,wsdcon_18.csv,WSD-con 18e-5,0
