base_mae,coef,corr_mae,delta_pct,denominator,group,lambda,locality,locality_factor,response_rule,scale,shrinkage,source_dot,source_full_norm,source_perp_norm,source_retention,test_curve,test_label,win
0.0025579541942073844,0.007680428517723182,0.002515792406918233,-1.6482620128471792,0.023414032104357954,core_wsd,20.0,none,1.0,fixed_lambda_20,400,tau_free_full_energy,0.00017982979988919695,0.15301644390181715,0.021670229141541982,0.02005629910106474,wsdcon_18.csv,WSD-con 18e-5,1
0.007134640765897494,0.007680428517723182,0.007274291286483551,1.957358823916766,0.023414032104357954,extra_control,20.0,none,1.0,fixed_lambda_20,400,tau_free_full_energy,0.00017982979988919695,0.15301644390181715,0.021670229141541982,0.02005629910106474,cosine_24000.csv,Cosine 24k,0
0.001679822173746335,0.007680428517723182,0.001679822173746335,0.0,0.023414032104357954,extra_control,20.0,none,1.0,fixed_lambda_20,400,tau_free_full_energy,0.00017982979988919695,0.15301644390181715,0.021670229141541982,0.02005629910106474,constant_24000.csv,Constant 24k,0
0.004118245803084534,0.007680428517723182,0.004118245803084534,0.0,0.023414032104357954,extra_control,20.0,none,1.0,fixed_lambda_20,400,tau_free_full_energy,0.00017982979988919695,0.15301644390181715,0.021670229141541982,0.02005629910106474,constant_72000.csv,Constant 72k,0
0.003408385839825258,0.0038574239902562798,0.003355718756059569,-1.5452207068313961,0.023413441262264873,core_wsd,20.0,linear,0.8168498168498168,fixed_lambda_20,25,tau_free_full_energy,9.03155700195168e-05,0.15301451324062326,0.021621177072427188,0.019966108047118843,wsd_20000_24000.csv,WSD sharp,1
0.0031360955249893426,0.0038574239902562798,0.0030952917407535154,-1.3011014463905957,0.023413441262264873,core_wsd,20.0,linear,0.8168498168498168,fixed_lambda_20,25,tau_free_full_energy,9.03155700195168e-05,0.15301451324062326,0.021621177072427188,0.019966108047118843,wsdld_20000_24000.csv,WSD linear,1
0.004487187642230267,0.0038574239902562798,0.004048685110369152,-9.772324378286223,0.023413441262264873,core_wsd,20.0,linear,0.9998554913294798,fixed_lambda_20,25,tau_free_full_energy,9.03155700195168e-05,0.15301451324062326,0.021621177072427188,0.019966108047118843,wsdcon_3.csv,WSD-con 3e-5,1
0.002926482771138891,0.0038574239902562798,0.002791134163341138,-4.624958299176296,0.023413441262264873,core_wsd,20.0,linear,0.9998554913294798,fixed_lambda_20,25,tau_free_full_energy,9.03155700195168e-05,0.15301451324062326,0.021621177072427188,0.019966108047118843,wsdcon_9.csv,WSD-con 9e-5,1
0.002504818961791151,0.0038574239902562798,0.002460836007820615,-1.7559334483432942,0.023413441262264873,core_wsd,20.0,linear,0.9998554913294798,fixed_lambda_20,25,tau_free_full_energy,9.03155700195168e-05,0.15301451324062326,0.021621177072427188,0.019966108047118843,wsdcon_18.csv,WSD-con 18e-5,1
0.004428106847791531,0.0038574239902562798,0.004428106847791531,0.0,0.023413441262264873,extra_control,20.0,linear,0.0,fixed_lambda_20,25,tau_free_full_energy,9.03155700195168e-05,0.15301451324062326,0.021621177072427188,0.019966108047118843,cosine_24000.csv,Cosine 24k,0
