estimator,kappa,scale,selected_bic,selected_edf,selected_gcv,selected_lambda,selected_retention,train_curve,train_label
residual_bic,0.0,25,-6999.929022825317,10.142567273093757,4.575369361588089e-09,0.0001,0.0011343017851170754,cosine_72000.csv,Cosine
residual_bic,0.0010460931772081881,100,-7989.788190046611,8.40282590599548,7.568108345674529e-10,0.0003,0.002245342770656739,cosine_72000.csv,Cosine
residual_bic,0.0004906781377553853,400,-7003.591968931165,12.462728714189002,4.463239906991452e-09,1e-05,0.0006060738650338413,cosine_72000.csv,Cosine
residual_bic,0.002097685620594149,25,-2222.475217434164,11.673071361800691,1.0011218050731228e-08,3e-05,0.01920132921088931,wsd_20000_24000.csv,WSD sharp
residual_bic,0.0028456527988291224,100,-2312.6437125856673,11.673071361800693,6.345794606506632e-09,3e-05,0.01926413851769569,wsd_20000_24000.csv,WSD sharp
residual_bic,0.007099144558442564,400,-2138.0151109066596,12.462728714189002,1.737801148124182e-08,1e-05,0.018790151525628553,wsd_20000_24000.csv,WSD sharp
residual_bic,0.0010245529710622844,25,-2228.1651084992054,11.673071361800691,9.681688538508047e-09,3e-05,0.017301291308862363,wsdld_20000_24000.csv,WSD linear
residual_bic,0.0023450306956962095,100,-2328.479286641303,10.142567273093757,5.942237314816094e-09,0.0001,0.018670158500531685,wsdld_20000_24000.csv,WSD linear
residual_bic,0.005764571919880896,400,-2154.287831050035,10.142567273093757,1.6456971680184232e-08,0.0001,0.01902829948683464,wsdld_20000_24000.csv,WSD linear
residual_bic,0.003702550210016254,25,-1128.0205950536026,11.673071361800691,5.449686277799456e-08,3e-05,0.06199404487143382,wsdcon_3.csv,WSD-con 3e-5
residual_bic,0.005733757736755974,100,-1214.855768876839,11.673071361800691,1.0054333578779034e-07,3e-05,0.07227100752364225,wsdcon_3.csv,WSD-con 3e-5
residual_bic,0.009077980390255869,400,-1094.7788644422542,11.673071361800691,3.0253948954190596e-07,3e-05,0.07227100752364225,wsdcon_3.csv,WSD-con 3e-5
residual_bic,0.005170395644058838,25,-1196.5281436919747,11.673071361800691,2.6496457514958952e-08,3e-05,0.175297700882856,wsdcon_9.csv,WSD-con 9e-5
