inner_max_kappa,inner_mean,inner_mean_retention,inner_median,inner_worst,rule,selected_lambda,train_id,train_label,train_size
0.042968698713289635,-10.068414773379553,0.3210102038560068,-7.870783158496692,-2.1540252842217167,inner_cv_band_worst,0.01,wsdld_20000_24000.csv|wsdcon_9.csv,WSD linear + WSD-con 9e-5,2
0.05442078924432002,-8.666099864671244,0.48773305516142607,-11.468677232265717,2.9296411338049833,fixed_lam0p025,0.025,wsdld_20000_24000.csv|wsdcon_18.csv,WSD linear + WSD-con 18e-5,2
0.042968698713289635,-10.229900124619986,0.4195776508416373,-10.830755730123386,-3.76200545026083,inner_cv_mean,0.01,wsdld_20000_24000.csv|wsdcon_18.csv,WSD linear + WSD-con 18e-5,2
0.028139985438532203,-9.724054241993972,0.33877800312976647,-9.443904812803156,-6.867499332407034,inner_cv_worst,0.003,wsdld_20000_24000.csv|wsdcon_18.csv,WSD linear + WSD-con 18e-5,2
0.028139985438532203,-9.724054241993972,0.33877800312976647,-9.443904812803156,-6.867499332407034,inner_cv_safe,0.003,wsdld_20000_24000.csv|wsdcon_18.csv,WSD linear + WSD-con 18e-5,2
0.042968698713289635,-10.229900124619986,0.4195776508416373,-10.830755730123386,-3.76200545026083,inner_cv_band_mean,0.01,wsdld_20000_24000.csv|wsdcon_18.csv,WSD linear + WSD-con 18e-5,2
0.042968698713289635,-10.229900124619986,0.4195776508416373,-10.830755730123386,-3.76200545026083,inner_cv_band_worst,0.01,wsdld_20000_24000.csv|wsdcon_18.csv,WSD linear + WSD-con 18e-5,2
0.025764467500442024,-19.522752091806577,0.4003661550684998,-19.30299154954195,-5.622300383629019,fixed_lam0p025,0.025,wsdcon_3.csv|wsdcon_9.csv,WSD-con 3e-5 + WSD-con 9e-5,2
0.031125074805439384,-21.846334139878355,0.5059489076902322,-22.06643667056459,-5.073630824937069,inner_cv_mean,0.1,wsdcon_3.csv|wsdcon_9.csv,WSD-con 3e-5 + WSD-con 9e-5,2
0.024432649650412048,-18.627278037057206,0.3682040084903028,-18.260402375636115,-5.637673867786342,inner_cv_worst,0.015,wsdcon_3.csv|wsdcon_9.csv,WSD-con 3e-5 + WSD-con 9e-5,2
0.024432649650412048,-18.627278037057206,0.3682040084903028,-18.260402375636115,-5.637673867786342,inner_cv_safe,0.015,wsdcon_3.csv|wsdcon_9.csv,WSD-con 3e-5 + WSD-con 9e-5,2
0.02631389243827487,-19.852737995900238,0.4125575833781048,-19.678253322356426,-5.61606304472445,inner_cv_band_mean,0.03,wsdcon_3.csv|wsdcon_9.csv,WSD-con 3e-5 + WSD-con 9e-5,2
0.024432649650412048,-18.627278037057206,0.3682040084903028,-18.260402375636115,-5.637673867786342,inner_cv_band_worst,0.015,wsdcon_3.csv|wsdcon_9.csv,WSD-con 3e-5 + WSD-con 9e-5,2
0.02528343848519805,-19.67584949943521,0.49285436720000053,-16.119697578392472,-6.132708011511411,fixed_lam0p025,0.025,wsdcon_3.csv|wsdcon_18.csv,WSD-con 3e-5 + WSD-con 18e-5,2
0.027395857429039664,-20.011538915447076,0.5567654793169056,-16.230842640511913,-6.720695671976429,inner_cv_mean,0.07,wsdcon_3.csv|wsdcon_18.csv,WSD-con 3e-5 + WSD-con 18e-5,2
0.02853511411559018,-19.98685282341144,0.5809591669314337,-16.228080646214053,-6.913920409686336,inner_cv_worst,0.1,wsdcon_3.csv|wsdcon_18.csv,WSD-con 3e-5 + WSD-con 18e-5,2
0.02853511411559018,-19.98685282341144,0.5809591669314337,-16.228080646214053,-6.913920409686336,inner_cv_safe,0.1,wsdcon_3.csv|wsdcon_18.csv,WSD-con 3e-5 + WSD-con 18e-5,2
0.02562958341850152,-19.773133080077564,0.5033652907088394,-16.157444175033277,-6.2483208308975025,inner_cv_band_mean,0.03,wsdcon_3.csv|wsdcon_18.csv,WSD-con 3e-5 + WSD-con 18e-5,2
0.02562958341850152,-19.773133080077564,0.5033652907088394,-16.157444175033277,-6.2483208308975025,inner_cv_band_worst,0.03,wsdcon_3.csv|wsdcon_18.csv,WSD-con 3e-5 + WSD-con 18e-5,2
0.025764467500442024,-10.853127732644998,0.6381799195503498,-8.220363622085758,-5.621643778729313,fixed_lam0p025,0.025,wsdcon_9.csv|wsdcon_18.csv,WSD-con 9e-5 + WSD-con 18e-5,2
0.025764467500442024,-10.853127732644998,0.6381799195503498,-8.220363622085758,-5.621643778729313,inner_cv_mean,0.025,wsdcon_9.csv|wsdcon_18.csv,WSD-con 9e-5 + WSD-con 18e-5,2
0.02375036586030373,-10.556786780125154,0.5801016335176389,-7.506747815727172,-5.636792962966131,inner_cv_worst,0.01,wsdcon_9.csv|wsdcon_18.csv,WSD-con 9e-5 + WSD-con 18e-5,2
0.02375036586030373,-10.556786780125154,0.5801016335176389,-7.506747815727172,-5.636792962966131,inner_cv_safe,0.01,wsdcon_9.csv|wsdcon_18.csv,WSD-con 9e-5 + WSD-con 18e-5,2
0.025764467500442024,-10.853127732644998,0.6381799195503498,-8.220363622085758,-5.621643778729313,inner_cv_band_mean,0.025,wsdcon_9.csv|wsdcon_18.csv,WSD-con 9e-5 + WSD-con 18e-5,2
0.02375036586030373,-10.556786780125154,0.5801016335176389,-7.506747815727172,-5.636792962966131,inner_cv_band_worst,0.01,wsdcon_9.csv|wsdcon_18.csv,WSD-con 9e-5 + WSD-con 18e-5,2
0.052943003421064096,-16.494661814897547,0.20153942919055248,-16.94393990745403,-2.6693324374791105,fixed_lam0p025,0.025,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv,Cosine + WSD sharp + WSD linear,3
0.06960159302690087,-21.441920399395965,0.33082514462351165,-20.276106184994312,-3.1011907322131327,inner_cv_mean,0.1,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv,Cosine + WSD sharp + WSD linear,3
0.06960159302690087,-21.441920399395965,0.33082514462351165,-20.276106184994312,-3.1011907322131327,inner_cv_worst,0.1,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv,Cosine + WSD sharp + WSD linear,3
0.05875690266189439,-18.314673694279538,0.24295644584194406,-18.41957734519939,-2.8773388524185206,inner_cv_safe,0.04,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv,Cosine + WSD sharp + WSD linear,3
0.055207256473038306,-17.21203449241993,0.21718396797023043,-17.55907535777832,-2.7581183990788793,inner_cv_band_mean,0.03,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv,Cosine + WSD sharp + WSD linear,3
0.055207256473038306,-17.21203449241993,0.21718396797023043,-17.55907535777832,-2.7581183990788793,inner_cv_band_worst,0.03,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv,Cosine + WSD sharp + WSD linear,3
0.047607484004815175,-14.28083479325055,0.2271370548692692,-12.305868407287301,-1.6207442568089259,fixed_lam0p025,0.025,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_3.csv,Cosine + WSD sharp + WSD-con 3e-5,3
0.04140769692754455,-14.961806355928596,0.19575609925615545,-11.450316768436053,-1.4669411015579392,inner_cv_mean,0.015,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_3.csv,Cosine + WSD sharp + WSD-con 3e-5,3
0.060123203007086894,-10.593418797350477,0.304740661136734,-3.891889953831962,-1.9493708163193846,inner_cv_worst,0.07,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_3.csv,Cosine + WSD sharp + WSD-con 3e-5,3
0.05609464681137058,-12.01168454590934,0.27740763980877087,-10.518361789159847,-1.8418663780058742,inner_cv_safe,0.05,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_3.csv,Cosine + WSD sharp + WSD-con 3e-5,3
0.04140769692754455,-14.961806355928596,0.19575609925615545,-11.450316768436053,-1.4669411015579392,inner_cv_band_mean,0.015,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_3.csv,Cosine + WSD sharp + WSD-con 3e-5,3
0.04984517945783994,-13.817964436614089,0.23948432766528482,-12.65398557381049,-1.6780687959678908,inner_cv_band_worst,0.03,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_3.csv,Cosine + WSD sharp + WSD-con 3e-5,3
0.047607484004815175,-8.193084554631497,0.3831490970972371,-3.9900721155935237,-0.13499534713150574,fixed_lam0p025,0.025,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_9.csv,Cosine + WSD sharp + WSD-con 9e-5,3
