config_id,max_mode,mean_delta,mean_kappa,mean_source_retention,mean_target_retention,median_delta,nonharm,nuisance_lambda,retention_power,rho,ridge_tau,rows,smooth_lambda,step_lambda,wins,worst_delta
39805,8,-28.881562431522386,0.04322770900103635,0.02755129283929295,0.5725523018609249,-31.51701945198472,15,0.04,0.25,0.2,0.05,15,4.0,30.0,15,-0.9236875799936706
39931,12,-28.878188843287553,0.04322735632600918,0.027543095653612994,0.5722191159886548,-31.511769277144076,15,0.04,0.25,0.2,0.05,15,4.0,30.0,15,-0.9236895009425483
40057,16,-28.877952112219795,0.04322718814161143,0.027542610970543488,0.5721630484873333,-31.51138588337178,15,0.04,0.25,0.2,0.05,15,4.0,30.0,15,-0.9236895739698991
10322,8,-28.844547499798008,0.031136754656017875,0.02034393220498368,0.5085531872366228,-21.14100554798378,15,0.03,0.25,0.35,0.05,15,2.0,20.0,15,-6.191503992600089
10448,12,-28.84306124450705,0.031136214547264136,0.02033517923929331,0.5081257051119942,-21.133334743150588,15,0.03,0.25,0.35,0.05,15,2.0,20.0,15,-6.1925549341587445
10574,16,-28.842862654978806,0.03113601059591542,0.020334652000633033,0.5080559730308664,-21.132763069850004,15,0.03,0.25,0.35,0.05,15,2.0,20.0,15,-6.192597666620325
64374,8,-28.794587988805496,0.046041847057973026,0.028392889990266377,0.5511465566435445,-29.43789213165494,15,0.03,0.25,0.0,0.05,15,7.0,30.0,15,-0.923243163332399
64500,12,-28.7910032421646,0.04604068300047372,0.028380712925519046,0.5506955988267056,-29.426176780961978,15,0.03,0.25,0.0,0.05,15,7.0,30.0,15,-0.9232462477297587
64626,16,-28.790673442465458,0.046040340942258486,0.02837998906203567,0.5506187331060397,-29.425308861667,15,0.03,0.25,0.0,0.05,15,7.0,30.0,15,-0.9232463661724921
88563,8,-28.77507382812952,0.06310161568174771,0.02750273293578718,0.5256673236610694,-33.51396497614482,15,0.02,0.0,0.4,0.05,15,10.0,30.0,15,-0.17922234345234545
88689,12,-28.761339269709246,0.06310753023251266,0.027483044295579146,0.5249867074453972,-33.49011165378203,15,0.02,0.0,0.4,0.05,15,10.0,30.0,15,-0.1731042564312557
88815,16,-28.760480420336922,0.06310711846778182,0.027481872517970594,0.524868605557707,-33.48826384263066,15,0.02,0.0,0.4,0.05,15,10.0,30.0,15,-0.17282579206742144
61227,16,-28.59350401599938,0.05205899504112567,0.028200261312215612,0.54054244145749,-25.240880048295455,15,0.05,0.25,0.4,0.05,15,7.0,20.0,15,-0.0673400463015783
61101,12,-28.593402122949875,0.05205910242959065,0.028200659157831747,0.5405863275831577,-25.240093057956912,15,0.05,0.25,0.4,0.05,15,7.0,20.0,15,-0.06708539840969419
60975,8,-28.592396593909157,0.05205874644533064,0.02820721790103606,0.5408520801633485,-25.232639748155748,15,0.05,0.25,0.4,0.05,15,7.0,20.0,15,-0.06467371743572592
35777,12,-28.55339624475293,0.032760441189757177,0.02382974190819143,0.5258623854471114,-21.608070361470045,15,0.04,0.25,0.75,0.05,15,4.0,20.0,15,-5.880588382828888
35651,8,-28.553379935565754,0.03276026805755806,0.02383698379449106,0.5261887482191262,-21.61167048136091,15,0.04,0.25,0.75,0.05,15,4.0,20.0,15,-5.879962560845686
35903,16,-28.55331609164696,0.03276033568069477,0.02382930310678908,0.5258091386717108,-21.60780746288353,15,0.04,0.25,0.75,0.05,15,4.0,20.0,15,-5.880614064553102
35268,8,-28.45733324726132,0.04668737838988631,0.02220864395474713,0.5050267730742137,-29.38531335940373,15,0.03,0.25,0.0,0.05,15,4.0,20.0,15,-2.1042589589803873
35394,12,-28.45324080768248,0.046687149005244004,0.022199002425559104,0.5045922690852699,-29.37522477348121,15,0.03,0.25,0.0,0.05,15,4.0,20.0,15,-2.1101666906979344
