base_config_id,config_id,fit_start_step,max_mode,mean_delta,mean_kappa,mean_source_retention,mean_target_retention,median_delta,nonharm,nuisance_lambda,retention_power,rho,ridge_tau,rows,smooth_lambda,step_lambda,wins,worst_delta
34890,195,5000,8,-32.45045321188492,0.036526665106906546,0.020244162967309343,0.49205180941371895,-36.52202391903322,15,0.025,0.25,0.0,0.05,15,4.0,20.0,15,-5.766114735148498
35016,203,5000,12,-32.44984300202759,0.036521654261538895,0.02023407832357921,0.4915310235101395,-36.51482031173825,15,0.025,0.25,0.0,0.05,15,4.0,20.0,15,-5.765636214370085
35142,211,5000,16,-32.44978603180041,0.036521309428088025,0.0202334671389555,0.4914458786400873,-36.51459245823795,15,0.025,0.25,0.0,0.05,15,4.0,20.0,15,-5.765554010063845
35899,1307,5000,16,-32.440691093093456,0.04380303267723338,0.022983134844941477,0.5258091386717108,-33.679153839545975,15,0.04,0.25,0.2,0.05,15,4.0,20.0,15,-2.7977276054661715
35773,1315,5000,12,-32.44060212986522,0.043803175481629944,0.02298351707228866,0.5258623854471114,-33.67836650935988,15,0.04,0.25,0.2,0.05,15,4.0,20.0,15,-2.7974728476092836
35647,1299,5000,8,-32.43840994700006,0.04380522332349101,0.02298983680508745,0.5261887482191262,-33.66329389923226,15,0.04,0.25,0.2,0.05,15,4.0,20.0,15,-2.792595775805795
36280,187,5000,16,-32.38737924994858,0.04134806936456134,0.024356544896885636,0.5428919853183819,-37.50184232504672,15,0.05,0.25,0.5,0.05,15,4.0,20.0,15,-4.0346418537564155
36154,179,5000,12,-32.387296421512126,0.041348147575608944,0.024356850742001453,0.5429345910734116,-37.50134736569759,15,0.05,0.25,0.5,0.05,15,4.0,20.0,15,-4.034481698861669
36028,171,5000,8,-32.38560925610975,0.041349254792145775,0.024361911031878094,0.5431959145327,-37.49184233524121,15,0.05,0.25,0.5,0.05,15,4.0,20.0,15,-4.031406138913307
58702,1466,3000,8,-32.36238037536845,0.04123081988510914,0.017750098736540935,0.43072106212537187,-35.04543626187178,15,0.01,0.0,0.5,0.05,15,7.0,20.0,15,-5.783497030816786
58828,1498,3000,12,-32.36021935296924,0.04123002476817899,0.01771906306195668,0.4294110839162329,-35.00993069453937,15,0.01,0.0,0.5,0.05,15,7.0,20.0,15,-5.786034833456643
58954,1506,3000,16,-32.359378778807795,0.041228558807851375,0.01771716151917178,0.4291923386503998,-35.0060256888475,15,0.01,0.0,0.5,0.05,15,7.0,20.0,15,-5.785985826175255
15616,1572,8000,8,-32.235547782512576,0.040648564192123066,0.027708316888759736,0.6165687858816892,-38.92839444281101,15,0.07,0.25,0.5,0.05,15,2.0,30.0,15,-0.9225504745227431
15742,1588,8000,12,-32.235471540101955,0.04064775260873208,0.027705078264333417,0.6163810551570219,-38.92792559527229,15,0.07,0.25,0.5,0.05,15,2.0,30.0,15,-0.9225500328437053
15868,1596,8000,16,-32.23545463500631,0.04064774361673851,0.027704888616349076,0.6163495354992526,-38.92781957948217,15,0.07,0.25,0.5,0.05,15,2.0,30.0,15,-0.9225499835623707
35901,43,5000,16,-32.2195731935011,0.037545456580485755,0.022983134844941477,0.5258091386717108,-37.20918157827061,15,0.04,0.25,0.4,0.05,15,4.0,20.0,15,-5.9691314643919196
35775,35,5000,12,-32.21950463772388,0.03754557898425425,0.02298351707228866,0.5258623854471114,-37.20919547127094,15,0.04,0.25,0.4,0.05,15,4.0,20.0,15,-5.969167164790701
35649,27,5000,8,-32.217843122232246,0.037547334277277994,0.02298983680508745,0.5261887482191262,-37.211009687469534,15,0.04,0.25,0.4,0.05,15,4.0,20.0,15,-5.969362601947504
40564,484,8000,8,-32.189799245880984,0.04522695566078582,0.029767733773930827,0.6124827069376649,-38.434565341259386,15,0.07,0.25,0.5,0.05,15,4.0,30.0,15,-0.9225504745227431
40690,492,8000,12,-32.18957853278467,0.04522626242449817,0.029764201522090212,0.6122919550268947,-38.43341175338294,15,0.07,0.25,0.5,0.05,15,4.0,30.0,15,-0.9225500328437053
