base_mae,coef,corr_mae,delta_pct,fit_objective,group,lambda,localization,residualized_corr,scale,test_curve,test_label,variant,win
0.0015795124507172926,0.04193070708296342,0.0015795124507172926,0.0,0.0001952508106050036,extra_control,7.220283130832764,0.0,0.012523364452831073,25,constant_72000.csv,Constant 72k,strict_exact_sqrtlocalized,0
0.0037480705220761528,0.058589151705704924,0.0016682112462174674,-55.491465905145176,0.00022333163301566837,core_wsd,7.227208795627145,0.9037974423784441,0.022569788685334692,100,wsd_20000_24000.csv,WSD sharp,strict_exact_sqrtlocalized,1
0.003248313740665229,0.058592661516242255,0.001756782519571816,-45.917092379997726,0.0002233261335774554,core_wsd,7.222991414077641,0.9037974423784441,0.022571336022311757,100,wsdld_20000_24000.csv,WSD linear,strict_exact_sqrtlocalized,1
0.0056693997340904675,0.0453488872370202,0.004072222800568022,-28.17188782647513,0.00023176190657772097,core_wsd,18.05070782708191,0.9999277430542068,0.017366526506475494,100,wsdcon_3.csv,WSD-con 3e-5,strict_exact_sqrtlocalized,1
0.004934623402238123,0.0453488872370202,0.004880927505655439,-1.0881457855189125,0.00023176190657772097,core_wsd,18.05070782708191,0.9999277430542068,0.017366526506475494,100,wsdcon_9.csv,WSD-con 9e-5,strict_exact_sqrtlocalized,1
0.0013816404339982303,0.0453488872370202,0.0012954430296839878,-6.238772562902062,0.00023176190657772097,core_wsd,18.05070782708191,0.9999277430542068,0.017366526506475494,100,wsdcon_18.csv,WSD-con 18e-5,strict_exact_sqrtlocalized,1
0.0032781062167547585,0.05859426598038529,0.0032781062167547585,0.0,0.00022332361690059603,extra_control,7.221062086481109,0.0,0.0225720435413647,100,cosine_24000.csv,Cosine 24k,strict_exact_sqrtlocalized,0
0.001848699219840022,0.05859491356579989,0.001848699219840022,0.0,0.00022332260065526254,extra_control,7.220283130832764,0.0,0.02257232913752262,100,constant_24000.csv,Constant 24k,strict_exact_sqrtlocalized,0
0.004776169698442608,0.05859491356579989,0.004776169698442608,0.0,0.00022332260065526254,extra_control,7.220283130832764,0.0,0.02257232913752262,100,constant_72000.csv,Constant 72k,strict_exact_sqrtlocalized,0
0.004701998914275349,0.08289385228415976,0.0019377937099859575,-58.78787415065574,0.0003021919567663921,core_wsd,7.227208795627145,0.9037974423784441,0.03825753165591623,400,wsd_20000_24000.csv,WSD sharp,strict_exact_sqrtlocalized,1
0.0038535563963712593,0.08289924449189241,0.0018304456044124784,-52.49983609592075,0.0003021805970902943,core_wsd,7.222991414077641,0.9037974423784441,0.0382605757107608,400,wsdld_20000_24000.csv,WSD linear,strict_exact_sqrtlocalized,1
0.008173606778800102,0.06381815428261355,0.0036400553856718084,-55.46573888148099,0.00031925201568877765,core_wsd,18.05070782708191,0.9999277430542068,0.029093201914880976,400,wsdcon_3.csv,WSD-con 3e-5,strict_exact_sqrtlocalized,1
0.006687305974578527,0.06381815428261355,0.005915022234980502,-11.548503127175957,0.00031925201568877765,core_wsd,18.05070782708191,0.9999277430542068,0.029093201914880976,400,wsdcon_9.csv,WSD-con 9e-5,strict_exact_sqrtlocalized,1
0.0025579541942073844,0.06381815428261355,0.0023932770995206214,-6.437843768261475,0.00031925201568877765,core_wsd,18.05070782708191,0.9999277430542068,0.029093201914880976,400,wsdcon_18.csv,WSD-con 18e-5,strict_exact_sqrtlocalized,1
0.007134640765897494,0.08290170979424194,0.007134640765897494,0.0,0.00030217539847214033,extra_control,7.221062086481109,0.0,0.03826196787374511,400,cosine_24000.csv,Cosine 24k,strict_exact_sqrtlocalized,0
0.001679822173746335,0.08290270488454092,0.001679822173746335,0.0,0.00030217329921958534,extra_control,7.220283130832764,0.0,0.03826252988048882,400,constant_24000.csv,Constant 24k,strict_exact_sqrtlocalized,0
0.004118245803084534,0.08290270488454092,0.004118245803084534,0.0,0.00030217329921958534,extra_control,7.220283130832764,0.0,0.03826252988048882,400,constant_72000.csv,Constant 72k,strict_exact_sqrtlocalized,0
0.003408385839825258,0.041925777138522614,0.0020671223971832193,-39.35186641635629,0.0001952557255847522,core_wsd,7.227208795627145,0.8168498168498168,0.012521473100467126,25,wsd_20000_24000.csv,WSD sharp,strict_exact_localized,1
0.0031360955249893426,0.04192877982244451,0.0021690458160203096,-30.836104999458502,0.00019525273313871766,core_wsd,7.222991414077641,0.8168498168498168,0.012522624892802972,25,wsdld_20000_24000.csv,WSD linear,strict_exact_localized,1
0.004487187642230267,0.03208308197767467,0.0024910175363086415,-44.48599579690118,0.00019964498142824742,core_wsd,18.05070782708191,0.9998554913294798,0.009417420546899232,25,wsdcon_3.csv,WSD-con 3e-5,strict_exact_localized,1
0.002926482771138891,0.03208308197767467,0.002353239298521284,-19.588137619362065,0.00019964498142824742,core_wsd,18.05070782708191,0.9998554913294798,0.009417420546899232,25,wsdcon_9.csv,WSD-con 9e-5,strict_exact_localized,1
