base_mae,channel,config_id,corr_mae,delta_pct,drop_concentration,kappa,max_mode,nuisance_lambda,raw_map,response_lambda,retention_power,rho,ridge_tau,scale,shrink,smooth_fit_start,smooth_lambda,source_corr,source_dot,source_full_l2,source_l2,source_retention,step_fit_start,step_lambda,target_factor,target_retention,test_curve,test_label,train_curve,win
0.004487187642230267,step,917,0.00186818957984451,-58.36613645789139,1.0,0.02710378549135475,16,0.05,0.08996270262067849,20.0,0.25,0.4,0.05,25,0.7142857142857143,3000,4.0,0.4549464699462551,0.00029144976341528687,0.023369959197071296,0.0007396732748699716,0.03165060189590176,12000,20.0,1.0,0.4614781245612423,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,1
0.002926482771138891,step,917,0.0022936156639255293,-21.625519666636215,1.0,0.02710378549135475,16,0.05,0.08996270262067849,20.0,0.25,0.4,0.05,25,0.7142857142857143,3000,4.0,0.4549464699462551,0.00029144976341528687,0.023369959197071296,0.0007396732748699716,0.03165060189590176,12000,20.0,1.0,0.7489617745948403,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,1
0.002504818961791151,step,917,0.0022032291203984804,-12.040384793997605,1.0,0.02710378549135475,16,0.05,0.08996270262067849,20.0,0.25,0.4,0.05,25,0.7142857142857143,3000,4.0,0.4549464699462551,0.00029144976341528687,0.023369959197071296,0.0007396732748699716,0.03165060189590176,12000,20.0,1.0,0.8648889816832777,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,1
0.0037480705220761528,smooth,917,0.0017333717223014897,-53.75295869989847,0.0006394638242375368,0.034439061530957674,16,0.05,0.15660599719979637,4.0,0.25,0.4,0.05,100,0.7142857142857143,3000,4.0,0.4058831880726571,0.0012227495275966668,0.5907875979544439,0.005307807807236751,0.008984291182845786,12000,20.0,1.0,0.26856455156151915,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,1
0.003248313740665229,smooth,917,0.001852421895244719,-42.97281472369853,0.00025006251562922964,0.034439061530957674,16,0.05,0.15660599719979637,4.0,0.25,0.4,0.05,100,0.7142857142857143,3000,4.0,0.4058831880726571,0.0012227495275966668,0.5907875979544439,0.005307807807236751,0.008984291182845786,12000,20.0,1.0,0.3223716594822317,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,1
0.0056693997340904675,step,917,0.003112910825028999,-45.09276164968815,1.0,0.04115888900842243,16,0.05,0.1366143077410085,20.0,0.25,0.4,0.05,100,0.7142857142857143,3000,4.0,0.4684988445518216,0.00044258572175340715,0.023369959197071296,0.0007396732748699716,0.03165060189590176,12000,20.0,1.0,0.4927652641767089,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,1
0.004934623402238123,step,917,0.004614324429190346,-6.4908493909080045,1.0,0.04115888900842243,16,0.05,0.1366143077410085,20.0,0.25,0.4,0.05,100,0.7142857142857143,3000,4.0,0.4684988445518216,0.00044258572175340715,0.023369959197071296,0.0007396732748699716,0.03165060189590176,12000,20.0,1.0,0.7777581181647101,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,1
0.0013816404339982303,step,917,0.0012530437655666402,-9.30753510589245,1.0,0.04115888900842243,16,0.05,0.1366143077410085,20.0,0.25,0.4,0.05,100,0.7142857142857143,3000,4.0,0.4684988445518216,0.00044258572175340715,0.023369959197071296,0.0007396732748699716,0.03165060189590176,12000,20.0,1.0,0.8824745460146127,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,1
0.004701998914275349,smooth,917,0.0017035398253353305,-63.76988050415421,0.0006394638242375368,0.05421704689293525,16,0.05,0.2462040801237421,4.0,0.25,0.4,0.05,400,0.7142857142857143,3000,4.0,0.466481346615674,0.0019298293874303787,0.5909231554895754,0.005338332274836578,0.00903388575188564,12000,20.0,1.0,0.26537905254912825,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,1
0.0038535563963712593,smooth,917,0.001716802847115945,-55.448871885394226,0.00025006251562922964,0.05421704689293525,16,0.05,0.2462040801237421,4.0,0.25,0.4,0.05,400,0.7142857142857143,3000,4.0,0.466481346615674,0.0019298293874303787,0.5909231554895754,0.005338332274836578,0.00903388575188564,12000,20.0,1.0,0.31973273225503973,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,1
0.008173606778800102,step,917,0.003587885386194043,-56.10401279029048,1.0,0.05433006559872288,16,0.05,0.18010056491507287,20.0,0.25,0.4,0.05,400,0.7142857142857143,3000,4.0,0.49077593429797456,0.0005841553694077715,0.023370369358279935,0.0007434954864424335,0.03181359588478301,12000,20.0,1.0,0.4927652641767089,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,1
0.006687305974578527,step,917,0.0057793980943959995,-13.576586500361977,1.0,0.05433006559872288,16,0.05,0.18010056491507287,20.0,0.25,0.4,0.05,400,0.7142857142857143,3000,4.0,0.49077593429797456,0.0005841553694077715,0.023370369358279935,0.0007434954864424335,0.03181359588478301,12000,20.0,1.0,0.7777581181647101,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,1
0.0025579541942073844,step,917,0.0024077313470258115,-5.872773152926669,1.0,0.05433006559872288,16,0.05,0.18010056491507287,20.0,0.25,0.4,0.05,400,0.7142857142857143,3000,4.0,0.49077593429797456,0.0005841553694077715,0.023370369358279935,0.0007434954864424335,0.03181359588478301,12000,20.0,1.0,0.8824745460146127,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,1
0.003408385839825258,smooth,925,0.0019964251530382067,-41.42608123437809,0.0006394638242375368,0.025603720739922852,16,0.05,0.11706787325103671,4.0,0.25,0.4,0.05,25,0.7142857142857143,5000,4.0,0.4287247118713303,0.0009005695994684204,0.5907732197866994,0.005192713418798229,0.008789689926488332,12000,20.0,1.0,0.26616097096042696,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,1
0.0031360955249893426,smooth,925,0.0021100720713338903,-32.71658804649896,0.00025006251562922964,0.025603720739922852,16,0.05,0.11706787325103671,4.0,0.25,0.4,0.05,25,0.7142857142857143,5000,4.0,0.4287247118713303,0.0009005695994684204,0.5907732197866994,0.005192713418798229,0.008789689926488332,12000,20.0,1.0,0.31984607541595783,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,1
