center,config_id,gate_sign,gate_tau,mean_delta,mean_step_curvature_coef,mean_step_gate_coef,mean_step_primary_coef,median_delta,nonharm,rows,shrink_gate,time_power,width,wins,worst_delta
0.3,466,signed,0.003,-21.417297815450812,0.01932448962310012,0.1967632565128956,0.019070253297924597,-13.905648015158212,10,15,1,2.0,0.25,10,19.81684775282817
0.3,467,signed,0.003,-10.416586243529403,0.01932448962310012,0.2656303962924091,0.019070253297924597,-11.163875272335776,9,15,0,2.0,0.25,9,64.544291818577
0.3,468,nonpos,0.01,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,2.0,0.25,15,-10.801466736917275
0.3,469,nonpos,0.01,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,2.0,0.25,15,-10.801466736917275
0.3,470,signed,0.01,-27.34402094350705,0.019128358755623718,0.1347016790975851,0.02590429223443852,-17.55895636864009,14,15,1,2.0,0.25,14,3.4472610069082643
0.3,471,signed,0.01,-19.93007584434639,0.019128358755623718,0.18184726678173987,0.02590429223443852,-13.552180025217886,10,15,0,2.0,0.25,10,23.47487725832469
0.3,472,nonpos,0.03,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,2.0,0.25,15,-10.801466736917275
0.3,473,nonpos,0.03,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,2.0,0.25,15,-10.801466736917275
0.3,474,signed,0.03,-36.267215884189994,0.01881538724679392,0.03570287177219774,0.03680577634845531,-40.477293275340145,15,15,1,2.0,0.25,15,-7.027478952851429
0.3,475,signed,0.03,-34.600174307695944,0.01881538724679392,0.04819887689246695,0.03680577634845531,-40.33000073700599,15,15,0,2.0,0.25,15,-4.868162422544653
0.3,476,nonpos,0.1,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,2.0,0.25,15,-10.801466736917275
0.3,477,nonpos,0.1,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,2.0,0.25,15,-10.801466736917275
0.3,478,signed,0.1,-37.55845535633408,0.01871454746145379,0.0038143940502768417,0.040317257036893345,-40.477293275340145,15,15,1,2.0,0.25,15,-10.398356017522447
0.3,479,signed,0.1,-37.5586293933343,0.01871454746145379,0.005149431967873737,0.040317257036893345,-40.477293275340145,15,15,0,2.0,0.25,15,-10.16771307702088
0.4,480,nonpos,0.001,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,0.0,0.05,15,-10.801466736917275
0.4,481,nonpos,0.001,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,0.0,0.05,15,-10.801466736917275
0.4,482,signed,0.001,-36.86401463656334,0.01868751268523293,0.05185941272229003,0.04268830060196815,-40.477293275340145,15,15,1,0.0,0.05,15,-5.985898932448064
0.4,483,signed,0.001,-36.59489549433699,0.01868751268523293,0.07001020717509154,0.04268830060196815,-40.477293275340145,15,15,0,0.0,0.05,15,-4.667357571548935
0.4,484,nonpos,0.003,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,0.0,0.05,15,-10.801466736917275
0.4,485,nonpos,0.003,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,0.0,0.05,15,-10.801466736917275
0.4,486,signed,0.003,-36.87124121065703,0.018687623208123963,0.05147658036636935,0.0426738980017966,-40.477293275340145,15,15,1,0.0,0.05,15,-6.0214481875237595
0.4,487,signed,0.003,-36.60533400924184,0.018687623208123963,0.06949338349459863,0.0426738980017966,-40.477293275340145,15,15,0,0.0,0.05,15,-4.712640499801834
0.4,488,nonpos,0.01,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,0.0,0.05,15,-10.801466736917275
0.4,489,nonpos,0.01,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,0.0,0.05,15,-10.801466736917275
0.4,490,signed,0.01,-36.943873582168585,0.018688774453439902,0.04748886427920274,0.042523875467033984,-40.477293275340145,15,15,1,0.0,0.05,15,-6.391741554382913
0.4,491,signed,0.01,-36.711856219277166,0.018688774453439902,0.06410996677692371,0.042523875467033984,-40.477293275340145,15,15,0,0.0,0.05,15,-5.184323181420081
0.4,492,nonpos,0.03,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,0.0,0.05,15,-10.801466736917275
0.4,493,nonpos,0.03,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,0.0,0.05,15,-10.801466736917275
0.4,494,signed,0.03,-37.24613821546755,0.01869432869292038,0.028249943141374752,0.04180008479128957,-40.477293275340145,15,15,1,0.0,0.05,15,-8.17823543074201
0.4,495,signed,0.03,-37.12467616473959,0.01869432869292038,0.03813742324085592,0.04180008479128957,-40.477293275340145,15,15,0,0.0,0.05,15,-7.45997351089418
0.4,496,nonpos,0.1,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,0.0,0.05,15,-10.801466736917275
0.4,497,nonpos,0.1,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,0.0,0.05,15,-10.801466736917275
0.4,498,signed,0.1,-37.49797708737629,0.018701030182387585,0.005037170786063114,0.04092679318960988,-40.477293275340145,15,15,1,0.0,0.05,15,-10.33372642563215
0.4,499,signed,0.1,-37.47917751327366,0.018701030182387585,0.006800180561185203,0.04092679318960988,-40.477293275340145,15,15,0,0.0,0.05,15,-10.205655350396437
0.4,500,nonpos,0.001,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,1.0,0.05,15,-10.801466736917275
0.4,501,nonpos,0.001,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,1.0,0.05,15,-10.801466736917275
0.4,502,signed,0.001,-36.95652895516591,0.018689418815381633,0.08381774598455527,0.042687925359921775,-40.477293275340145,15,15,1,1.0,0.05,15,-6.4416119135500605
0.4,503,signed,0.001,-36.72965621038939,0.018689418815381633,0.11315395707914962,0.042687925359921775,-40.477293275340145,15,15,0,1.0,0.05,15,-5.288119436942984
0.4,504,nonpos,0.003,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,1.0,0.05,15,-10.801466736917275
0.4,505,nonpos,0.003,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,1.0,0.05,15,-10.801466736917275
0.4,506,signed,0.003,-36.972836196419074,0.018689662893153908,0.08225203906768347,0.04265148766364216,-40.477293275340145,15,15,1,1.0,0.05,15,-6.52303636324455
0.4,507,signed,0.003,-36.75355196407118,0.018689662893153908,0.1110402527413727,0.04265148766364216,-40.477293275340145,15,15,0,1.0,0.05,15,-5.391086459484306
0.4,508,nonpos,0.01,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,1.0,0.05,15,-10.801466736917275
0.4,509,nonpos,0.01,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,1.0,0.05,15,-10.801466736917275
0.4,510,signed,0.01,-37.1103575842529,0.018691909926802835,0.06783763771929753,0.04231603052836483,-40.477293275340145,15,15,1,1.0,0.05,15,-7.272686780736937
0.4,511,signed,0.01,-36.944852359246546,0.018691909926802835,0.09158081092105166,0.04231603052836483,-40.477293275340145,15,15,0,1.0,0.05,15,-6.339072865604056
0.4,512,nonpos,0.03,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,1.0,0.05,15,-10.801466736917275
0.4,513,nonpos,0.03,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,1.0,0.05,15,-10.801466736917275
0.4,514,signed,0.03,-37.41583390893392,0.018698322377055692,0.026701102326703776,0.04135868640889851,-40.477293275340145,15,15,1,1.0,0.05,15,-9.412381488268718
0.4,515,signed,0.03,-37.35898355522148,0.018698322377055692,0.036046488141050104,0.04135868640889851,-40.477293275340145,15,15,0,1.0,0.05,15,-9.044869392431476
0.4,516,nonpos,0.1,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,1.0,0.05,15,-10.801466736917275
0.4,517,nonpos,0.1,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,1.0,0.05,15,-10.801466736917275
0.4,518,signed,0.1,-37.52354930249025,0.018701957426598612,0.0033808428403105067,0.04081596910401989,-40.477293275340145,15,15,1,1.0,0.05,15,-10.625572877091205
0.4,519,signed,0.1,-37.51874782592465,0.018701957426598612,0.004564137834419184,0.04081596910401989,-40.477293275340145,15,15,0,1.0,0.05,15,-10.579036409201736
0.4,520,nonpos,0.001,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,2.0,0.05,15,-10.801466736917275
0.4,521,nonpos,0.001,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,2.0,0.05,15,-10.801466736917275
0.4,522,signed,0.001,-37.04104088658416,0.01869149877596169,0.134479182094267,0.04267764813757011,-40.477293275340145,15,15,1,2.0,0.05,15,-6.853468037536292
0.4,523,signed,0.001,-36.853369742456366,0.01869149877596169,0.1815468958272605,0.04267764813757011,-40.477293275340145,15,15,0,2.0,0.05,15,-5.847736408099536
0.4,524,nonpos,0.003,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,2.0,0.05,15,-10.801466736917275
0.4,525,nonpos,0.003,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,2.0,0.05,15,-10.801466736917275
0.4,526,signed,0.003,-37.076695898618546,0.018692004796444943,0.12828546983376737,0.04258828091417011,-40.477293275340145,15,15,1,2.0,0.05,15,-7.035226639959635
0.4,527,signed,0.003,-36.902329577297834,0.018692004796444943,0.17318538427558597,0.04258828091417011,-40.477293275340145,15,15,0,2.0,0.05,15,-6.075797045883191
0.4,528,nonpos,0.01,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,2.0,0.05,15,-10.801466736917275
0.4,529,nonpos,0.01,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,2.0,0.05,15,-10.801466736917275
0.4,530,signed,0.01,-37.29385392291014,0.01869560782157949,0.08418241167150567,0.04195193116172534,-40.477293275340145,15,15,1,2.0,0.05,15,-8.32966820338238
0.4,531,signed,0.01,-37.19201436527083,0.01869560782157949,0.11364625575653266,0.04195193116172534,-40.477293275340145,15,15,0,2.0,0.05,15,-7.6999906993951654
0.4,532,nonpos,0.03,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,2.0,0.05,15,-10.801466736917275
0.4,533,nonpos,0.03,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,2.0,0.05,15,-10.801466736917275
0.4,534,signed,0.03,-37.49382934618585,0.018700774889336445,0.02092884388028976,0.04103926476009147,-40.477293275340145,15,15,1,2.0,0.05,15,-10.186821296017767
0.4,535,signed,0.03,-37.472030895789835,0.018700774889336445,0.028253939238391184,0.04103926476009147,-40.477293275340145,15,15,0,2.0,0.05,15,-10.030243645447678
0.4,536,nonpos,0.1,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,2.0,0.05,15,-10.801466736917275
0.4,537,nonpos,0.1,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,2.0,0.05,15,-10.801466736917275
0.4,538,signed,0.1,-37.52875682810206,0.018702305346420853,0.002192184492101457,0.04076891929274457,-40.477293275340145,15,15,1,2.0,0.05,15,-10.7370820619755
0.4,539,signed,0.1,-37.527094584201116,0.018702305346420853,0.0029594490643369675,0.04076891929274457,-40.477293275340145,15,15,0,2.0,0.05,15,-10.720680409146055
0.4,540,nonpos,0.001,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,0.0,0.1,15,-10.801466736917275
0.4,541,nonpos,0.001,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,0.0,0.1,15,-10.801466736917275
0.4,542,signed,0.001,-27.361022843236086,0.018832521187089557,0.11417346954590614,0.04412976190526219,-40.477293275340145,12,15,1,0.0,0.1,12,32.38797869856713
0.4,543,signed,0.001,-23.469726506163592,0.018832521187089557,0.1541341838869733,0.04412976190526219,-40.477293275340145,12,15,0,0.0,0.1,12,48.48090214917804
0.4,544,nonpos,0.003,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,0.0,0.1,15,-10.801466736917275
0.4,545,nonpos,0.003,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,0.0,0.1,15,-10.801466736917275
0.4,546,signed,0.003,-27.483416977287458,0.018831256836697244,0.11306337389254234,0.044096777272553345,-40.477293275340145,12,15,1,0.0,0.1,12,31.968072008512127
0.4,547,signed,0.003,-23.63447819110563,0.018831256836697244,0.15263555475493218,0.044096777272553345,-40.477293275340145,12,15,0,0.0,0.1,12,47.68278010358693
0.4,548,nonpos,0.01,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,0.0,0.1,15,-10.801466736917275
0.4,549,nonpos,0.01,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,0.0,0.1,15,-10.801466736917275
0.4,550,signed,0.01,-28.716569466301475,0.01881843299601178,0.10180406513387437,0.04376222577891447,-40.477293275340145,12,15,1,0.0,0.1,12,27.709085025330427
0.4,551,signed,0.01,-25.285475276446142,0.01881843299601178,0.1374354879307304,0.04376222577891447,-40.477293275340145,12,15,0,0.0,0.1,12,40.56577050005801
0.4,552,nonpos,0.03,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,0.0,0.1,15,-10.801466736917275
0.4,553,nonpos,0.03,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,0.0,0.1,15,-10.801466736917275
