estimator,train_curve,train_label,test_curve,test_label,base_mae,corr_mae,delta_pct,wins,tests,mean_kappa,max_kappa
smooth_weight_cap_0p04,wsdcon_9.csv,WSD-con 9e-5,wsdld_20000_24000.csv,WSD linear,0.003412655220675277,0.0029657367082368824,-13.095917505254484,3,3,0.01995376745608221,0.028319874737456927
smooth_weight_cap_0p04,wsdcon_9.csv,WSD-con 9e-5,wsdcon_3.csv,WSD-con 3e-5,0.0061100647183736125,0.004175825072231736,-31.656614705330576,3,3,0.01995376745608221,0.028319874737456927
smooth_weight_cap_0p04,wsdcon_9.csv,WSD-con 9e-5,wsdcon_9.csv,WSD-con 9e-5,0.00484947071598518,0.0043335674804843285,-10.638341083291692,3,3,0.01995376745608221,0.028319874737456927
smooth_weight_cap_0p04,wsdcon_9.csv,WSD-con 9e-5,wsdcon_18.csv,WSD-con 18e-5,0.0021481378633322556,0.0019258551040573675,-10.347695232654964,3,3,0.01995376745608221,0.028319874737456927
smooth_weight_cap_0p04,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,Cosine,0.006774363885652582,0.006526716740700615,-3.6556516468868594,3,3,0.024664258755462243,0.03084590926016943
smooth_weight_cap_0p04,wsdcon_18.csv,WSD-con 18e-5,wsd_20000_24000.csv,WSD sharp,0.003952818425392253,0.0031861561985514187,-19.39533123798257,3,3,0.024664258755462243,0.03084590926016943
smooth_weight_cap_0p04,wsdcon_18.csv,WSD-con 18e-5,wsdld_20000_24000.csv,WSD linear,0.003412655220675277,0.0028602710148468587,-16.18634670393442,3,3,0.024664258755462243,0.03084590926016943
smooth_weight_cap_0p04,wsdcon_18.csv,WSD-con 18e-5,wsdcon_3.csv,WSD-con 3e-5,0.0061100647183736125,0.00486369461268602,-20.39864000031989,2,3,0.024664258755462243,0.03084590926016943
smooth_weight_cap_0p04,wsdcon_18.csv,WSD-con 18e-5,wsdcon_9.csv,WSD-con 9e-5,0.00484947071598518,0.004627247330005107,-4.582425567548309,2,3,0.024664258755462243,0.03084590926016943
smooth_weight_cap_0p04,wsdcon_18.csv,WSD-con 18e-5,wsdcon_18.csv,WSD-con 18e-5,0.0021481378633322556,0.0018551588470773026,-13.638743641922268,3,3,0.024664258755462243,0.03084590926016943
smooth_weight_cap_0p03,cosine_72000.csv,Cosine,cosine_72000.csv,Cosine,0.006774363885652582,0.0067739651380469,-0.005886126172327533,3,3,3.813518573645362e-05,4.508917255402245e-05
smooth_weight_cap_0p03,cosine_72000.csv,Cosine,wsd_20000_24000.csv,WSD sharp,0.003952818425392253,0.00395163220211753,-0.03000955639911318,3,3,3.813518573645362e-05,4.508917255402245e-05
smooth_weight_cap_0p03,cosine_72000.csv,Cosine,wsdld_20000_24000.csv,WSD linear,0.003412655220675277,0.0034118019571292408,-0.025002922676364836,3,3,3.813518573645362e-05,4.508917255402245e-05
smooth_weight_cap_0p03,cosine_72000.csv,Cosine,wsdcon_3.csv,WSD-con 3e-5,0.0061100647183736125,0.0061047709012198165,-0.0866409342257346,3,3,3.813518573645362e-05,4.508917255402245e-05
smooth_weight_cap_0p03,cosine_72000.csv,Cosine,wsdcon_9.csv,WSD-con 9e-5,0.00484947071598518,0.00484787907789207,-0.03282086203476586,3,3,3.813518573645362e-05,4.508917255402245e-05
smooth_weight_cap_0p03,cosine_72000.csv,Cosine,wsdcon_18.csv,WSD-con 18e-5,0.0021481378633322556,0.0021474831331531464,-0.030478964608604553,3,3,3.813518573645362e-05,4.508917255402245e-05
smooth_weight_cap_0p03,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,Cosine,0.006774363885652582,0.006473252314864904,-4.444868564344495,3,3,0.03,0.03
smooth_weight_cap_0p03,wsd_20000_24000.csv,WSD sharp,wsd_20000_24000.csv,WSD sharp,0.003952818425392253,0.0030200688479591967,-23.597076239101366,3,3,0.03,0.03
smooth_weight_cap_0p03,wsd_20000_24000.csv,WSD sharp,wsdld_20000_24000.csv,WSD linear,0.003412655220675277,0.002741118716890095,-19.67783032158468,3,3,0.03,0.03
smooth_weight_cap_0p03,wsd_20000_24000.csv,WSD sharp,wsdcon_3.csv,WSD-con 3e-5,0.0061100647183736125,0.004883979681564918,-20.066645662880234,2,3,0.03,0.03
smooth_weight_cap_0p03,wsd_20000_24000.csv,WSD sharp,wsdcon_9.csv,WSD-con 9e-5,0.00484947071598518,0.004740487028271537,-2.2473315975370833,1,3,0.03,0.03
smooth_weight_cap_0p03,wsd_20000_24000.csv,WSD sharp,wsdcon_18.csv,WSD-con 18e-5,0.0021481378633322556,0.0018876858486423012,-12.124548388432267,3,3,0.03,0.03
smooth_weight_cap_0p03,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,Cosine,0.006774363885652582,0.006473252314864904,-4.444868564344495,3,3,0.03,0.03
smooth_weight_cap_0p03,wsdld_20000_24000.csv,WSD linear,wsd_20000_24000.csv,WSD sharp,0.003952818425392253,0.0030200688479591967,-23.597076239101366,3,3,0.03,0.03
smooth_weight_cap_0p03,wsdld_20000_24000.csv,WSD linear,wsdld_20000_24000.csv,WSD linear,0.003412655220675277,0.002741118716890095,-19.67783032158468,3,3,0.03,0.03
smooth_weight_cap_0p03,wsdld_20000_24000.csv,WSD linear,wsdcon_3.csv,WSD-con 3e-5,0.0061100647183736125,0.004883979681564918,-20.066645662880234,2,3,0.03,0.03
smooth_weight_cap_0p03,wsdld_20000_24000.csv,WSD linear,wsdcon_9.csv,WSD-con 9e-5,0.00484947071598518,0.004740487028271537,-2.2473315975370833,1,3,0.03,0.03
smooth_weight_cap_0p03,wsdld_20000_24000.csv,WSD linear,wsdcon_18.csv,WSD-con 18e-5,0.0021481378633322556,0.0018876858486423012,-12.124548388432267,3,3,0.03,0.03
smooth_weight_cap_0p03,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,Cosine,0.006774363885652582,0.0065532894115633645,-3.2633982735623457,3,3,0.022954390434185522,0.03
smooth_weight_cap_0p03,wsdcon_3.csv,WSD-con 3e-5,wsd_20000_24000.csv,WSD sharp,0.003952818425392253,0.0032381090238142586,-18.081007642213443,3,3,0.022954390434185522,0.03
smooth_weight_cap_0p03,wsdcon_3.csv,WSD-con 3e-5,wsdld_20000_24000.csv,WSD linear,0.003412655220675277,0.002898705618563221,-15.060109178282556,3,3,0.022954390434185522,0.03
smooth_weight_cap_0p03,wsdcon_3.csv,WSD-con 3e-5,wsdcon_3.csv,WSD-con 3e-5,0.0061100647183736125,0.004132200327025089,-32.37059642594088,3,3,0.022954390434185522,0.03
smooth_weight_cap_0p03,wsdcon_3.csv,WSD-con 3e-5,wsdcon_9.csv,WSD-con 9e-5,0.00484947071598518,0.004357258817760324,-10.149806588219846,3,3,0.022954390434185522,0.03
smooth_weight_cap_0p03,wsdcon_3.csv,WSD-con 3e-5,wsdcon_18.csv,WSD-con 18e-5,0.0021481378633322556,0.0019165560721662318,-10.780583272564604,3,3,0.022954390434185522,0.03
smooth_weight_cap_0p03,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,Cosine,0.006774363885652582,0.006584987688508151,-2.7954830939257658,3,3,0.01995376745608221,0.028319874737456927
smooth_weight_cap_0p03,wsdcon_9.csv,WSD-con 9e-5,wsd_20000_24000.csv,WSD sharp,0.003952818425392253,0.0033312873888801686,-15.72374365894147,3,3,0.01995376745608221,0.028319874737456927
smooth_weight_cap_0p03,wsdcon_9.csv,WSD-con 9e-5,wsdld_20000_24000.csv,WSD linear,0.003412655220675277,0.0029657367082368824,-13.095917505254484,3,3,0.01995376745608221,0.028319874737456927
