config_id,extra_center,extra_tau,extra_time_power,extra_width,mean_delta,median_delta,nonharm,rows,shrink_gates,target_mean_delta,target_worst_delta,wins,worst_delta
1096,0.5,0.03,1.0,0.03,-37.884559370437465,-40.477293275340145,15,15,0,-17.56417267274163,-11.799784155672954,15,-11.799784155672954
1019,0.4,0.1,2.0,0.1,-37.88455752280128,-40.477293275340145,15,15,1,-17.5641634345607,-11.817017142697017,15,-11.817017142697017
1134,0.5,0.01,2.0,0.05,-37.88453173735595,-40.477293275340145,15,15,0,-17.564034507334082,-11.773371102342633,15,-11.773371102342633
1131,0.5,0.001,2.0,0.05,-37.88449214777507,-40.477293275340145,15,15,1,-17.563836559429635,-11.811173907515016,15,-11.811173907515016
869,0.3,0.1,2.0,0.15,-37.88435246347735,-40.477293275340145,15,15,1,-17.563138137941028,-11.817942221100818,15,-11.817942221100818
1126,0.5,0.03,1.0,0.05,-37.884286578347115,-40.477293275340145,15,15,0,-17.5628087122899,-11.787249111120524,15,-11.787249111120524
1219,0.5,0.1,1.0,0.15,-37.884216617816946,-40.477293275340145,15,15,1,-17.56245890963902,-11.777991206911498,15,-11.777991206911498
1121,0.5,0.001,1.0,0.05,-37.88418901735368,-40.477293275340145,15,15,1,-17.562320907322682,-11.811156691730073,15,-11.811156691730073
1088,0.5,0.1,0.0,0.03,-37.88414527661725,-40.477293275340145,15,15,0,-17.56210220364055,-11.800337572910102,15,-11.800337572910102
1106,0.5,0.03,2.0,0.03,-37.88413750125052,-40.477293275340145,15,15,0,-17.562063326806925,-11.800359357208146,15,-11.800359357208146
478,0.2,0.1,2.0,0.1,-37.88412686613813,-40.477293275340145,15,15,0,-17.562010151244984,-11.805344809868135,15,-11.805344809868135
448,0.2,0.1,2.0,0.08,-37.88408586636418,-40.477293275340145,15,15,0,-17.561805152375218,-11.804373394104617,15,-11.804373394104617
1118,0.5,0.1,0.0,0.05,-37.884066906650354,-40.477293275340145,15,15,0,-17.56171035380606,-11.796015924388815,15,-11.796015924388815
26,0.1,0.03,2.0,0.03,-37.884041102449,-40.477293275340145,15,15,0,-17.56158133279926,-11.815259277724854,15,-11.815259277724854
1136,0.5,0.03,2.0,0.05,-37.88403196353804,-40.477293275340145,15,15,0,-17.561535638244525,-11.795803996905185,15,-11.795803996905185
1098,0.5,0.1,1.0,0.03,-37.883992265269036,-40.477293275340145,15,15,0,-17.561337146899486,-11.800551989924923,15,-11.800551989924923
1128,0.5,0.1,1.0,0.05,-37.883964522020186,-40.477293275340145,15,15,0,-17.561198430655253,-11.79915858538405,15,-11.79915858538405
400,0.2,0.001,1.0,0.05,-37.88394892823439,-40.477293275340145,15,15,0,-17.56112046172625,-11.800872451053824,15,-11.800872451053824
1108,0.5,0.1,2.0,0.03,-37.88394466800591,-40.477293275340145,15,15,0,-17.56109916058384,-11.800616820798703,15,-11.800616820798703
28,0.1,0.1,2.0,0.03,-37.88393720332488,-40.477293275340145,15,15,0,-17.561061837178684,-11.802261384267766,15,-11.802261384267766
1138,0.5,0.1,2.0,0.05,-37.883934758365356,-40.477293275340145,15,15,0,-17.561049612381062,-11.800176580626209,15,-11.800176580626209
402,0.2,0.003,1.0,0.05,-37.88392928249232,-40.477293275340145,15,15,0,-17.56102223301588,-11.800689609401626,15,-11.800689609401626
404,0.2,0.01,1.0,0.05,-37.88392485923217,-40.477293275340145,15,15,0,-17.56100011671518,-11.800648442409113,15,-11.800648442409113
406,0.2,0.03,1.0,0.05,-37.883924427684605,-40.477293275340145,15,15,0,-17.560997958977335,-11.800644426023787,15,-11.800644426023787
408,0.2,0.1,1.0,0.05,-37.88392437811053,-40.477293275340145,15,15,0,-17.56099771110691,-11.800643964641477,15,-11.800643964641477
928,0.4,0.1,2.0,0.03,-37.88388226812617,-40.477293275340145,15,15,0,-17.560787161185164,-11.799681240809557,15,-11.799681240809557
839,0.3,0.1,2.0,0.1,-37.88387206902757,-40.477293275340145,15,15,1,-17.560736165692152,-11.796852917295054,15,-11.796852917295054
918,0.4,0.1,1.0,0.03,-37.883783337933544,-40.477293275340145,15,15,0,-17.560292510222045,-11.797981299564109,15,-11.797981299564109
1111,0.5,0.001,0.0,0.05,-37.8837712573304,-40.477293275340145,15,15,1,-17.56023210720633,-11.811135312498177,15,-11.811135312498177
418,0.2,0.1,2.0,0.05,-37.88374955965379,-40.477293275340145,15,15,0,-17.56012361882326,-11.799526009418248,15,-11.799526009418248
1168,0.5,0.1,2.0,0.08,-37.88372933482906,-40.477293275340145,15,15,0,-17.560022494699652,-11.795513278519055,15,-11.795513278519055
278,0.15,0.1,0.0,0.1,-37.8836781831855,-40.477293275340145,15,15,0,-17.55976673648183,-11.814906514350909,15,-11.814906514350909
1123,0.5,0.003,1.0,0.05,-37.883669747734686,-40.477293275340145,15,15,1,-17.559724559227757,-11.811083704400128,15,-11.811083704400128
388,0.2,0.1,2.0,0.03,-37.883665162218485,-40.477293275340145,15,15,0,-17.559701631646757,-11.799103433718905,15,-11.799103433718905
1079,0.4,0.1,2.0,0.25,-37.88364470916667,-40.477293275340145,15,15,1,-17.55959936638762,-11.817180704631525,15,-11.817180704631525
508,0.2,0.1,2.0,0.15,-37.883628953759334,-40.477293275340145,15,15,0,-17.55952058935102,-11.794228950884056,15,-11.794228950884056
378,0.2,0.1,1.0,0.03,-37.883613293377245,-40.477293275340145,15,15,0,-17.559442287440532,-11.798674521274622,15,-11.798674521274622
1113,0.5,0.003,0.0,0.05,-37.88361221280214,-40.477293275340145,15,15,1,-17.55943688456499,-11.811112562356929,15,-11.811112562356929
368,0.2,0.1,0.0,0.03,-37.88357828965637,-40.477293275340145,15,15,0,-17.55926726883617,-11.798230433019318,15,-11.798230433019318
298,0.15,0.1,2.0,0.1,-37.883569715492555,-40.477293275340145,15,15,0,-17.55922439801708,-11.80538041644057,15,-11.80538041644057
926,0.4,0.03,2.0,0.03,-37.88350886786255,-40.477293275340145,15,15,0,-17.558920159867053,-11.791141242401881,15,-11.791141242401881
908,0.4,0.1,0.0,0.03,-37.88348144064816,-40.477293275340145,15,15,0,-17.55878302379509,-11.7934183171036,15,-11.7934183171036
18,0.1,0.1,1.0,0.03,-37.883297639023745,-40.477293275340145,15,15,0,-17.55786401567302,-11.796146128458062,15,-11.796146128458062
398,0.2,0.1,0.0,0.05,-37.88327778362688,-40.477293275340145,15,15,0,-17.557764738688704,-11.79651312069776,15,-11.79651312069776
1158,0.5,0.1,1.0,0.08,-37.88323770408213,-40.477293275340145,15,15,0,-17.55756434096493,-11.784571735988036,15,-11.784571735988036
258,0.15,0.1,1.0,0.08,-37.88304746469596,-40.477293275340145,15,15,0,-17.556613144034127,-11.795033145484723,15,-11.795033145484723
1198,0.5,0.1,2.0,0.1,-37.88303192758223,-40.477293275340145,15,15,0,-17.55653545846545,-11.78273068786051,15,-11.78273068786051
108,0.1,0.1,1.0,0.1,-37.8829794901045,-40.477293275340145,15,15,0,-17.556273271076808,-11.794821554896851,15,-11.794821554896851
1133,0.5,0.003,2.0,0.05,-37.882890162697414,-40.477293275340145,15,15,1,-17.555826634041363,-11.81095402957908,15,-11.81095402957908
446,0.2,0.03,2.0,0.08,-37.88284554029742,-40.477293275340145,15,15,0,-17.55560352204135,-11.814064196881958,15,-11.814064196881958
958,0.4,0.1,2.0,0.05,-37.88274569271873,-40.477293275340145,15,15,0,-17.55510428414797,-11.780326291047027,15,-11.780326291047027
916,0.4,0.03,1.0,0.03,-37.88273573601803,-40.477293275340145,15,15,0,-17.555054500644406,-11.778198166644726,15,-11.778198166644726
538,0.2,0.1,2.0,0.25,-37.88267469878599,-40.477293275340145,15,15,0,-17.554749314484297,-11.769151407356105,15,-11.769151407356105
529,0.2,0.1,1.0,0.25,-37.88263341700695,-40.477293275340145,15,15,1,-17.55454290558909,-11.768105920078643,15,-11.768105920078643
8,0.1,0.1,0.0,0.03,-37.88251694736143,-40.477293275340145,15,15,0,-17.553960557361503,-11.788851220340145,15,-11.788851220340145
