center,config_id,gate_sign,gate_tau,mean_delta,median_delta,nonharm,rows,shrink_gate,target,time_power,width,wins,worst_delta
0.3,462,signed,0.001,-13.2025802023756,-13.451586958813044,3,3,1,wsdcon_18.csv,2.0,0.25,3,-12.266419528593541
0.3,391,signed,0.01,-13.18868682527099,-13.233473391034611,3,3,0,wsdcon_18.csv,1.0,0.15,3,-11.980935755867005
0.2,231,signed,0.01,-13.182068737949086,-13.558998126480548,3,3,0,wsdcon_18.csv,2.0,0.25,3,-12.196503936287407
0.3,362,signed,0.001,-13.173451670601558,-13.53021866173647,3,3,1,wsdcon_18.csv,0.0,0.15,3,-12.101224065051442
0.3,366,signed,0.003,-13.171332461221644,-13.527017499443893,3,3,1,wsdcon_18.csv,0.0,0.15,3,-12.10105839108293
0.3,370,signed,0.01,-13.150213385907717,-13.495115858399231,3,3,1,wsdcon_18.csv,0.0,0.15,3,-12.099407343284174
0.3,395,signed,0.03,-13.106246586748917,-13.582161585148311,3,3,0,wsdcon_18.csv,1.0,0.15,3,-12.079598866764208
0.2,214,signed,0.03,-13.091386748427695,-13.492167698935598,3,3,1,wsdcon_18.csv,1.0,0.25,3,-12.140184118467479
0.3,474,signed,0.03,-13.087377854697445,-13.130617622098239,3,3,1,wsdcon_18.csv,2.0,0.25,3,-12.323928309522747
0.3,374,signed,0.03,-13.068007858502488,-13.370933968993892,3,3,1,wsdcon_18.csv,0.0,0.15,3,-12.09298039113702
0.3,415,signed,0.03,-13.052734408649036,-13.442349851792779,3,3,0,wsdcon_18.csv,2.0,0.15,3,-11.971182672024527
0.2,235,signed,0.03,-13.046441147485092,-13.414729136383086,3,3,0,wsdcon_18.csv,2.0,0.25,3,-12.120557325443526
0.2,215,signed,0.03,-13.03017446596437,-12.834929576877563,3,3,0,wsdcon_18.csv,1.0,0.25,3,-12.350150551882189
0.2,234,signed,0.03,-13.02499679173067,-13.494138749133278,3,3,1,wsdcon_18.csv,2.0,0.25,3,-12.054896089933631
0.2,230,signed,0.01,-13.021347332795008,-13.196559241052952,3,3,1,wsdcon_18.csv,2.0,0.25,3,-11.81996961465186
0.3,394,signed,0.03,-13.010007233002339,-13.393958334441924,3,3,1,wsdcon_18.csv,1.0,0.15,3,-11.72300161105131
0.3,283,signed,0.001,-13.0075532931469,-13.463138230806903,3,3,0,wsdcon_18.csv,2.0,0.05,3,-11.993281457511129
0.3,282,signed,0.001,-13.007553288862558,-13.46313825322799,3,3,1,wsdcon_18.csv,2.0,0.05,3,-11.993281436664716
0.3,387,signed,0.003,-13.007291441270224,-12.765731192258778,3,3,0,wsdcon_18.csv,1.0,0.15,3,-11.85335521803127
0.3,287,signed,0.003,-13.007089749126132,-13.458527019666755,3,3,0,wsdcon_18.csv,2.0,0.05,3,-11.995266310539321
0.3,286,signed,0.003,-13.007089744933516,-13.458527041612477,3,3,1,wsdcon_18.csv,2.0,0.05,3,-11.99526629013653
0.3,263,signed,0.001,-13.00707159808528,-13.425015075490276,3,3,0,wsdcon_18.csv,1.0,0.05,3,-12.013723585737191
0.3,262,signed,0.001,-13.007071595252421,-13.42501510861942,3,3,1,wsdcon_18.csv,1.0,0.05,3,-12.01372356255237
0.3,267,signed,0.003,-13.006843734723512,-13.42310588030986,3,3,0,wsdcon_18.csv,1.0,0.05,3,-12.014502272158257
0.3,266,signed,0.003,-13.006843731920839,-13.423105913085143,3,3,1,wsdcon_18.csv,1.0,0.05,3,-12.014502249220527
0.3,243,signed,0.001,-13.006399459211309,-13.388863098014081,3,3,0,wsdcon_18.csv,0.0,0.05,3,-12.032653857619636
0.3,242,signed,0.001,-13.006399459041988,-13.388863146504226,3,3,1,wsdcon_18.csv,0.0,0.05,3,-12.032653832031471
0.3,247,signed,0.003,-13.006289982622212,-13.388107936016091,3,3,0,wsdcon_18.csv,0.0,0.05,3,-12.032939668849984
0.3,246,signed,0.003,-13.006289982453938,-13.38810798424851,3,3,1,wsdcon_18.csv,0.0,0.05,3,-12.032939643397656
0.3,251,signed,0.01,-13.005121741848823,-13.380049508002422,3,3,0,wsdcon_18.csv,0.0,0.05,3,-12.03598959620461
0.3,250,signed,0.01,-13.00512174169034,-13.380049553492125,3,3,1,wsdcon_18.csv,0.0,0.05,3,-12.035989572200133
0.3,271,signed,0.01,-13.004557425627999,-13.403950396430087,3,3,0,wsdcon_18.csv,1.0,0.05,3,-12.022315048687293
0.3,270,signed,0.01,-13.004557423129585,-13.403950425652045,3,3,1,wsdcon_18.csv,1.0,0.05,3,-12.022315028236353
0.3,291,signed,0.01,-13.002934044336149,-13.417194782292174,3,3,0,wsdcon_18.csv,2.0,0.05,3,-12.013057388675053
0.3,290,signed,0.01,-13.002934040961037,-13.41719479996094,3,3,1,wsdcon_18.csv,2.0,0.05,3,-12.013057372248493
0.3,399,signed,0.1,-13.000535811885792,-13.29680722208668,3,3,0,wsdcon_18.csv,1.0,0.15,3,-12.085706875886093
0.2,218,signed,0.1,-12.998856762390417,-13.276918348321043,3,3,1,wsdcon_18.csv,1.0,0.25,3,-12.09321397431623
0.3,255,signed,0.03,-12.998664412955067,-13.335507938543012,3,3,0,wsdcon_18.csv,0.0,0.05,3,-12.05284754340391
0.3,254,signed,0.03,-12.998664412849203,-13.335507968867532,3,3,1,wsdcon_18.csv,0.0,0.05,3,-12.052847527401344
0.3,378,signed,0.1,-12.998177330548588,-13.265439255175638,3,3,1,wsdcon_18.csv,0.0,0.15,3,-12.087520578158106
0.3,478,signed,0.1,-12.9967489605823,-13.23448125703407,3,3,1,wsdcon_18.csv,2.0,0.25,3,-12.111915072291634
0.3,398,signed,0.1,-12.996476085060243,-13.328229891343968,3,3,1,wsdcon_18.csv,1.0,0.15,3,-12.065197780096405
0.3,275,signed,0.03,-12.995380753715942,-13.32707931742717,3,3,0,wsdcon_18.csv,1.0,0.05,3,-12.05366777179957
