adiabatic_factor,amplitude_scale,base_mae,corr_mae,delta_pct,effective_tau_steps,fitted_residual_params,group,nonharm,scale,test_curve,test_label,uses_target_loss,win
0.9998554913294798,1.5,0.0025579541942073844,0.0023676189883065028,-7.440915335071496,130.0,0,core_wsd,1,400,wsdcon_18.csv,WSD-con 18e-5,0,1
0.0,1.5,0.007134640765897494,0.007134640765897494,0.0,256.0,0,extra_control,1,400,cosine_24000.csv,Cosine 24k,0,0
0.0,1.5,0.001679822173746335,0.001679822173746335,0.0,128.0,0,extra_control,1,400,constant_24000.csv,Constant 24k,0,0
0.0,1.5,0.004118245803084534,0.004118245803084534,0.0,128.0,0,extra_control,1,400,constant_72000.csv,Constant 72k,0,0
0.8168498168498168,2.0,0.003408385839825258,0.0027316597274408103,-19.85473899337471,256.0,0,core_wsd,1,25,wsd_20000_24000.csv,WSD sharp,0,1
0.8168498168498168,2.0,0.0031360955249893426,0.0022240522214185786,-29.082127642583956,256.0,0,core_wsd,1,25,wsdld_20000_24000.csv,WSD linear,0,1
0.9998554913294798,2.0,0.004487187642230267,0.003957313103577993,-11.808611114575784,130.0,0,core_wsd,1,25,wsdcon_3.csv,WSD-con 3e-5,0,1
0.9998554913294798,2.0,0.002926482771138891,0.0028482292559118324,-2.673978333267435,130.0,0,core_wsd,1,25,wsdcon_9.csv,WSD-con 9e-5,0,1
0.9998554913294798,2.0,0.002504818961791151,0.002381800550221507,-4.911269574615307,130.0,0,core_wsd,1,25,wsdcon_18.csv,WSD-con 18e-5,0,1
0.0,2.0,0.004428106847791531,0.004428106847791531,0.0,256.0,0,extra_control,1,25,cosine_24000.csv,Cosine 24k,0,0
0.0,2.0,0.003761619732988638,0.003761619732988638,0.0,128.0,0,extra_control,1,25,constant_24000.csv,Constant 24k,0,0
0.0,2.0,0.0015795124507172926,0.0015795124507172926,0.0,128.0,0,extra_control,1,25,constant_72000.csv,Constant 72k,0,0
0.8168498168498168,2.0,0.0037480705220761528,0.0026725605783580204,-28.69502954609242,256.0,0,core_wsd,1,100,wsd_20000_24000.csv,WSD sharp,0,1
0.8168498168498168,2.0,0.003248313740665229,0.0019772151224707614,-39.13102981038268,256.0,0,core_wsd,1,100,wsdld_20000_24000.csv,WSD linear,0,1
0.9998554913294798,2.0,0.0056693997340904675,0.004968244000943605,-12.367371609568611,130.0,0,core_wsd,1,100,wsdcon_3.csv,WSD-con 3e-5,0,1
0.9998554913294798,2.0,0.004934623402238123,0.004816176172882102,-2.4003296645149996,130.0,0,core_wsd,1,100,wsdcon_9.csv,WSD-con 9e-5,0,1
