base_config_id,config_id,fit_start_step,max_mode,mean_delta,median_delta,nonharm,nuisance_lambda,retention_power,rho_smooth,rho_step,ridge_tau,rows,smooth_lambda,step_lambda,wins,worst_delta
1579,1740,5000,12,-31.344889949581198,-29.800805066601,15,0.02,0.0,0.6,0.0,0.05,15,7.0,20.0,15,-12.57949430288523
1564,171,8000,8,-31.34483038807859,-27.11671715743349,15,0.02,0.0,1.0,0.2,0.05,15,7.0,20.0,15,-12.471263342941919
1563,1840,5000,8,-31.34263102701163,-29.812388969802562,15,0.02,0.0,0.6,0.0,0.05,15,7.0,20.0,15,-12.576358858112746
1580,71,8000,12,-31.341381988701574,-27.1114535138515,15,0.02,0.0,1.0,0.2,0.05,15,7.0,20.0,15,-12.46702606067146
1276,3310,8000,8,-31.340381531229298,-26.916090155214622,15,0.05,0.25,0.2,0.0,0.05,15,2.0,20.0,15,-11.867123017814007
1292,3110,8000,16,-31.339784805369444,-26.914533926910355,15,0.05,0.25,0.2,0.0,0.05,15,2.0,20.0,15,-11.866001928195224
1284,3210,8000,12,-31.33978140767479,-26.914648271197407,15,0.05,0.25,0.2,0.0,0.05,15,2.0,20.0,15,-11.865987148311618
170,12510,3000,8,-31.320262456204862,-27.190710383956795,15,0.05,0.25,0.2,0.0,0.05,15,4.0,20.0,15,-13.900022794149558
90,13110,3000,8,-31.320262456204862,-27.190710383956795,15,0.05,0.25,0.2,0.0,0.05,15,4.0,20.0,15,-13.900022794149558
178,12410,3000,12,-31.319668419297134,-27.1926385273475,15,0.05,0.25,0.2,0.0,0.05,15,4.0,20.0,15,-13.89960506338861
74,13010,3000,12,-31.319668419297134,-27.1926385273475,15,0.05,0.25,0.2,0.0,0.05,15,4.0,20.0,15,-13.89960506338861
186,12310,3000,16,-31.319605313924544,-27.192766292913305,15,0.05,0.25,0.2,0.0,0.05,15,4.0,20.0,15,-13.899596290302307
82,12910,3000,16,-31.319605313924544,-27.192766292913305,15,0.05,0.25,0.2,0.0,0.05,15,4.0,20.0,15,-13.899596290302307
1579,1720,5000,12,-31.319087901657337,-31.058333381093195,15,0.02,0.0,0.35,0.0,0.05,15,7.0,20.0,15,-6.563226188806148
1565,3570,12000,8,-31.314096630460405,-27.060598805306658,15,0.02,0.0,1.0,0.0,0.05,15,7.0,20.0,15,-13.160385733913415
1581,3470,12000,12,-31.313151847400043,-27.05781630628096,15,0.02,0.0,1.0,0.0,0.05,15,7.0,20.0,15,-13.156629475377601
1563,1820,5000,8,-31.309778737506132,-31.06750927821187,15,0.02,0.0,0.35,0.0,0.05,15,7.0,20.0,15,-6.559510106112931
435,5430,5000,8,-31.28625900586031,-27.016346611524323,15,0.015,0.0,0.5,0.0,0.05,15,7.0,20.0,15,-13.62962885939657
467,5530,5000,12,-31.27737143084755,-26.990806006491084,15,0.015,0.0,0.5,0.0,0.05,15,7.0,20.0,15,-13.623369833362474
475,5630,5000,16,-31.276549677728205,-26.98958759194323,15,0.015,0.0,0.5,0.0,0.05,15,7.0,20.0,15,-13.623415678697748
1229,2120,12000,8,-31.20678494305903,-27.332982684107265,15,0.05,0.25,0.35,0.0,0.05,15,4.0,20.0,15,-10.661217212570751
173,8620,12000,8,-31.20678494305903,-27.332982684107265,15,0.05,0.25,0.35,0.0,0.05,15,4.0,20.0,15,-10.661217212570751
1563,1852,5000,8,-31.20608011338142,-25.851331786170128,15,0.02,0.0,0.75,0.35,0.05,15,7.0,20.0,15,-12.319387693189277
1245,2020,12000,12,-31.205885552817946,-27.33273982600609,15,0.05,0.25,0.35,0.0,0.05,15,4.0,20.0,15,-10.660376808251792
181,8520,12000,12,-31.205885552817946,-27.33273982600609,15,0.05,0.25,0.35,0.0,0.05,15,4.0,20.0,15,-10.660376808251792
1237,1920,12000,16,-31.205852036626744,-27.33277813845684,15,0.05,0.25,0.35,0.0,0.05,15,4.0,20.0,15,-10.660356257564285
189,8420,12000,16,-31.205852036626744,-27.33277813845684,15,0.05,0.25,0.35,0.0,0.05,15,4.0,20.0,15,-10.660356257564285
1579,1752,5000,12,-31.19874184655238,-25.844792363653333,15,0.02,0.0,0.75,0.35,0.05,15,7.0,20.0,15,-12.316260452481986
1580,70,8000,12,-31.121501050725872,-27.277732991079706,15,0.02,0.0,1.0,0.0,0.05,15,7.0,20.0,15,-14.960400839531918
1564,170,8000,8,-31.120133231764452,-27.285489604125747,15,0.02,0.0,1.0,0.0,0.05,15,7.0,20.0,15,-14.965485204889006
1581,3410,12000,12,-31.1057236436476,-27.05781630628096,15,0.02,0.0,0.2,0.0,0.05,15,7.0,20.0,15,-7.728422209698904
