base_config_id,config_id,fit_start_step,max_mode,mean_delta,median_delta,nonharm,nuisance_lambda,retention_power,rho_smooth,rho_step,ridge_tau,rows,smooth_lambda,step_lambda,wins,worst_delta
1564,120,8000,8,-31.70151095819587,-27.880289548584948,15,0.02,0.0,0.35,0.0,0.05,15,7.0,20.0,15,-9.369748240836817
1564,121,8000,8,-31.92620811451001,-27.11671715743349,15,0.02,0.0,0.35,0.2,0.05,15,7.0,20.0,15,-9.369748240836817
1564,122,8000,8,-30.879072648002865,-25.262668359408114,15,0.02,0.0,0.35,0.35,0.05,15,7.0,20.0,15,-9.369748240836817
1564,123,8000,8,-29.125949269630457,-22.74948098724846,15,0.02,0.0,0.35,0.5,0.05,15,7.0,20.0,15,-9.369748240836817
1564,124,8000,8,-28.083097093532636,-21.327638425545647,15,0.02,0.0,0.35,0.6,0.05,15,7.0,20.0,15,-9.35344750720576
1564,125,8000,8,-26.724316844710344,-19.499555131927394,15,0.02,0.0,0.35,0.75,0.05,15,7.0,20.0,15,-8.551723435159452
1564,126,8000,8,-25.571135838569358,-18.115720043768523,15,0.02,0.0,0.35,0.9,0.05,15,7.0,20.0,15,-7.87658737448953
1564,127,8000,8,-24.894801832844728,-18.115720043768523,15,0.02,0.0,0.35,1.0,0.05,15,7.0,20.0,15,-7.482758005765122
1564,128,8000,8,-23.45944745619823,-18.115720043768523,15,0.02,0.0,0.35,1.25,0.05,15,7.0,20.0,15,-6.651340449568566
1564,129,8000,8,-22.304876632730302,-18.115720043768523,15,0.02,0.0,0.35,1.5,0.05,15,7.0,20.0,15,-5.98620640461146
1564,130,8000,8,-32.525667628524964,-30.45400499387918,15,0.02,0.0,0.5,0.0,0.05,15,7.0,20.0,15,-12.939507628644565
1564,131,8000,8,-32.75036478483911,-27.2198160502644,15,0.02,0.0,0.5,0.2,0.05,15,7.0,20.0,15,-12.471263342941919
1564,132,8000,8,-31.70322931833196,-25.262668359408114,15,0.02,0.0,0.5,0.35,0.05,15,7.0,20.0,15,-11.085567415947828
1564,133,8000,8,-29.95010593995956,-22.74948098724846,15,0.02,0.0,0.5,0.5,0.05,15,7.0,20.0,15,-9.977010674353126
1564,134,8000,8,-28.907253763861732,-22.680158905009385,15,0.02,0.0,0.5,0.6,0.05,15,7.0,20.0,15,-9.35344750720576
1564,135,8000,8,-27.548473515039447,-22.680158905009385,15,0.02,0.0,0.5,0.75,0.05,15,7.0,20.0,15,-8.551723435159452
1564,136,8000,8,-26.395292508898457,-22.680158905009385,15,0.02,0.0,0.5,0.9,0.05,15,7.0,20.0,15,-7.87658737448953
1564,137,8000,8,-25.718958503173827,-22.680158905009385,15,0.02,0.0,0.5,1.0,0.05,15,7.0,20.0,15,-7.482758005765122
1564,138,8000,8,-24.283604126527326,-22.680158905009385,15,0.02,0.0,0.5,1.25,0.05,15,7.0,20.0,15,-6.651340449568566
1564,139,8000,8,-23.129033303059405,-22.680158905009385,15,0.02,0.0,0.5,1.5,0.05,15,7.0,20.0,15,-5.98620640461146
1564,140,8000,8,-32.49623431782769,-30.45400499387918,15,0.02,0.0,0.6,0.0,0.05,15,7.0,20.0,15,-14.94749728428626
1564,141,8000,8,-32.72093147414184,-27.2198160502644,15,0.02,0.0,0.6,0.2,0.05,15,7.0,20.0,15,-12.471263342941919
1564,142,8000,8,-31.673796007634692,-25.262668359408114,15,0.02,0.0,0.6,0.35,0.05,15,7.0,20.0,15,-11.085567415947828
1564,143,8000,8,-29.92067262926229,-25.247655764457622,15,0.02,0.0,0.6,0.5,0.05,15,7.0,20.0,15,-9.977010674353126
1564,144,8000,8,-28.87782045316447,-25.247655764457622,15,0.02,0.0,0.6,0.6,0.05,15,7.0,20.0,15,-9.35344750720576
1564,145,8000,8,-27.519040204342176,-25.247655764457622,15,0.02,0.0,0.6,0.75,0.05,15,7.0,20.0,15,-8.551723435159452
1564,146,8000,8,-26.365859198201186,-25.247655764457622,15,0.02,0.0,0.6,0.9,0.05,15,7.0,20.0,15,-7.87658737448953
1564,147,8000,8,-25.68952519247656,-25.247655764457622,15,0.02,0.0,0.6,1.0,0.05,15,7.0,20.0,15,-7.482758005765122
1564,148,8000,8,-24.25417081583006,-25.247655764457622,15,0.02,0.0,0.6,1.25,0.05,15,7.0,20.0,15,-6.651340449568566
1564,149,8000,8,-23.09959999236214,-25.247655764457622,15,0.02,0.0,0.6,1.5,0.05,15,7.0,20.0,15,-5.98620640461146
1564,150,8000,8,-32.21098457436314,-29.722693026334024,15,0.02,0.0,0.75,0.0,0.05,15,7.0,20.0,15,-14.965485204889006
1564,151,8000,8,-32.43568173067728,-28.22853553224367,15,0.02,0.0,0.75,0.2,0.05,15,7.0,20.0,15,-12.471263342941919
1564,152,8000,8,-31.388546264170134,-28.22853553224367,15,0.02,0.0,0.75,0.35,0.05,15,7.0,20.0,15,-11.085567415947828
1564,153,8000,8,-29.635422885797734,-28.22853553224367,15,0.02,0.0,0.75,0.5,0.05,15,7.0,20.0,15,-9.977010674353126
1564,154,8000,8,-28.592570709699917,-28.22853553224367,15,0.02,0.0,0.75,0.6,0.05,15,7.0,20.0,15,-9.35344750720576
1564,155,8000,8,-27.233790460877614,-28.22853553224367,15,0.02,0.0,0.75,0.75,0.05,15,7.0,20.0,15,-8.551723435159452
1564,156,8000,8,-26.080609454736628,-28.22853553224367,15,0.02,0.0,0.75,0.9,0.05,15,7.0,20.0,15,-7.87658737448953
1564,157,8000,8,-25.404275449012,-28.22853553224367,15,0.02,0.0,0.75,1.0,0.05,15,7.0,20.0,15,-7.482758005765122
1564,158,8000,8,-23.968921072365504,-28.22853553224367,15,0.02,0.0,0.75,1.25,0.05,15,7.0,20.0,15,-6.651340449568566
1564,159,8000,8,-22.81435024889758,-28.22853553224367,15,0.02,0.0,0.75,1.5,0.05,15,7.0,20.0,15,-5.98620640461146
1564,160,8000,8,-31.5648426703482,-27.880289548584948,15,0.02,0.0,0.9,0.0,0.05,15,7.0,20.0,15,-14.965485204889006
1564,161,8000,8,-31.78953982666235,-27.71052200359848,15,0.02,0.0,0.9,0.2,0.05,15,7.0,20.0,15,-12.471263342941919
1564,162,8000,8,-30.7424043601552,-27.71052200359848,15,0.02,0.0,0.9,0.35,0.05,15,7.0,20.0,15,-11.085567415947828
1564,163,8000,8,-28.989280981782805,-27.71052200359848,15,0.02,0.0,0.9,0.5,0.05,15,7.0,20.0,15,-9.977010674353126
1564,164,8000,8,-27.946428805684977,-27.71052200359848,15,0.02,0.0,0.9,0.6,0.05,15,7.0,20.0,15,-9.35344750720576
1564,165,8000,8,-26.587648556862682,-27.71052200359848,15,0.02,0.0,0.9,0.75,0.05,15,7.0,20.0,15,-8.551723435159452
1564,166,8000,8,-25.434467550721692,-27.71052200359848,15,0.02,0.0,0.9,0.9,0.05,15,7.0,20.0,15,-7.87658737448953
1564,167,8000,8,-24.75813354499706,-27.71052200359848,15,0.02,0.0,0.9,1.0,0.05,15,7.0,20.0,15,-7.482758005765122
1564,168,8000,8,-23.322779168350568,-27.71052200359848,15,0.02,0.0,0.9,1.25,0.05,15,7.0,20.0,15,-6.651340449568566
1564,169,8000,8,-22.16820834488264,-27.71052200359848,15,0.02,0.0,0.9,1.5,0.05,15,7.0,20.0,15,-5.98620640461146
