cosine_to_wsd_mean,feature,method,nuisance,offdiag_mean_delta,offdiag_tests,offdiag_wins,offdiag_worst_delta,probe_to_wsd_mean,probe_to_wsd_worst,self_mean_delta,self_tests,self_wins,self_worst_delta,target_mode,tau_mode,train_retention_power
-1.0632304364034433,S10_current,S10_current__fourier2__eb_q75__R0p5__Tgate_0p01,fourier2,-8.596525937267094,90,61,0.0,-11.544390947120199,-5.860297957771143,-10.498878213463794,18,14,0.0,gate_0p01,eb_q75,0.5
-1.1217303764137025,step_tau512,step_tau512__fourier2__eb_q75__R0p0__Tdrop_linear,fourier2,-7.55688702621179,90,80,0.0,-12.263970423530456,-7.902127026510852,-9.03406219002088,18,16,0.0,drop_linear,eb_q75,0.0
-4.586676104599408,S10_current,S10_current__fourier2__none__R0p5__Tdrop_linear,fourier2,-9.126697630254627,90,75,0.0,-11.568343901524672,-5.862571241328518,-9.76228023049452,18,15,0.0,drop_linear,none,0.5
-1.0631964235908213,S10_current,S10_current__fourier2__eb_q75__R0p5__Tdrop_sqrt,fourier2,-8.598955783443804,90,75,0.0,-11.54353190154253,-5.8595653747373415,-9.983396154338168,18,15,0.0,drop_sqrt,eb_q75,0.5
-1.063162411866451,S10_current,S10_current__fourier2__eb_q75__R0p5__Tdrop_linear,fourier2,-8.285183909072332,90,75,0.0,-11.54267294466702,-5.858832883281817,-9.503414752247085,18,15,0.0,drop_linear,eb_q75,0.5
-6.95750891372614,S10_current,S10_current__dct4__none__R0p5__Tgate_0p01,dct4,-10.845254143757208,90,90,-1.1275672520504765,-10.29393122980919,-5.282661153097823,-11.342167107123986,18,18,-0.4684409787878985,gate_0p01,none,0.5
-6.95750891372614,S10_current,S10_current__dct4__none__R0p5__Tnone,dct4,-10.845254143757208,90,90,-1.1275672520504765,-10.29393122980919,-5.282661153097823,-11.342167107123986,18,18,-0.4684409787878985,none,none,0.5
-10.547252287143609,step_tau512,step_tau512__dct4__eb_q75__R0p0__Tdrop_linear,dct4,-8.623533824212585,90,85,0.0,-11.364694474106312,-7.483449352061832,-9.762387234370756,18,17,0.0,drop_linear,eb_q75,0.0
-1.1294873289949454,step_tau768,step_tau768__dct4__eb_q75__R0p5__Tnone,dct4,-6.916071568709617,90,85,0.0,-12.329773878176072,-7.182903807802887,-8.098684379838577,18,17,0.0,none,eb_q75,0.5
-1.1294873289949454,step_tau768,step_tau768__dct4__eb_q75__R0p5__Tgate_0p01,dct4,-6.593043115362314,90,70,0.0,-12.329773878176072,-7.182903807802887,-8.059430901192174,18,15,0.0,gate_0p01,eb_q75,0.5
-1.1294873289949454,step_tau768,step_tau768__dct4__eb_q75__R0p5__Tgate_0p03,dct4,-6.593043115362314,90,70,0.0,-12.329773878176072,-7.182903807802887,-8.059430901192174,18,15,0.0,gate_0p03,eb_q75,0.5
-1.1294873289949454,step_tau768,step_tau768__dct4__eb_q75__R0p5__Tgate_0p05,dct4,-6.593043115362314,90,70,0.0,-12.329773878176072,-7.182903807802887,-8.059430901192174,18,15,0.0,gate_0p05,eb_q75,0.5
-6.95750891372614,S10_current,S10_current__dct4__none__R0p5__Tgate_0p03,dct4,-10.458399647323981,90,75,0.0,-10.29393122980919,-5.282661153097823,-11.119221580735301,18,15,0.0,gate_0p03,none,0.5
-6.95750891372614,S10_current,S10_current__dct4__none__R0p5__Tgate_0p05,dct4,-10.458399647323981,90,75,0.0,-10.29393122980919,-5.282661153097823,-11.119221580735301,18,15,0.0,gate_0p05,none,0.5
-3.2156918461736628,S10_current,S10_current__dct4__eb_q75__R0p5__Tgate_0p01,dct4,-10.143254594540407,90,90,-1.0132815426371455,-10.28790515239358,-5.281995914572645,-11.161548381253608,18,18,-0.21628172836988258,gate_0p01,eb_q75,0.5
-3.2156918461736628,S10_current,S10_current__dct4__eb_q75__R0p5__Tnone,dct4,-10.143254594540407,90,90,-1.0132815426371455,-10.28790515239358,-5.281995914572645,-11.161548381253608,18,18,-0.21628172836988258,none,eb_q75,0.5
-1.1294511966199867,step_tau768,step_tau768__dct4__eb_q75__R0p5__Tdrop_sqrt,dct4,-6.641118124420407,90,85,0.0,-12.328800195156733,-7.182005888703524,-7.601036835743049,18,17,0.0,drop_sqrt,eb_q75,0.5
-6.957286342552379,S10_current,S10_current__dct4__none__R0p5__Tdrop_sqrt,dct4,-10.408752471430097,90,90,-1.1275672517652713,-10.293165352693123,-5.282000779177853,-10.767418667222975,18,18,-0.4684409786694488,drop_sqrt,none,0.5
-3.2156918461736628,S10_current,S10_current__dct4__eb_q75__R0p5__Tgate_0p03,dct4,-9.758979024922604,90,75,0.0,-10.28790515239358,-5.281995914572645,-11.057858868456153,18,15,0.0,gate_0p03,eb_q75,0.5
-3.2156918461736628,S10_current,S10_current__dct4__eb_q75__R0p5__Tgate_0p05,dct4,-9.758979024922604,90,75,0.0,-10.28790515239358,-5.281995914572645,-11.057858868456153,18,15,0.0,gate_0p05,eb_q75,0.5
-4.2018780003319005,S10_current,S10_current__dct2__none__R1p0__Tgate_0p01,dct2,-10.7793348422697,90,90,-0.9878482364516161,-9.704635910563951,-4.628076502195544,-11.725630582831549,18,18,-0.48113618371773414,gate_0p01,none,1.0
-4.2018780003319005,S10_current,S10_current__dct2__none__R1p0__Tnone,dct2,-10.7793348422697,90,90,-0.9878482364516161,-9.704635910563951,-4.628076502195544,-11.725630582831549,18,18,-0.48113618371773414,none,none,1.0
-3.215588975977209,S10_current,S10_current__dct4__eb_q75__R0p5__Tdrop_sqrt,dct4,-9.731247475580986,90,90,-0.771833918843523,-10.287139722990007,-5.2813356238128435,-10.586756014214544,18,18,-0.21628172831514858,drop_sqrt,eb_q75,0.5
-1.12941506540087,step_tau768,step_tau768__dct4__eb_q75__R0p5__Tdrop_linear,dct4,-6.32738497381943,90,85,0.0,-12.32782661569676,-7.181108081850973,-7.167264552345554,18,17,0.0,drop_linear,eb_q75,0.5
-2.2907927255021483,S10_current,S10_current__dct2__eb_q75__R1p0__Tgate_0p01,dct2,-10.387706456159247,90,90,-0.9877464822910298,-9.69774212374991,-4.627599783178593,-11.649713793587997,18,18,-0.2620070011498332,gate_0p01,eb_q75,1.0
-2.2907927255021483,S10_current,S10_current__dct2__eb_q75__R1p0__Tnone,dct2,-10.387706456159247,90,90,-0.9877464822910298,-9.69774212374991,-4.627599783178593,-11.649713793587997,18,18,-0.2620070011498332,none,eb_q75,1.0
-6.957063778498529,S10_current,S10_current__dct4__none__R0p5__Tdrop_linear,dct4,-10.013208525635067,90,90,-1.114468118749956,-10.29239955465267,-5.28134048780956,-10.31791785632649,18,18,-0.4684409785509325,drop_linear,none,0.5
-4.2018780003319005,S10_current,S10_current__dct2__none__R1p0__Tgate_0p03,dct2,-10.363082793450545,90,75,0.0,-9.704635910563951,-4.628076502195544,-11.591905622840239,18,15,0.0,gate_0p03,none,1.0
-4.2018780003319005,S10_current,S10_current__dct2__none__R1p0__Tgate_0p05,dct2,-10.363082793450545,90,75,0.0,-9.704635910563951,-4.628076502195544,-11.591905622840239,18,15,0.0,gate_0p05,none,1.0
-2.2907927255021483,S10_current,S10_current__dct2__eb_q75__R1p0__Tgate_0p03,dct2,-9.972141821513468,90,75,0.0,-9.69774212374991,-4.627599783178593,-11.576509342466686,18,15,0.0,gate_0p03,eb_q75,1.0
-2.2907927255021483,S10_current,S10_current__dct2__eb_q75__R1p0__Tgate_0p05,dct2,-9.972141821513468,90,75,0.0,-9.69774212374991,-4.627599783178593,-11.576509342466686,18,15,0.0,gate_0p05,eb_q75,1.0
-4.201743581974552,S10_current,S10_current__dct2__none__R1p0__Tdrop_sqrt,dct2,-10.457930520974806,90,90,-0.9878482362018826,-9.703914951995793,-4.62749795647156,-11.121329913191216,18,18,-0.4811361835960537,drop_sqrt,none,1.0
-3.2154861090716373,S10_current,S10_current__dct4__eb_q75__R0p5__Tdrop_linear,dct4,-9.361669706983124,90,90,-0.5145559458958004,-10.286374372615802,-5.280675415594205,-10.137646652583776,18,18,-0.2162817282605145,drop_linear,eb_q75,0.5
-2.290719442890121,S10_current,S10_current__dct2__eb_q75__R1p0__Tdrop_sqrt,dct2,-10.086029273062111,90,90,-0.9350114407994381,-9.697021676777732,-4.627021297048383,-11.045211001839226,18,18,-0.2620070010836195,drop_sqrt,eb_q75,1.0
