feature,group_id,mean_delta,method,nuisance,target_group,target_mode,tau_mode,tests,train_retention_power,wins,worst_delta
S10_current,probe3,-16.943126804709795,S10_current__dct2__eb_q75__R0p0__Tsqrt_retention,dct2,probe,sqrt_retention,eb_q75,9,0.0,9,-3.920142794119752
S10_current,probe3,-0.6940842338418592,S10_current__dct2__eb_q75__R0p0__Tsqrt_retention,dct2,cosine,sqrt_retention,eb_q75,3,0.0,3,-0.48745514877998053
S10_current,wsd,-28.679017580393005,S10_current__dct2__eb_q75__R0p0__Tsqrt_retention,dct2,wsd,sqrt_retention,eb_q75,6,0.0,6,-18.545659158543117
S10_current,wsd,9.942742783728365,S10_current__dct2__eb_q75__R0p0__Tsqrt_retention,dct2,probe,sqrt_retention,eb_q75,9,0.0,4,35.077662697218614
S10_current,wsd,-1.6617041808714594,S10_current__dct2__eb_q75__R0p0__Tsqrt_retention,dct2,cosine,sqrt_retention,eb_q75,3,0.0,3,-1.0404751555289748
S10_current,cosine,-44.93932124117,S10_current__dct2__eb_q75__R0p0__Tsqrt_retention_drop_sqrt,dct2,wsd,sqrt_retention_drop_sqrt,eb_q75,6,0.0,6,-30.158300811776527
S10_current,cosine,53.614239217062455,S10_current__dct2__eb_q75__R0p0__Tsqrt_retention_drop_sqrt,dct2,probe,sqrt_retention_drop_sqrt,eb_q75,9,0.0,1,95.44455690851086
S10_current,cosine,-2.7925949658842875,S10_current__dct2__eb_q75__R0p0__Tsqrt_retention_drop_sqrt,dct2,cosine,sqrt_retention_drop_sqrt,eb_q75,3,0.0,3,-1.6999062887562033
S10_current,probe,-10.993343299080527,S10_current__dct2__eb_q75__R0p0__Tsqrt_retention_drop_sqrt,dct2,wsd,sqrt_retention_drop_sqrt,eb_q75,6,0.0,6,-8.11202099133661
S10_current,probe,-16.020229311566663,S10_current__dct2__eb_q75__R0p0__Tsqrt_retention_drop_sqrt,dct2,probe,sqrt_retention_drop_sqrt,eb_q75,9,0.0,9,-5.405364105470634
S10_current,probe,-0.6380970211107099,S10_current__dct2__eb_q75__R0p0__Tsqrt_retention_drop_sqrt,dct2,cosine,sqrt_retention_drop_sqrt,eb_q75,3,0.0,3,-0.45516912991423464
S10_current,probe3,-11.962157420515913,S10_current__dct2__eb_q75__R0p0__Tsqrt_retention_drop_sqrt,dct2,wsd,sqrt_retention_drop_sqrt,eb_q75,6,0.0,6,-8.687422187405103
S10_current,probe3,-16.633084163421305,S10_current__dct2__eb_q75__R0p0__Tsqrt_retention_drop_sqrt,dct2,probe,sqrt_retention_drop_sqrt,eb_q75,9,0.0,9,-4.960026866051582
S10_current,probe3,-0.6940842336675468,S10_current__dct2__eb_q75__R0p0__Tsqrt_retention_drop_sqrt,dct2,cosine,sqrt_retention_drop_sqrt,eb_q75,3,0.0,3,-0.487455148656768
S10_current,wsd,-28.676819827273047,S10_current__dct2__eb_q75__R0p0__Tsqrt_retention_drop_sqrt,dct2,wsd,sqrt_retention_drop_sqrt,eb_q75,6,0.0,6,-18.543340806242124
S10_current,wsd,1.7496677439085202,S10_current__dct2__eb_q75__R0p0__Tsqrt_retention_drop_sqrt,dct2,probe,sqrt_retention_drop_sqrt,eb_q75,9,0.0,4,23.736186697183047
S10_current,wsd,-1.6617041804562582,S10_current__dct2__eb_q75__R0p0__Tsqrt_retention_drop_sqrt,dct2,cosine,sqrt_retention_drop_sqrt,eb_q75,3,0.0,3,-1.0404751552658964
S10_current,cosine,-13.649960145361282,S10_current__dct2__eb_q75__R0p5__Tdrop_linear,dct2,wsd,drop_linear,eb_q75,6,0.5,6,-7.962082877305288
S10_current,cosine,-15.051206673552583,S10_current__dct2__eb_q75__R0p5__Tdrop_linear,dct2,probe,drop_linear,eb_q75,9,0.5,9,-4.044247727990591
S10_current,cosine,-2.792594965191094,S10_current__dct2__eb_q75__R0p5__Tdrop_linear,dct2,cosine,drop_linear,eb_q75,3,0.5,3,-1.6999062883262361
S10_current,probe,-11.920383143501516,S10_current__dct2__eb_q75__R0p5__Tdrop_linear,dct2,wsd,drop_linear,eb_q75,6,0.5,6,-8.432215073405413
S10_current,probe,-14.399804472581517,S10_current__dct2__eb_q75__R0p5__Tdrop_linear,dct2,probe,drop_linear,eb_q75,9,0.5,9,-3.4932046827943486
S10_current,probe,-2.4354574306226486,S10_current__dct2__eb_q75__R0p5__Tdrop_linear,dct2,cosine,drop_linear,eb_q75,3,0.5,3,-1.800279606314903
S10_current,probe3,-11.700859985474827,S10_current__dct2__eb_q75__R0p5__Tdrop_linear,dct2,wsd,drop_linear,eb_q75,6,0.5,6,-8.278427165728353
S10_current,probe3,-14.216292018718448,S10_current__dct2__eb_q75__R0p5__Tdrop_linear,dct2,probe,drop_linear,eb_q75,9,0.5,9,-3.421756288311084
S10_current,probe3,-2.391339897004818,S10_current__dct2__eb_q75__R0p5__Tdrop_linear,dct2,cosine,drop_linear,eb_q75,3,0.5,3,-1.767445857237182
S10_current,wsd,-28.44882137513945,S10_current__dct2__eb_q75__R0p5__Tdrop_linear,dct2,wsd,drop_linear,eb_q75,6,0.5,6,-17.231072751781763
S10_current,wsd,-8.123450008290398,S10_current__dct2__eb_q75__R0p5__Tdrop_linear,dct2,probe,drop_linear,eb_q75,9,0.5,6,1.6769210921272926
S10_current,wsd,-5.674791030540053,S10_current__dct2__eb_q75__R0p5__Tdrop_linear,dct2,cosine,drop_linear,eb_q75,3,0.5,3,-3.6788374821934866
S10_current,cosine,-13.650976255761202,S10_current__dct2__eb_q75__R0p5__Tdrop_sqrt,dct2,wsd,drop_sqrt,eb_q75,6,0.5,6,-7.963078324315309
S10_current,cosine,-16.039448801850607,S10_current__dct2__eb_q75__R0p5__Tdrop_sqrt,dct2,probe,drop_sqrt,eb_q75,9,0.5,9,-5.478368516031217
S10_current,cosine,-2.7925949658842875,S10_current__dct2__eb_q75__R0p5__Tdrop_sqrt,dct2,cosine,drop_sqrt,eb_q75,3,0.5,3,-1.6999062887562033
S10_current,probe,-11.921269295961752,S10_current__dct2__eb_q75__R0p5__Tdrop_sqrt,dct2,wsd,drop_sqrt,eb_q75,6,0.5,6,-8.433269297960877
