alpha,cap,estimator,max_kappa,mean_delta_pct,mean_kappa,test_curve,test_label,tests,train_curve,train_label,wins
0.25,0.03,alpha_0p25_cap_0p03,0.03,-16.923395402237748,0.021882415804200278,wsd_20000_24000.csv,WSD sharp,3,wsdcon_9.csv,WSD-con 9e-5,3
0.25,0.03,alpha_0p25_cap_0p03,0.03,-14.128337013887212,0.021882415804200278,wsdld_20000_24000.csv,WSD linear,3,wsdcon_9.csv,WSD-con 9e-5,3
0.25,0.03,alpha_0p25_cap_0p03,0.03,-32.207763111332596,0.021882415804200278,wsdcon_3.csv,WSD-con 3e-5,3,wsdcon_9.csv,WSD-con 9e-5,3
0.25,0.03,alpha_0p25_cap_0p03,0.03,-12.474072522520311,0.021882415804200278,wsdcon_9.csv,WSD-con 9e-5,3,wsdcon_9.csv,WSD-con 9e-5,3
0.25,0.03,alpha_0p25_cap_0p03,0.03,-10.415079998572248,0.021882415804200278,wsdcon_18.csv,WSD-con 18e-5,3,wsdcon_9.csv,WSD-con 9e-5,3
0.25,0.03,alpha_0p25_cap_0p03,0.02923238299763917,-3.385800254662034,0.023370187960123783,cosine_72000.csv,Cosine,3,wsdcon_18.csv,WSD-con 18e-5,3
0.25,0.03,alpha_0p25_cap_0p03,0.02923238299763917,-18.417002492931875,0.023370187960123783,wsd_20000_24000.csv,WSD sharp,3,wsdcon_18.csv,WSD-con 18e-5,3
0.25,0.03,alpha_0p25_cap_0p03,0.02923238299763917,-15.248707991152335,0.023370187960123783,wsdld_20000_24000.csv,WSD linear,3,wsdcon_18.csv,WSD-con 18e-5,3
0.25,0.03,alpha_0p25_cap_0p03,0.02923238299763917,-28.758061394523043,0.023370187960123783,wsdcon_3.csv,WSD-con 3e-5,3,wsdcon_18.csv,WSD-con 18e-5,3
0.25,0.03,alpha_0p25_cap_0p03,0.02923238299763917,-8.989017055981554,0.023370187960123783,wsdcon_9.csv,WSD-con 9e-5,3,wsdcon_18.csv,WSD-con 18e-5,3
0.25,0.03,alpha_0p25_cap_0p03,0.02923238299763917,-12.525671744164177,0.023370187960123783,wsdcon_18.csv,WSD-con 18e-5,3,wsdcon_18.csv,WSD-con 18e-5,3
0.25,,alpha_0p25_nocap,0.021228131554663247,-1.8364334867236323,0.011861386231873989,cosine_72000.csv,Cosine,3,cosine_72000.csv,Cosine,2
0.25,,alpha_0p25_nocap,0.021228131554663247,-10.222245377195708,0.011861386231873989,wsd_20000_24000.csv,WSD sharp,3,cosine_72000.csv,Cosine,2
0.25,,alpha_0p25_nocap,0.021228131554663247,-8.27662108723262,0.011861386231873989,wsdld_20000_24000.csv,WSD linear,3,cosine_72000.csv,Cosine,2
0.25,,alpha_0p25_nocap,0.021228131554663247,-19.660264050617386,0.011861386231873989,wsdcon_3.csv,WSD-con 3e-5,3,cosine_72000.csv,Cosine,2
0.25,,alpha_0p25_nocap,0.021228131554663247,-9.248474296159607,0.011861386231873989,wsdcon_9.csv,WSD-con 9e-5,3,cosine_72000.csv,Cosine,2
0.25,,alpha_0p25_nocap,0.021228131554663247,-7.678886278444549,0.011861386231873989,wsdcon_18.csv,WSD-con 18e-5,3,cosine_72000.csv,Cosine,2
0.25,,alpha_0p25_nocap,0.07304287071320203,-6.377205185394004,0.04635951500030644,cosine_72000.csv,Cosine,3,wsd_20000_24000.csv,WSD sharp,3
0.25,,alpha_0p25_nocap,0.07304287071320203,-34.604614695251094,0.04635951500030644,wsd_20000_24000.csv,WSD sharp,3,wsd_20000_24000.csv,WSD sharp,3
0.25,,alpha_0p25_nocap,0.07304287071320203,-29.390513492720675,0.04635951500030644,wsdld_20000_24000.csv,WSD linear,3,wsd_20000_24000.csv,WSD sharp,3
0.25,,alpha_0p25_nocap,0.07304287071320203,8.152341709465286,0.04635951500030644,wsdcon_3.csv,WSD-con 3e-5,3,wsd_20000_24000.csv,WSD sharp,1
0.25,,alpha_0p25_nocap,0.07304287071320203,9.345876250208066,0.04635951500030644,wsdcon_9.csv,WSD-con 9e-5,3,wsd_20000_24000.csv,WSD sharp,1
0.25,,alpha_0p25_nocap,0.07304287071320203,1.5505551188103077,0.04635951500030644,wsdcon_18.csv,WSD-con 18e-5,3,wsd_20000_24000.csv,WSD sharp,1
0.25,,alpha_0p25_nocap,0.0778757846708664,-6.929186991731977,0.05043855991969535,cosine_72000.csv,Cosine,3,wsdld_20000_24000.csv,WSD linear,3
0.25,,alpha_0p25_nocap,0.0778757846708664,-37.49798925970541,0.05043855991969535,wsd_20000_24000.csv,WSD sharp,3,wsdld_20000_24000.csv,WSD linear,3
0.25,,alpha_0p25_nocap,0.0778757846708664,-31.904407142147182,0.05043855991969535,wsdld_20000_24000.csv,WSD linear,3,wsdld_20000_24000.csv,WSD linear,3
0.25,,alpha_0p25_nocap,0.0778757846708664,22.596580483818006,0.05043855991969535,wsdcon_3.csv,WSD-con 3e-5,3,wsdld_20000_24000.csv,WSD linear,0
0.25,,alpha_0p25_nocap,0.0778757846708664,15.367065411595382,0.05043855991969535,wsdcon_9.csv,WSD-con 9e-5,3,wsdld_20000_24000.csv,WSD linear,0
0.25,,alpha_0p25_nocap,0.0778757846708664,3.579525951507586,0.05043855991969535,wsdcon_18.csv,WSD-con 18e-5,3,wsdld_20000_24000.csv,WSD linear,1
0.25,,alpha_0p25_nocap,0.03398319628758153,-3.493312907120842,0.024326807813196044,cosine_72000.csv,Cosine,3,wsdcon_3.csv,WSD-con 3e-5,3
0.25,,alpha_0p25_nocap,0.03398319628758153,-18.75258169485171,0.024326807813196044,wsd_20000_24000.csv,WSD sharp,3,wsdcon_3.csv,WSD-con 3e-5,3
0.25,,alpha_0p25_nocap,0.03398319628758153,-15.679314786603861,0.024326807813196044,wsdld_20000_24000.csv,WSD linear,3,wsdcon_3.csv,WSD-con 3e-5,3
0.25,,alpha_0p25_nocap,0.03398319628758153,-32.63269614134209,0.024326807813196044,wsdcon_3.csv,WSD-con 3e-5,3,wsdcon_3.csv,WSD-con 3e-5,3
0.25,,alpha_0p25_nocap,0.03398319628758153,-12.236723465655437,0.024326807813196044,wsdcon_9.csv,WSD-con 9e-5,3,wsdcon_3.csv,WSD-con 3e-5,3
0.25,,alpha_0p25_nocap,0.03398319628758153,-10.59413667269513,0.024326807813196044,wsdcon_18.csv,WSD-con 18e-5,3,wsdcon_3.csv,WSD-con 3e-5,3
0.25,,alpha_0p25_nocap,0.03349156800501175,-3.300138280175613,0.02304627180587086,cosine_72000.csv,Cosine,3,wsdcon_9.csv,WSD-con 9e-5,3
0.25,,alpha_0p25_nocap,0.03349156800501175,-17.687827678047324,0.02304627180587086,wsd_20000_24000.csv,WSD sharp,3,wsdcon_9.csv,WSD-con 9e-5,3
0.25,,alpha_0p25_nocap,0.03349156800501175,-14.80618115347884,0.02304627180587086,wsdld_20000_24000.csv,WSD linear,3,wsdcon_9.csv,WSD-con 9e-5,3
0.25,,alpha_0p25_nocap,0.03349156800501175,-32.65197343180349,0.02304627180587086,wsdcon_3.csv,WSD-con 3e-5,3,wsdcon_9.csv,WSD-con 9e-5,3
0.25,,alpha_0p25_nocap,0.03349156800501175,-12.425744503818384,0.02304627180587086,wsdcon_9.csv,WSD-con 9e-5,3,wsdcon_9.csv,WSD-con 9e-5,3
0.25,,alpha_0p25_nocap,0.03349156800501175,-10.332203924444238,0.02304627180587086,wsdcon_18.csv,WSD-con 18e-5,3,wsdcon_9.csv,WSD-con 9e-5,3
0.25,,alpha_0p25_nocap,0.02923238299763917,-3.385800254662034,0.023370187960123783,cosine_72000.csv,Cosine,3,wsdcon_18.csv,WSD-con 18e-5,3
0.25,,alpha_0p25_nocap,0.02923238299763917,-18.417002492931875,0.023370187960123783,wsd_20000_24000.csv,WSD sharp,3,wsdcon_18.csv,WSD-con 18e-5,3
0.25,,alpha_0p25_nocap,0.02923238299763917,-15.248707991152335,0.023370187960123783,wsdld_20000_24000.csv,WSD linear,3,wsdcon_18.csv,WSD-con 18e-5,3
0.25,,alpha_0p25_nocap,0.02923238299763917,-28.758061394523043,0.023370187960123783,wsdcon_3.csv,WSD-con 3e-5,3,wsdcon_18.csv,WSD-con 18e-5,3
0.25,,alpha_0p25_nocap,0.02923238299763917,-8.989017055981554,0.023370187960123783,wsdcon_9.csv,WSD-con 9e-5,3,wsdcon_18.csv,WSD-con 18e-5,3
0.25,,alpha_0p25_nocap,0.02923238299763917,-12.525671744164177,0.023370187960123783,wsdcon_18.csv,WSD-con 18e-5,3,wsdcon_18.csv,WSD-con 18e-5,3
0.5,0.03,alpha_0p50_cap_0p03,0.008872855850635438,-0.7675856711656048,0.004957778311912262,cosine_72000.csv,Cosine,3,cosine_72000.csv,Cosine,2
0.5,0.03,alpha_0p50_cap_0p03,0.008872855850635438,-4.272656284804155,0.004957778311912262,wsd_20000_24000.csv,WSD sharp,3,cosine_72000.csv,Cosine,2
0.5,0.03,alpha_0p50_cap_0p03,0.008872855850635438,-3.4594314458736437,0.004957778311912262,wsdld_20000_24000.csv,WSD linear,3,cosine_72000.csv,Cosine,2
0.5,0.03,alpha_0p50_cap_0p03,0.008872855850635438,-11.641849481008604,0.004957778311912262,wsdcon_3.csv,WSD-con 3e-5,3,cosine_72000.csv,Cosine,2
0.5,0.03,alpha_0p50_cap_0p03,0.008872855850635438,-5.288351950940054,0.004957778311912262,wsdcon_9.csv,WSD-con 9e-5,3,cosine_72000.csv,Cosine,2
0.5,0.03,alpha_0p50_cap_0p03,0.008872855850635438,-4.480096193303784,0.004957778311912262,wsdcon_18.csv,WSD-con 18e-5,3,cosine_72000.csv,Cosine,2
0.5,0.03,alpha_0p50_cap_0p03,0.03,-3.5712376490685744,0.024554182647382166,cosine_72000.csv,Cosine,3,wsd_20000_24000.csv,WSD sharp,3
0.5,0.03,alpha_0p50_cap_0p03,0.03,-19.166822392509125,0.024554182647382166,wsd_20000_24000.csv,WSD sharp,3,wsd_20000_24000.csv,WSD sharp,3
0.5,0.03,alpha_0p50_cap_0p03,0.03,-15.97326855862923,0.024554182647382166,wsdld_20000_24000.csv,WSD linear,3,wsd_20000_24000.csv,WSD sharp,3
