alpha,base_mae,cap,corr_mae,delta_pct,estimator,kappa,scale,test_curve,test_label,train_curve,train_label,win
0.0,0.004701998914275349,,0.0035494825519213724,-24.511200095238582,alpha_0p00_nocap,0.0369957665765904,400,wsd_20000_24000.csv,WSD sharp,wsdcon_9.csv,WSD-con 9e-5,1
0.0,0.0038535563963712593,,0.003023238602536836,-21.546792324521324,alpha_0p00_nocap,0.0369957665765904,400,wsdld_20000_24000.csv,WSD linear,wsdcon_9.csv,WSD-con 9e-5,1
0.0,0.008173606778800102,,0.0050739362221061905,-37.922922408422345,alpha_0p00_nocap,0.0369957665765904,400,wsdcon_3.csv,WSD-con 3e-5,wsdcon_9.csv,WSD-con 9e-5,1
0.0,0.006687305974578527,,0.0062049667550693995,-7.21275834159103,alpha_0p00_nocap,0.0369957665765904,400,wsdcon_9.csv,WSD-con 9e-5,wsdcon_9.csv,WSD-con 9e-5,1
0.0,0.0025579541942073844,,0.0024004175646626844,-6.158696269911701,alpha_0p00_nocap,0.0369957665765904,400,wsdcon_18.csv,WSD-con 18e-5,wsdcon_9.csv,WSD-con 9e-5,1
0.0,0.00744534704076948,,0.007165049400100314,-3.7647357354103628,alpha_0p00_nocap,0.024671018887317927,25,cosine_72000.csv,Cosine,wsdcon_18.csv,WSD-con 18e-5,1
0.0,0.003408385839825258,,0.0026397072362163757,-22.55257003556531,alpha_0p00_nocap,0.024671018887317927,25,wsd_20000_24000.csv,WSD sharp,wsdcon_18.csv,WSD-con 18e-5,1
0.0,0.0031360955249893426,,0.0025829567805628014,-17.63781555819862,alpha_0p00_nocap,0.024671018887317927,25,wsdld_20000_24000.csv,WSD linear,wsdcon_18.csv,WSD-con 18e-5,1
0.0,0.004487187642230267,,0.0034085983400765035,-24.037089334148565,alpha_0p00_nocap,0.024671018887317927,25,wsdcon_3.csv,WSD-con 3e-5,wsdcon_18.csv,WSD-con 18e-5,1
0.0,0.002926482771138891,,0.0026232693169968933,-10.361019621653089,alpha_0p00_nocap,0.024671018887317927,25,wsdcon_9.csv,WSD-con 9e-5,wsdcon_18.csv,WSD-con 18e-5,1
0.0,0.002504818961791151,,0.0020000343276379575,-20.152539638722278,alpha_0p00_nocap,0.024671018887317927,25,wsdcon_18.csv,WSD-con 18e-5,wsdcon_18.csv,WSD-con 18e-5,1
0.0,0.007265129575917493,,0.007056297569029053,-2.8744429773238767,alpha_0p00_nocap,0.018386949743093683,100,cosine_72000.csv,Cosine,wsdcon_18.csv,WSD-con 18e-5,1
0.0,0.0037480705220761528,,0.0031785357993730882,-15.195411061464892,alpha_0p00_nocap,0.018386949743093683,100,wsd_20000_24000.csv,WSD sharp,wsdcon_18.csv,WSD-con 18e-5,1
0.0,0.003248313740665229,,0.0028384783166736645,-12.616866987350594,alpha_0p00_nocap,0.018386949743093683,100,wsdld_20000_24000.csv,WSD linear,wsdcon_18.csv,WSD-con 18e-5,1
0.0,0.0056693997340904675,,0.004427391413686283,-21.90722790167551,alpha_0p00_nocap,0.018386949743093683,100,wsdcon_3.csv,WSD-con 3e-5,wsdcon_18.csv,WSD-con 18e-5,1
0.0,0.004934623402238123,,0.004680397910589046,-5.151872208399356,alpha_0p00_nocap,0.018386949743093683,100,wsdcon_9.csv,WSD-con 9e-5,wsdcon_18.csv,WSD-con 18e-5,1
0.0,0.0013816404339982303,,0.0012231920364835127,-11.468135530471923,alpha_0p00_nocap,0.018386949743093683,100,wsdcon_18.csv,WSD-con 18e-5,wsdcon_18.csv,WSD-con 18e-5,1
