estimator,train_curve,train_label,test_curve,test_label,mean_delta_pct,wins,tests,mean_kappa,max_kappa
amp_cap_tau_0p03_c_2p0,wsdcon_18.csv,WSD-con 18e-5,wsd_20000_24000.csv,WSD sharp,-4.61061536249594,3,3,0.005611011787480906,0.007313542737336186
amp_cap_tau_0p03_c_2p0,wsdcon_18.csv,WSD-con 18e-5,wsdld_20000_24000.csv,WSD linear,-3.7663923660666545,3,3,0.005611011787480906,0.007313542737336186
amp_cap_tau_0p03_c_2p0,wsdcon_18.csv,WSD-con 18e-5,wsdcon_3.csv,WSD-con 3e-5,-13.549527549212208,3,3,0.005611011787480906,0.007313542737336186
amp_cap_tau_0p03_c_2p0,wsdcon_18.csv,WSD-con 18e-5,wsdcon_9.csv,WSD-con 9e-5,-6.162316276921565,3,3,0.005611011787480906,0.007313542737336186
amp_cap_tau_0p03_c_2p0,wsdcon_18.csv,WSD-con 18e-5,wsdcon_18.csv,WSD-con 18e-5,-4.475078570700348,3,3,0.005611011787480906,0.007313542737336186
amp_cap_tau_0p03_c_3p0,cosine_72000.csv,Cosine,cosine_72000.csv,Cosine,-0.0006317394662058717,3,3,4.278391540832703e-06,5.664798235065515e-06
amp_cap_tau_0p03_c_3p0,cosine_72000.csv,Cosine,wsd_20000_24000.csv,WSD sharp,-0.003309603434253905,3,3,4.278391540832703e-06,5.664798235065515e-06
amp_cap_tau_0p03_c_3p0,cosine_72000.csv,Cosine,wsdld_20000_24000.csv,WSD linear,-0.0027659831638993104,3,3,4.278391540832703e-06,5.664798235065515e-06
amp_cap_tau_0p03_c_3p0,cosine_72000.csv,Cosine,wsdcon_3.csv,WSD-con 3e-5,-0.009642436062869594,3,3,4.278391540832703e-06,5.664798235065515e-06
amp_cap_tau_0p03_c_3p0,cosine_72000.csv,Cosine,wsdcon_9.csv,WSD-con 9e-5,-0.003748420585777031,3,3,4.278391540832703e-06,5.664798235065515e-06
amp_cap_tau_0p03_c_3p0,cosine_72000.csv,Cosine,wsdcon_18.csv,WSD-con 18e-5,-0.0035213457612074763,3,3,4.278391540832703e-06,5.664798235065515e-06
amp_cap_tau_0p03_c_3p0,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,Cosine,-0.6354185429340778,3,3,0.004317189331874984,0.005325710935057577
amp_cap_tau_0p03_c_3p0,wsd_20000_24000.csv,WSD sharp,wsd_20000_24000.csv,WSD sharp,-3.4064623453158567,3,3,0.004317189331874984,0.005325710935057577
amp_cap_tau_0p03_c_3p0,wsd_20000_24000.csv,WSD sharp,wsdld_20000_24000.csv,WSD linear,-2.819561772365183,3,3,0.004317189331874984,0.005325710935057577
amp_cap_tau_0p03_c_3p0,wsd_20000_24000.csv,WSD sharp,wsdcon_3.csv,WSD-con 3e-5,-9.9084135044279,3,3,0.004317189331874984,0.005325710935057577
amp_cap_tau_0p03_c_3p0,wsd_20000_24000.csv,WSD sharp,wsdcon_9.csv,WSD-con 9e-5,-4.158037127647813,3,3,0.004317189331874984,0.005325710935057577
amp_cap_tau_0p03_c_3p0,wsd_20000_24000.csv,WSD sharp,wsdcon_18.csv,WSD-con 18e-5,-3.1416865295048724,3,3,0.004317189331874984,0.005325710935057577
amp_cap_tau_0p03_c_3p0,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,Cosine,-0.6475893044245377,3,3,0.004373552347510765,0.004770389741848045
amp_cap_tau_0p03_c_3p0,wsdld_20000_24000.csv,WSD linear,wsd_20000_24000.csv,WSD sharp,-3.4938929750598056,3,3,0.004373552347510765,0.004770389741848045
amp_cap_tau_0p03_c_3p0,wsdld_20000_24000.csv,WSD linear,wsdld_20000_24000.csv,WSD linear,-2.8810016659813567,3,3,0.004373552347510765,0.004770389741848045
amp_cap_tau_0p03_c_3p0,wsdld_20000_24000.csv,WSD linear,wsdcon_3.csv,WSD-con 3e-5,-10.239365341818756,3,3,0.004373552347510765,0.004770389741848045
amp_cap_tau_0p03_c_3p0,wsdld_20000_24000.csv,WSD linear,wsdcon_9.csv,WSD-con 9e-5,-4.388617092174914,3,3,0.004373552347510765,0.004770389741848045
amp_cap_tau_0p03_c_3p0,wsdld_20000_24000.csv,WSD linear,wsdcon_18.csv,WSD-con 18e-5,-3.319336291647723,3,3,0.004373552347510765,0.004770389741848045
amp_cap_tau_0p03_c_3p0,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,Cosine,-0.6516883257186393,3,3,0.004413414988508022,0.005208284066105034
amp_cap_tau_0p03_c_3p0,wsdcon_3.csv,WSD-con 3e-5,wsd_20000_24000.csv,WSD sharp,-3.482491608173799,3,3,0.004413414988508022,0.005208284066105034
amp_cap_tau_0p03_c_3p0,wsdcon_3.csv,WSD-con 3e-5,wsdld_20000_24000.csv,WSD linear,-2.8864295174585,3,3,0.004413414988508022,0.005208284066105034
amp_cap_tau_0p03_c_3p0,wsdcon_3.csv,WSD-con 3e-5,wsdcon_3.csv,WSD-con 3e-5,-9.941865332230222,3,3,0.004413414988508022,0.005208284066105034
amp_cap_tau_0p03_c_3p0,wsdcon_3.csv,WSD-con 3e-5,wsdcon_9.csv,WSD-con 9e-5,-4.09012457739311,3,3,0.004413414988508022,0.005208284066105034
