heldout_tests,max_kappa,mean_heldout,mean_kappa,mean_retention,median_heldout,train_id,train_label,train_size,wins,worst_heldout
6,0.027414616624745827,-12.390551730235408,0.019553370738238356,0.3633143941575399,-10.917508423806305,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_3.csv|wsdcon_18.csv,Cosine + WSD sharp + WSD-con 3e-5 + WSD-con 18e-5,4,6,-5.35950788394951
6,0.02852409132427779,-10.977590169499969,0.0200762507555903,0.3402995852393907,-9.630146302390514,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_3.csv,Cosine + WSD sharp + WSD linear + WSD-con 3e-5,4,6,-5.227711708456962
6,0.039508043650797395,-21.537365044261833,0.02690051521029128,0.320956060185573,-22.398397152585392,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_18.csv,Cosine + WSD sharp + WSD linear + WSD-con 18e-5,4,6,-3.3559140985709335
6,0.033685163112549654,-17.980953147852702,0.022994473888058243,0.5149880797170999,-13.19737889266101,wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_9.csv|wsdcon_18.csv,WSD sharp + WSD linear + WSD-con 9e-5 + WSD-con 18e-5,4,6,-2.395961656571355
6,0.028490810770627022,-7.5827508856139305,0.020167066143486234,0.35882745907893093,-4.508222537293493,wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_18.csv,WSD sharp + WSD linear + WSD-con 3e-5 + WSD-con 18e-5,4,6,-2.13974297298426
6,0.027759462268223317,-9.003475555641614,0.019683027806156442,0.42101081197872997,-8.152530393884733,wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv|wsdcon_18.csv,WSD linear + WSD-con 3e-5 + WSD-con 9e-5 + WSD-con 18e-5,4,6,-2.1095800933030873
6,0.027897268022252137,-7.768423041424922,0.019717874337114995,0.41442502716940205,-6.756995785175295,wsd_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv|wsdcon_18.csv,WSD sharp + WSD-con 3e-5 + WSD-con 9e-5 + WSD-con 18e-5,4,6,-2.0979451597930687
6,0.02873726050614599,-6.373309774291395,0.02010480579436316,0.3944824078214488,-5.3645287936033785,wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv,WSD sharp + WSD linear + WSD-con 3e-5 + WSD-con 9e-5,4,6,-2.0797119167258127
3,0.03325247663072821,-32.61714091153746,0.02275041428138153,0.5046013014723515,-37.78260990199468,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_9.csv|wsdcon_18.csv,Cosine + WSD sharp + WSD linear + WSD-con 9e-5 + WSD-con 18e-5,5,3,-21.977300311428237
3,0.027643851296822404,-15.123404512483063,0.01961901955903217,0.41841507979210163,-14.399666501639064,cosine_72000.csv|wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv|wsdcon_18.csv,Cosine + WSD linear + WSD-con 3e-5 + WSD-con 9e-5 + WSD-con 18e-5,5,3,-12.605090658031825
3,0.027783809776104524,-12.657487193920998,0.019655322400179632,0.4119372849261535,-11.986321641169296,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv|wsdcon_18.csv,Cosine + WSD sharp + WSD-con 3e-5 + WSD-con 9e-5 + WSD-con 18e-5,5,3,-9.804505266518792
3,0.028621320266792843,-9.8414757092619,0.020041457883111433,0.3921468974028047,-11.105545276963769,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv,Cosine + WSD sharp + WSD linear + WSD-con 3e-5 + WSD-con 9e-5,5,3,-6.924048205108457
3,0.02835654414358014,-12.249790438371202,0.020093631044836028,0.3564017803110818,-8.134127753092034,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_18.csv,Cosine + WSD sharp + WSD linear + WSD-con 3e-5 + WSD-con 18e-5,5,3,-5.268432954559121
3,0.028630577777398518,-2.8988254453013673,0.02014207571903472,0.40660645486913727,-2.791099379077777,wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv|wsdcon_18.csv,WSD sharp + WSD linear + WSD-con 3e-5 + WSD-con 9e-5 + WSD-con 18e-5,5,3,-2.1274873940263173
