base_mae,corr_mae,curve,delta_pct,feature,group,kappa,label,mode,scale,win
0.003408385839825258,0.002083525831253786,wsd_20000_24000.csv,-38.870599481172455,step_tau2304,wsd,0.02350569186753087,WSD exp,self,25,1
0.0031360955249893426,0.0020198592768167025,wsdld_20000_24000.csv,-35.593183921795024,step_tau2304,wsd,0.023520566948043414,WSD linear,self,25,1
0.004487187642230267,0.0022298236731503837,wsdcon_3.csv,-50.30687702549266,step_tau2304,probe,0.02170097513237618,WSD-con 3e-5,self,25,1
0.002926482771138891,0.0026573957125124565,wsdcon_9.csv,-9.194896388257723,step_tau2304,probe,0.009049006573220752,WSD-con 9e-5,self,25,1
0.002504818961791151,0.0013783518487762813,wsdcon_18.csv,-44.97199718615006,step_tau2304,probe,0.019356517624443948,WSD-con 18e-5,self,25,1
0.007265129575917493,0.0008826459067877204,cosine_72000.csv,-87.85092684769833,step_tau2304,cosine,0.2479646629541914,Cosine 72k,self,100,1
0.0037480705220761528,0.0016934956527649176,wsd_20000_24000.csv,-54.816867964724246,step_tau2304,wsd,0.03712669332421798,WSD exp,self,100,1
0.003248313740665229,0.0015668615908044099,wsdld_20000_24000.csv,-51.76384684801016,step_tau2304,wsd,0.03615150019640254,WSD linear,self,100,1
0.0056693997340904675,0.0036947041814858993,wsdcon_3.csv,-34.83076948571109,step_tau2304,probe,0.027782703355789612,WSD-con 3e-5,self,100,1
0.004934623402238123,0.004943159745641328,wsdcon_9.csv,0.17298875126587898,step_tau2304,probe,0.0038786382451976493,WSD-con 9e-5,self,100,0
0.0013816404339982303,0.001449505961532289,wsdcon_18.csv,4.9119529122108485,step_tau2304,probe,0.005162933341830441,WSD-con 18e-5,self,100,0
0.005612615040270773,0.0031332904737424085,cosine_72000.csv,-44.1741425118077,step_tau2304,cosine,0.1651474218909919,Cosine 72k,self,400,1
0.004701998914275349,0.0020421407944472138,wsd_20000_24000.csv,-56.56866724815186,step_tau2304,wsd,0.04994299397264223,WSD exp,self,400,1
0.0038535563963712593,0.001838926657129052,wsdld_20000_24000.csv,-52.27975231241728,step_tau2304,wsd,0.0467575669719375,WSD linear,self,400,1
0.008173606778800102,0.0038944894938208576,wsdcon_3.csv,-52.352864540511035,step_tau2304,probe,0.04526798113396155,WSD-con 3e-5,self,400,1
0.006687305974578527,0.006712074806624597,wsdcon_9.csv,0.37038580469066495,step_tau2304,probe,0.011871995909505313,WSD-con 9e-5,self,400,0
0.0025579541942073844,0.002639457048990213,wsdcon_18.csv,3.186251535207152,step_tau2304,probe,0.005223027151494582,WSD-con 18e-5,self,400,0
