audit,base_mae,base_nuisance,base_tau,corr_mae,delta_pct,description,kappa,mode,nonharm,nuisance,route,scale,target_curve,target_label,tau,train_curves,win
no_nuisance_projection,0.004934623402238123,dct2,768.0,0.004914389617512897,-0.410037060093571,core routes with nuisance projection disabled,0.03787927416574922,no_nuisance_projection,1,none,medium_step_drop,100,wsdcon_9.csv,WSD-con 9e-5,768.0,wsdcon_3+wsdcon_18,1
no_nuisance_projection,0.006687305974578527,dct2,768.0,0.006082274405733512,-9.04746352484862,core routes with nuisance projection disabled,0.056161019345171766,no_nuisance_projection,1,none,medium_step_drop,400,wsdcon_9.csv,WSD-con 9e-5,768.0,wsdcon_3+wsdcon_18,1
no_nuisance_projection,0.002504818961791151,none,512.0,0.00209613761197458,-16.315803898431447,core routes with nuisance projection disabled,0.02147010144323278,no_nuisance_projection,1,none,weak_step_drop,25,wsdcon_18.csv,WSD-con 18e-5,512.0,wsdcon_9,1
no_nuisance_projection,0.0013816404339982303,none,512.0,0.0012184901180827513,-11.808449716787027,core routes with nuisance projection disabled,0.024039524082155365,no_nuisance_projection,1,none,weak_step_drop,100,wsdcon_18.csv,WSD-con 18e-5,512.0,wsdcon_9,1
no_nuisance_projection,0.0025579541942073844,none,512.0,0.002378104999390537,-7.030977928538551,core routes with nuisance projection disabled,0.039003369467519484,no_nuisance_projection,1,none,weak_step_drop,400,wsdcon_18.csv,WSD-con 18e-5,512.0,wsdcon_9,1
fixed_tau_1024,0.00744534704076948,dct4,8192.0,0.007208500713227592,-3.181132138568654,core routes with one universal tau=1024,0.01797139152550046,fixed_tau_1024,1,dct4,smooth_decay,25,cosine_72000.csv,Cosine,1024.0,wsdcon_3,1
fixed_tau_1024,0.007265129575917493,dct4,8192.0,0.0069089502426423486,-4.9025874838600325,core routes with one universal tau=1024,0.027039909075357228,fixed_tau_1024,1,dct4,smooth_decay,100,cosine_72000.csv,Cosine,1024.0,wsdcon_3,1
fixed_tau_1024,0.005612615040270773,dct4,8192.0,0.005217361527390966,-7.042234502880474,core routes with one universal tau=1024,0.041365595421543264,fixed_tau_1024,1,dct4,smooth_decay,400,cosine_72000.csv,Cosine,1024.0,wsdcon_3,1
fixed_tau_1024,0.003408385839825258,none,5120.0,0.0023641546162303092,-30.63711893746409,core routes with one universal tau=1024,0.03820768044080277,fixed_tau_1024,1,none,finite_tail,25,wsd_20000_24000.csv,WSD sharp,1024.0,wsdld_20000_24000,1
fixed_tau_1024,0.0037480705220761528,none,5120.0,0.002110900529758196,-43.680341196223985,core routes with one universal tau=1024,0.05845363343076171,fixed_tau_1024,1,none,finite_tail,100,wsd_20000_24000.csv,WSD sharp,1024.0,wsdld_20000_24000,1
fixed_tau_1024,0.004701998914275349,none,5120.0,0.0026383631778001087,-43.88847751984814,core routes with one universal tau=1024,0.0748392774677401,fixed_tau_1024,1,none,finite_tail,400,wsd_20000_24000.csv,WSD sharp,1024.0,wsdld_20000_24000,1
fixed_tau_1024,0.0031360955249893426,none,5120.0,0.002066620324697236,-34.102124497490905,core routes with one universal tau=1024,0.037592292094413525,fixed_tau_1024,1,none,finite_tail,25,wsdld_20000_24000.csv,WSD linear,1024.0,wsd_20000_24000,1
fixed_tau_1024,0.003248313740665229,none,5120.0,0.001685046335852099,-48.1255054043205,core routes with one universal tau=1024,0.059246686288329756,fixed_tau_1024,1,none,finite_tail,100,wsdld_20000_24000.csv,WSD linear,1024.0,wsd_20000_24000,1
fixed_tau_1024,0.0038535563963712593,none,5120.0,0.0021158387928793924,-45.093867190530965,core routes with one universal tau=1024,0.07893474199196372,fixed_tau_1024,1,none,finite_tail,400,wsdld_20000_24000.csv,WSD linear,1024.0,wsd_20000_24000,1
fixed_tau_1024,0.004487187642230267,dct2,1536.0,0.0025173391522689166,-43.89940085015649,core routes with one universal tau=1024,0.030522579406996254,fixed_tau_1024,1,dct2,full_step_drop,25,wsdcon_3.csv,WSD-con 3e-5,1024.0,wsd_20000_24000+wsdld_20000_24000,1
fixed_tau_1024,0.0056693997340904675,dct2,1536.0,0.003328431095058753,-41.291296236448424,core routes with one universal tau=1024,0.04461829444557534,fixed_tau_1024,1,dct2,full_step_drop,100,wsdcon_3.csv,WSD-con 3e-5,1024.0,wsd_20000_24000+wsdld_20000_24000,1
fixed_tau_1024,0.008173606778800102,dct2,1536.0,0.004561638524223667,-44.1906290861068,core routes with one universal tau=1024,0.07794836144082323,fixed_tau_1024,1,dct2,full_step_drop,400,wsdcon_3.csv,WSD-con 3e-5,1024.0,wsd_20000_24000+wsdld_20000_24000,1
fixed_tau_1024,0.002926482771138891,dct2,768.0,0.0023445388470061074,-19.885438242519026,core routes with one universal tau=1024,0.022150911649890616,fixed_tau_1024,1,dct2,medium_step_drop,25,wsdcon_9.csv,WSD-con 9e-5,1024.0,wsdcon_3+wsdcon_18,1
fixed_tau_1024,0.004934623402238123,dct2,768.0,0.004814398414741359,-2.4363558816309028,core routes with one universal tau=1024,0.026971772495082546,fixed_tau_1024,1,dct2,medium_step_drop,100,wsdcon_9.csv,WSD-con 9e-5,1024.0,wsdcon_3+wsdcon_18,1
fixed_tau_1024,0.006687305974578527,dct2,768.0,0.006138631843896944,-8.204711026642741,core routes with one universal tau=1024,0.040331445080401276,fixed_tau_1024,1,dct2,medium_step_drop,400,wsdcon_9.csv,WSD-con 9e-5,1024.0,wsdcon_3+wsdcon_18,1
