estimator,train_family,test_family,base_mae,corr_mae,delta_pct,wins,tests,mean_kappa,max_kappa
gated_cap_0p02,WSD-con step,WSD-con step,0.0043692244325636825,0.0035545693013583563,-18.645302931424833,9,9,0.01924615550796485,0.02
local_peak_cap_0p04,Cosine decay,Cosine decay,0.006774363885652582,0.006774363885652582,0.0,0,3,0.0,0.0
local_peak_cap_0p04,Cosine decay,WSD sharp,0.003952818425392253,0.003952818425392253,0.0,0,3,0.0,0.0
local_peak_cap_0p04,Cosine decay,WSD linear,0.003412655220675277,0.003412655220675277,0.0,0,3,0.0,0.0
local_peak_cap_0p04,Cosine decay,WSD-con step,0.0043692244325636825,0.0043692244325636825,0.0,0,9,0.0,0.0
local_peak_cap_0p04,WSD sharp,Cosine decay,0.006774363885652582,0.006374561663766564,-5.901693924838591,3,3,0.04,0.04
local_peak_cap_0p04,WSD sharp,WSD sharp,0.003952818425392253,0.0027226187683259393,-31.122088714313666,3,3,0.04,0.04
local_peak_cap_0p04,WSD sharp,WSD linear,0.003412655220675277,0.0025172732156283632,-26.237107095446365,3,3,0.04,0.04
local_peak_cap_0p04,WSD sharp,WSD-con step,0.0043692244325636825,0.004434346524167171,1.4904725680405795,4,9,0.04,0.04
local_peak_cap_0p04,WSD linear,Cosine decay,0.006774363885652582,0.006374561663766564,-5.901693924838591,3,3,0.04,0.04
local_peak_cap_0p04,WSD linear,WSD sharp,0.003952818425392253,0.0027226187683259393,-31.122088714313666,3,3,0.04,0.04
local_peak_cap_0p04,WSD linear,WSD linear,0.003412655220675277,0.0025172732156283632,-26.237107095446365,3,3,0.04,0.04
local_peak_cap_0p04,WSD linear,WSD-con step,0.0043692244325636825,0.004434346524167171,1.4904725680405795,4,9,0.04,0.04
local_peak_cap_0p04,WSD-con step,Cosine decay,0.006774363885652582,0.0065231193122235985,-3.7087552081619624,3,3,0.026649543622064824,0.03795584982911745
local_peak_cap_0p04,WSD-con step,WSD sharp,0.003952818425392253,0.0031241216406401053,-20.964706585780323,3,3,0.026649543622064824,0.03795584982911745
local_peak_cap_0p04,WSD-con step,WSD linear,0.003412655220675277,0.0028158888698653593,-17.486863225867655,3,3,0.026649543622064824,0.03795584982911745
local_peak_cap_0p04,WSD-con step,WSD-con step,0.0043692244325636825,0.003488286355788092,-20.16234437878697,9,9,0.026649543622064824,0.03795584982911745
