base_locality,base_mae,coef,corr_mae,delta_pct,group,lambda,locality,power,scale,test_curve,test_label,win
0.9998554913294798,0.0056693997340904675,0.04304751774595571,0.003320807805680979,-41.425760019835145,core_wsd,20.0,0.9997110035417155,2.0,100,wsdcon_3.csv,WSD-con 3e-5,1
0.9998554913294798,0.004934623402238123,0.04304751774595571,0.004672875629271141,-5.304311020943664,core_wsd,20.0,0.9997110035417155,2.0,100,wsdcon_9.csv,WSD-con 9e-5,1
0.9998554913294798,0.0013816404339982303,0.04304751774595571,0.001264793218619466,-8.457136350637084,core_wsd,20.0,0.9997110035417155,2.0,100,wsdcon_18.csv,WSD-con 18e-5,1
0.0,0.0032781062167547585,0.05859414941329983,0.0032781062167547585,0.0,extra_control,7.221202285244404,0.0,2.0,100,cosine_24000.csv,Cosine 24k,0
0.0,0.001848699219840022,0.05859491356579989,0.001848699219840022,0.0,extra_control,7.220283130832764,0.0,2.0,100,constant_24000.csv,Constant 24k,0
0.0,0.004776169698442608,0.05859491356579989,0.004776169698442608,0.0,extra_control,7.220283130832764,0.0,2.0,100,constant_72000.csv,Constant 72k,0
0.8168498168498168,0.004701998914275349,0.08289225770142289,0.0024822629839672985,-47.20834629648455,core_wsd,7.2284552974545955,0.6672436232875794,2.0,400,wsd_20000_24000.csv,WSD sharp,1
0.8168498168498168,0.0038535563963712593,0.08289862148646569,0.002283168143491206,-40.75166135777397,core_wsd,7.223478858982098,0.6672436232875794,2.0,400,wsdld_20000_24000.csv,WSD linear,1
0.9998554913294798,0.008173606778800102,0.06055693382186499,0.003208268974141691,-60.74843014881773,core_wsd,20.0,0.9997110035417155,2.0,400,wsdcon_3.csv,WSD-con 3e-5,1
0.9998554913294798,0.006687305974578527,0.06055693382186499,0.005764006636600717,-13.806745817937571,core_wsd,20.0,0.9997110035417155,2.0,400,wsdcon_9.csv,WSD-con 9e-5,1
0.9998554913294798,0.0025579541942073844,0.06055693382186499,0.002393540460064262,-6.427548019250917,core_wsd,20.0,0.9997110035417155,2.0,400,wsdcon_18.csv,WSD-con 18e-5,1
0.0,0.007134640765897494,0.08290153067889618,0.007134640765897494,0.0,extra_control,7.221202285244404,0.0,2.0,400,cosine_24000.csv,Cosine 24k,0
0.0,0.001679822173746335,0.08290270488454092,0.001679822173746335,0.0,extra_control,7.220283130832764,0.0,2.0,400,constant_24000.csv,Constant 24k,0
0.0,0.004118245803084534,0.08290270488454092,0.004118245803084534,0.0,extra_control,7.220283130832764,0.0,2.0,400,constant_72000.csv,Constant 72k,0
0.8168498168498168,0.003408385839825258,0.04192488930132332,0.002487746932724759,-27.01099436405646,core_wsd,7.2284552974545955,0.5450378314766673,3.0,25,wsd_20000_24000.csv,WSD sharp,1
0.8168498168498168,0.0031360955249893426,0.041928432867079216,0.002488684153892455,-20.643866423650724,core_wsd,7.223478858982098,0.5450378314766673,3.0,25,wsdld_20000_24000.csv,WSD linear,1
0.9998554913294798,0.004487187642230267,0.030435154786451212,0.0019245688419836941,-57.10968661370431,core_wsd,20.0,0.9995665366336893,3.0,25,wsdcon_3.csv,WSD-con 3e-5,1
