delta_pct,kappa,method,scale,target_factor,target_retention,test_curve,test_label,train_curve,train_label,win
-36.63872643444116,0.013703333359633963,nextgen_safe_rho0p5_Rtarget0p01,25,1.0,0.24303548473632608,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,Cosine,1
-23.074229002262214,0.013703333359633963,nextgen_safe_rho0p5_Rtarget0p01,25,1.0,0.520084044338764,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,Cosine,1
-11.193577775363151,0.013703333359633963,nextgen_safe_rho0p5_Rtarget0p01,25,1.0,0.7093385120550632,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,Cosine,1
-20.34808756134414,0.024621858654901116,nextgen_safe_rho0p5_Rtarget0p01,100,1.0,0.19560070632069068,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,Cosine,1
-16.89517402128684,0.024621858654901116,nextgen_safe_rho0p5_Rtarget0p01,100,1.0,0.2460170141173665,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,Cosine,1
-19.861906257729988,0.024621858654901116,nextgen_safe_rho0p5_Rtarget0p01,100,1.0,0.2610431617090627,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,Cosine,1
-2.1666387356599426,0.024621858654901116,nextgen_safe_rho0p5_Rtarget0p01,100,1.0,0.5584955389588916,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,Cosine,1
-10.13885634233227,0.024621858654901116,nextgen_safe_rho0p5_Rtarget0p01,100,1.0,0.7413329414952441,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,Cosine,1
-28.68558026985196,0.04339152898551728,nextgen_safe_rho0p5_Rtarget0p01,400,1.0,0.1934498952473633,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,Cosine,1
-25.271763507287393,0.04339152898551728,nextgen_safe_rho0p5_Rtarget0p01,400,1.0,0.24470286758072735,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,Cosine,1
-34.19019591522034,0.04339152898551728,nextgen_safe_rho0p5_Rtarget0p01,400,1.0,0.2610431617090627,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,Cosine,1
-4.180119378746394,0.04339152898551728,nextgen_safe_rho0p5_Rtarget0p01,400,1.0,0.5584955389588916,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,Cosine,1
-3.5635829621668114,0.04339152898551728,nextgen_safe_rho0p5_Rtarget0p01,400,1.0,0.7413329414952441,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,Cosine,1
-1.664825965113248,0.010909916582745333,nextgen_safe_rho0p5_Rtarget0p01,25,1.0,0.0193948960046347,cosine_72000.csv,Cosine,wsd_20000_24000.csv,WSD sharp,1
-7.799722310646828,0.010909916582745333,nextgen_safe_rho0p5_Rtarget0p01,25,1.0,0.24367405422491062,wsdld_20000_24000.csv,WSD linear,wsd_20000_24000.csv,WSD sharp,1
-32.56822640743409,0.010909916582745333,nextgen_safe_rho0p5_Rtarget0p01,25,1.0,0.24303548473632608,wsdcon_3.csv,WSD-con 3e-5,wsd_20000_24000.csv,WSD sharp,1
-19.25782798906538,0.010909916582745333,nextgen_safe_rho0p5_Rtarget0p01,25,1.0,0.520084044338764,wsdcon_9.csv,WSD-con 9e-5,wsd_20000_24000.csv,WSD sharp,1
-8.911773258864086,0.010909916582745333,nextgen_safe_rho0p5_Rtarget0p01,25,1.0,0.7093385120550632,wsdcon_18.csv,WSD-con 18e-5,wsd_20000_24000.csv,WSD sharp,1
-2.838902175720648,0.01815960589314969,nextgen_safe_rho0p5_Rtarget0p01,100,1.0,0.0193948960046347,cosine_72000.csv,Cosine,wsd_20000_24000.csv,WSD sharp,1
-12.460866826626871,0.01815960589314969,nextgen_safe_rho0p5_Rtarget0p01,100,1.0,0.2460170141173665,wsdld_20000_24000.csv,WSD linear,wsd_20000_24000.csv,WSD sharp,1
-21.863770312043375,0.01815960589314969,nextgen_safe_rho0p5_Rtarget0p01,100,1.0,0.2610431617090627,wsdcon_3.csv,WSD-con 3e-5,wsd_20000_24000.csv,WSD sharp,1
