fit_start,group,mean_base_vs_official_baseline,mean_corr_vs_official_baseline,mean_delta_vs_own_baseline,nonharm_vs_own_baseline,protocol,rows,shrinkage,tangent_group,wins_vs_own_baseline,worst_corr_vs_official_baseline,worst_delta_vs_own_baseline
5000,extra_control,79.78274516207723,79.78274516207723,0.0,9,cosine_only,9,full_energy,all7,0,490.27031703608924,0.0
5000,core_wsd,55.04527052230417,541.8976582558801,362.0656817549346,5,cosine_only,15,orth_ols,all7,0,2092.5843590783165,1520.292471160175
5000,extra_control,79.78274516207723,79.78274516207723,0.0,9,cosine_only,9,orth_ols,all7,0,490.27031703608924,0.0
5000,core_wsd,55.04527052230417,46.66175141330049,-4.941247464387323,15,cosine_only,15,sqrt_retention,all7,10,90.34155245243845,0.0
5000,extra_control,79.78274516207723,79.78274516207723,0.0,9,cosine_only,9,sqrt_retention,all7,0,490.27031703608924,0.0
5000,core_wsd,55.04527052230417,54.6110325556271,-0.29777251223147044,15,cosine_only,15,full_energy,ld4,10,106.80840626460855,0.0
5000,extra_control,79.78274516207723,79.78274516207723,0.0,9,cosine_only,9,full_energy,ld4,0,490.27031703608924,0.0
5000,core_wsd,55.04527052230417,393.19396739558766,245.74832038896236,5,cosine_only,15,orth_ols,ld4,0,1321.1302590865153,935.4170315081332
5000,extra_control,79.78274516207723,79.78274516207723,0.0,9,cosine_only,9,orth_ols,ld4,0,490.27031703608924,0.0
5000,core_wsd,55.04527052230417,43.9643321009676,-7.5882028132086425,15,cosine_only,15,sqrt_retention,ld4,10,106.80840626460855,0.0
5000,extra_control,79.78274516207723,79.78274516207723,0.0,9,cosine_only,9,sqrt_retention,ld4,0,490.27031703608924,0.0
5000,core_wsd,55.04527052230417,55.01953786816556,-0.015843610451939938,15,cosine_only,15,full_energy,none,5,106.80840626460855,0.0
5000,extra_control,79.78274516207723,79.78274516207723,0.0,9,cosine_only,9,full_energy,none,0,490.27031703608924,0.0
5000,core_wsd,55.04527052230417,55.01953786816556,-0.015843610451939938,15,cosine_only,15,orth_ols,none,5,106.80840626460855,0.0
5000,extra_control,79.78274516207723,79.78274516207723,0.0,9,cosine_only,9,orth_ols,none,0,490.27031703608924,0.0
5000,core_wsd,55.04527052230417,55.01953786816556,-0.015843610451939938,15,cosine_only,15,sqrt_retention,none,5,106.80840626460855,0.0
5000,extra_control,79.78274516207723,79.78274516207723,0.0,9,cosine_only,9,sqrt_retention,none,0,490.27031703608924,0.0
8000,core_wsd,55.04527052230417,47.95784341809443,-4.1890058272188595,15,cosine_only,15,full_energy,all7,10,93.3042508132026,0.0
8000,extra_control,79.78274516207723,79.78274516207723,0.0,9,cosine_only,9,full_energy,all7,0,490.27031703608924,0.0
8000,core_wsd,55.04527052230417,4457.78504493334,3276.247720191453,5,cosine_only,15,orth_ols,all7,0,18146.260039650562,13690.10602408594
8000,extra_control,79.78274516207723,79.78274516207723,0.0,9,cosine_only,9,orth_ols,all7,0,490.27031703608924,0.0
8000,core_wsd,55.04527052230417,43.92000382418014,-7.071958705354971,15,cosine_only,15,sqrt_retention,all7,10,90.34155245243845,0.0
8000,extra_control,79.78274516207723,79.78274516207723,0.0,9,cosine_only,9,sqrt_retention,all7,0,490.27031703608924,0.0
8000,core_wsd,55.04527052230417,54.75207597285216,-0.2072216978863032,15,cosine_only,15,full_energy,ld4,10,106.80840626460855,0.0
8000,extra_control,79.78274516207723,79.78274516207723,0.0,9,cosine_only,9,full_energy,ld4,0,490.27031703608924,0.0
8000,core_wsd,55.04527052230417,411.5436649036123,263.32544756401944,5,cosine_only,15,orth_ols,ld4,0,1523.0955829166628,1088.5799858532487
8000,extra_control,79.78274516207723,79.78274516207723,0.0,9,cosine_only,9,orth_ols,ld4,0,490.27031703608924,0.0
8000,core_wsd,55.04527052230417,45.844412700661884,-6.434312668179005,15,cosine_only,15,sqrt_retention,ld4,10,106.80840626460855,0.0
