feature_retention,fit_start,kappa,orth_ols_kappa,orthogonal_alignment,protocol,raw_cosine_alignment,scale,shrinkage,tangent_dim,tangent_group
0.16581175347174046,2160,0.8273280429940119,2.031749162237344,2.031749162237344,cosine_only,0.07911256971300228,400,sqrt_retention,4,ld4
0.16581175347174046,2160,0.3368878912053137,2.031749162237344,2.031749162237344,cosine_only,0.07911256971300228,400,full_energy,4,ld4
0.286008269009848,2160,4.246317341152462,4.246317341152462,4.246317341152462,cosine_only,-1.1233221361975705,25,orth_ols,4,all7
0.286008269009848,2160,2.270919513176951,4.246317341152462,4.246317341152462,cosine_only,-1.1233221361975705,25,sqrt_retention,4,all7
0.286008269009848,2160,1.2144818724095159,4.246317341152462,4.246317341152462,cosine_only,-1.1233221361975705,25,full_energy,4,all7
0.06417169170631667,2160,2.1966290991850483,2.1966290991850483,2.1966290991850483,cosine_only,-0.2991820978311122,100,orth_ols,7,all7
0.06417169170631667,2160,0.5564529852962439,2.1966290991850483,2.1966290991850483,cosine_only,-0.2991820978311122,100,sqrt_retention,7,all7
0.06417169170631667,2160,0.14096140534602702,2.1966290991850483,2.1966290991850483,cosine_only,-0.2991820978311122,100,full_energy,7,all7
0.060407212280821125,2160,0.9330498458648973,0.9330498458648973,0.9330498458648973,cosine_only,0.07911256971300228,400,orth_ols,7,all7
0.060407212280821125,2160,0.22932385959604587,0.9330498458648973,0.9330498458648973,cosine_only,0.07911256971300228,400,sqrt_retention,7,all7
0.060407212280821125,2160,0.056362940107748276,0.9330498458648973,0.9330498458648973,cosine_only,0.07911256971300228,400,full_energy,7,all7
1.0,5000,0.0,0.0,-0.8935652359934781,cosine_only,-0.8935652359934781,25,orth_ols,0,none
1.0,5000,0.0,0.0,-0.8935652359934781,cosine_only,-0.8935652359934781,25,sqrt_retention,0,none
1.0,5000,0.0,0.0,-0.8935652359934781,cosine_only,-0.8935652359934781,25,full_energy,0,none
1.0,5000,0.0,0.0,-0.34841790430304415,cosine_only,-0.34841790430304415,100,orth_ols,0,none
1.0,5000,0.0,0.0,-0.34841790430304415,cosine_only,-0.34841790430304415,100,sqrt_retention,0,none
1.0,5000,0.0,0.0,-0.34841790430304415,cosine_only,-0.34841790430304415,100,full_energy,0,none
1.0,5000,0.004422982676059077,0.004422982676059077,0.004422982676059077,cosine_only,0.004422982676059077,400,orth_ols,0,none
1.0,5000,0.004422982676059077,0.004422982676059077,0.004422982676059077,cosine_only,0.004422982676059077,400,sqrt_retention,0,none
1.0,5000,0.004422982676059077,0.004422982676059077,0.004422982676059077,cosine_only,0.004422982676059077,400,full_energy,0,none
0.526092771265966,5000,0.0,0.0,-3.306294974777022,cosine_only,-0.8935652359934781,25,orth_ols,1,ld4
0.526092771265966,5000,0.0,0.0,-3.306294974777022,cosine_only,-0.8935652359934781,25,sqrt_retention,1,ld4
