config_id,max_mode,mean_delta,mean_kappa,mean_source_retention,mean_target_retention,median_delta,nonharm,nuisance_lambda,response_lambda,retention_power,rho,ridge_tau,rows,wins,worst_delta
22513,12,-21.49298463060861,0.0451113575722941,0.03027291663219956,0.493397283557826,-16.50625715691385,15,0.025,20.0,0.5,0.2,0.02,15,15,-4.9169061603081765
22639,16,-21.49279259062433,0.04511101678233458,0.03027193101091063,0.49330292661986996,-16.50588290762075,15,0.025,20.0,0.5,0.2,0.02,15,15,-4.916671011182183
21994,8,-21.427336973656526,0.04269556796019425,0.02851332509044084,0.4792920810075421,-15.42231892555408,15,0.02,20.0,0.5,0.5,0.01,15,15,-5.387959186772995
22120,12,-21.420189426246786,0.04270293957174275,0.028492742425259034,0.4786173759021031,-15.420488202307892,15,0.02,20.0,0.5,0.5,0.01,15,15,-5.378554446356276
22025,8,-21.420178615360175,0.04362599382925655,0.02851332509044084,0.4792920810075421,-15.75030859874511,15,0.02,20.0,0.25,0.75,0.03,15,15,-5.080280029955042
22246,16,-21.41968263734177,0.04270285613927348,0.028491510910392884,0.47849947627246064,-15.42010518393685,15,0.02,20.0,0.5,0.5,0.01,15,15,-5.378095739592292
22151,12,-21.413467987023,0.04362743688753183,0.028492742425259034,0.4786173759021031,-15.746230626641145,15,0.02,20.0,0.25,0.75,0.03,15,15,-5.072636735309133
22277,16,-21.41307140867741,0.04362698726664645,0.028491510910392884,0.47849947627246064,-15.74570728465382,15,0.02,20.0,0.25,0.75,0.03,15,15,-5.072285816183175
21941,8,-21.37920608647064,0.0420701616117578,0.02851332509044084,0.4792920810075421,-15.201618184505062,15,0.02,20.0,0.5,0.75,0.0,15,15,-5.594581220822247
22388,8,-21.37422358447061,0.0400984788760916,0.030289412183725252,0.493938012718721,-14.674893082340311,15,0.025,20.0,0.5,0.35,0.02,15,15,-6.449470213515096
22067,12,-21.372859780747856,0.04208137126080823,0.028492742425259034,0.4786173759021031,-15.201246652521283,15,0.02,20.0,0.5,0.75,0.0,15,15,-5.5840415257658815
22193,16,-21.37238693141864,0.042081525222563636,0.028491510910392884,0.47849947627246064,-15.200954903658914,15,0.02,20.0,0.5,0.75,0.0,15,15,-5.583513289819598
22514,12,-21.370584519031215,0.040098984508705866,0.03027291663219956,0.493397283557826,-14.672228583923118,15,0.025,20.0,0.5,0.35,0.02,15,15,-6.4474176983507885
22640,16,-21.370283110356976,0.040098681584297406,0.03027193101091063,0.49330292661986996,-14.67189591788507,15,0.025,20.0,0.5,0.35,0.02,15,15,-6.447324623858708
21959,8,-21.338698183037753,0.04168050773425341,0.02851332509044084,0.4792920810075421,-15.060453625199099,15,0.02,20.0,0.5,0.75,0.0025,15,15,-5.720339151665311
22085,12,-21.332607288004418,0.041691335246512445,0.028492742425259034,0.4786173759021031,-15.059984444651375,15,0.02,20.0,0.5,0.75,0.0025,15,15,-5.709986787876165
22211,16,-21.332143857603103,0.04169147112348913,0.028491510910392884,0.47849947627246064,-15.059689352023042,15,0.02,20.0,0.5,0.75,0.0025,15,15,-5.709468819626484
22355,8,-21.30725970295023,0.04671172880796918,0.030289412183725252,0.493938012718721,-17.109809477496352,15,0.025,20.0,0.5,0.75,0.005,15,15,-4.427263421546135
22481,12,-21.30187552995627,0.046720605681207075,0.03027291663219956,0.493397283557826,-17.109751545232655,15,0.025,20.0,0.5,0.75,0.005,15,15,-4.419277820758238
22607,16,-21.301596597028478,0.04672074802465473,0.03027193101091063,0.49330292661986996,-17.109545914504597,15,0.025,20.0,0.5,0.75,0.005,15,15,-4.41887789969031
22751,8,-21.300021968435086,0.04783757620864755,0.031739373823039194,0.5062765901852254,-17.69121674027163,15,0.03,20.0,0.5,0.75,0.01,15,15,-4.290767551240194
22877,12,-21.29648796590667,0.04784328158888156,0.03172561113878896,0.5058254448199437,-17.690869956929767,15,0.03,20.0,0.5,0.75,0.01,15,15,-4.291320911457197
23003,16,-21.29631966807656,0.04784333358275233,0.03172478956012364,0.5057467933395504,-17.69069903082573,15,0.03,20.0,0.5,0.75,0.01,15,15,-4.291593657274529
21977,8,-21.202879418731907,0.04055368322778976,0.02851332509044084,0.4792920810075421,-14.652264106108559,15,0.02,20.0,0.5,0.75,0.005,15,15,-6.084044924388676
22103,12,-21.197371281718063,0.04056343495745628,0.028492742425259034,0.4786173759021031,-14.6515232371366,15,0.02,20.0,0.5,0.75,0.005,15,15,-6.074224894371449
22229,16,-21.196929161741423,0.04056352029107821,0.028491510910392884,0.47849947627246064,-14.651219115077996,15,0.02,20.0,0.5,0.75,0.005,15,15,-6.073736055120449
21993,8,-21.183226370736715,0.04574525138592241,0.02851332509044084,0.4792920810075421,-16.52391313452205,15,0.02,20.0,0.5,0.4,0.01,15,15,-4.401051936633715
22119,12,-21.17602780961024,0.045753149541152956,0.028492742425259034,0.4786173759021031,-16.5219516453297,15,0.02,20.0,0.5,0.4,0.01,15,15,-4.3909754290445635
22245,16,-21.17565805709323,0.045753060149221585,0.028491510910392884,0.47849947627246064,-16.521541268503846,15,0.02,20.0,0.5,0.4,0.01,15,15,-4.390483957511659
22008,8,-21.13569259839203,0.04606294416593038,0.02851332509044084,0.4792920810075421,-16.627970840014516,15,0.02,20.0,0.5,0.0,0.02,15,15,-4.289341631054622
22134,12,-21.129246511491356,0.046062789842995354,0.028492742425259034,0.4786173759021031,-16.623058615825236,15,0.02,20.0,0.5,0.0,0.02,15,15,-4.279181045245595
22260,16,-21.128926989264077,0.046062214739503955,0.028491510910392884,0.47849947627246064,-16.622469794397944,15,0.02,20.0,0.5,0.0,0.02,15,15,-4.278724790795884
22337,8,-21.115817939685734,0.04793426680010547,0.030289412183725252,0.493938012718721,-17.558772283524327,15,0.025,20.0,0.5,0.75,0.0025,15,15,-3.954465871416557
