base_mae,candidate,corr_mae,delta_pct,kappa,rho,scale,shrink,test_curve,test_label,train_id,train_label,train_size,win
0.0013816404339982303,constant_0p85,0.0013594735759549141,-1.6043868938584227,0.031392869784998924,0.0,100,0.85,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,Cosine,1,1
0.0056693997340904675,constant_0p85,0.005122291364155874,-9.650199237933343,0.031392869784998924,0.0,100,0.85,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,Cosine,1,1
0.004934623402238123,constant_0p85,0.0051813375516070025,4.999655075136666,0.031392869784998924,0.0,100,0.85,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,Cosine,1,0
0.003248313740665229,constant_0p85,0.0025485832101306894,-21.541346877141255,0.031392869784998924,0.0,100,0.85,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,Cosine,1,1
0.0037480705220761528,train_size_rho0p25,0.0028328777160445766,-24.41770507361284,0.02954623038588134,0.25,100,0.8,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,Cosine,1,1
0.0013816404339982303,train_size_rho0p25,0.0013265569732601708,-3.986815916979025,0.02954623038588134,0.25,100,0.8,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,Cosine,1,1
0.0056693997340904675,train_size_rho0p25,0.004915406332223985,-13.299351558025997,0.02954623038588134,0.25,100,0.8,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,Cosine,1,1
0.004934623402238123,train_size_rho0p25,0.005072426938252413,2.7925846570538315,0.02954623038588134,0.25,100,0.8,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,Cosine,1,0
0.003248313740665229,train_size_rho0p25,0.0025897438295739055,-20.27420882554447,0.02954623038588134,0.25,100,0.8,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,Cosine,1,1
0.0037480705220761528,train_size_rho0p35,0.002900669775750616,-22.60898617927124,0.027357620727667904,0.35,100,0.7407407407407407,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,Cosine,1,1
