base_kappa,candidate,kappa,pooled_retention,rho,scale,selected_lambda,shrink,train_id,train_label,train_size
0.01491504383060957,train_size_rho0p25,0.011932035064487657,0.7413329414952441,0.25,100,0.025,0.8,wsdcon_18.csv,WSD-con 18e-5,1
0.01491504383060957,train_size_rho0p35,0.011048180615266348,0.7413329414952441,0.35,100,0.025,0.7407407407407407,wsdcon_18.csv,WSD-con 18e-5,1
0.01491504383060957,train_size_rho0p5,0.009943362553739713,0.7413329414952441,0.5,100,0.025,0.6666666666666666,wsdcon_18.csv,WSD-con 18e-5,1
0.01491504383060957,train_size_rho0p75,0.008522882188919754,0.7413329414952441,0.75,100,0.025,0.5714285714285714,wsdcon_18.csv,WSD-con 18e-5,1
0.01491504383060957,train_size_rho1p0,0.007457521915304785,0.7413329414952441,1.0,100,0.025,0.5,wsdcon_18.csv,WSD-con 18e-5,1
0.01491504383060957,train_selected_rho,0.009943362553739713,0.7413329414952441,0.5,100,0.025,0.6666666666666666,wsdcon_18.csv,WSD-con 18e-5,1
0.02528343848519805,none,0.02528343848519805,0.7413329414952441,0.0,400,0.025,1.0,wsdcon_18.csv,WSD-con 18e-5,1
0.02528343848519805,constant_0p85,0.021490922712418342,0.7413329414952441,0.0,400,0.025,0.85,wsdcon_18.csv,WSD-con 18e-5,1
0.02528343848519805,train_size_rho0p25,0.020226750788158443,0.7413329414952441,0.25,400,0.025,0.8,wsdcon_18.csv,WSD-con 18e-5,1
0.02528343848519805,train_size_rho0p35,0.018728472951998556,0.7413329414952441,0.35,400,0.025,0.7407407407407407,wsdcon_18.csv,WSD-con 18e-5,1
0.02528343848519805,train_size_rho0p5,0.016855625656798698,0.7413329414952441,0.5,400,0.025,0.6666666666666666,wsdcon_18.csv,WSD-con 18e-5,1
0.02528343848519805,train_size_rho0p75,0.014447679134398886,0.7413329414952441,0.75,400,0.025,0.5714285714285714,wsdcon_18.csv,WSD-con 18e-5,1
0.02528343848519805,train_size_rho1p0,0.012641719242599025,0.7413329414952441,1.0,400,0.025,0.5,wsdcon_18.csv,WSD-con 18e-5,1
0.02528343848519805,train_selected_rho,0.016855625656798698,0.7413329414952441,0.5,400,0.025,0.6666666666666666,wsdcon_18.csv,WSD-con 18e-5,1
0.01679338833105189,none,0.01679338833105189,0.19197729025037283,0.0,25,0.03,1.0,cosine_72000.csv|wsd_20000_24000.csv,Cosine + WSD sharp,2
0.01679338833105189,constant_0p85,0.014274380081394106,0.19197729025037283,0.0,25,0.03,0.85,cosine_72000.csv|wsd_20000_24000.csv,Cosine + WSD sharp,2
0.01679338833105189,train_size_rho0p25,0.014927456294268346,0.19197729025037283,0.25,25,0.03,0.8888888888888888,cosine_72000.csv|wsd_20000_24000.csv,Cosine + WSD sharp,2
0.01679338833105189,train_size_rho0p35,0.014292245388129269,0.19197729025037283,0.35,25,0.03,0.851063829787234,cosine_72000.csv|wsd_20000_24000.csv,Cosine + WSD sharp,2
0.01679338833105189,train_size_rho0p5,0.013434710664841512,0.19197729025037283,0.5,25,0.03,0.8,cosine_72000.csv|wsd_20000_24000.csv,Cosine + WSD sharp,2
0.01679338833105189,train_size_rho0p75,0.012213373331674103,0.19197729025037283,0.75,25,0.03,0.7272727272727273,cosine_72000.csv|wsd_20000_24000.csv,Cosine + WSD sharp,2
0.01679338833105189,train_size_rho1p0,0.01119559222070126,0.19197729025037283,1.0,25,0.03,0.6666666666666666,cosine_72000.csv|wsd_20000_24000.csv,Cosine + WSD sharp,2
0.01679338833105189,train_selected_rho,0.01679338833105189,0.19197729025037283,0.0,25,0.03,1.0,cosine_72000.csv|wsd_20000_24000.csv,Cosine + WSD sharp,2
0.02831512160252024,none,0.02831512160252024,0.19384926235779112,0.0,100,0.03,1.0,cosine_72000.csv|wsd_20000_24000.csv,Cosine + WSD sharp,2
0.02831512160252024,constant_0p85,0.024067853362142205,0.19384926235779112,0.0,100,0.03,0.85,cosine_72000.csv|wsd_20000_24000.csv,Cosine + WSD sharp,2
0.02831512160252024,train_size_rho0p25,0.02516899698001799,0.19384926235779112,0.25,100,0.03,0.8888888888888888,cosine_72000.csv|wsd_20000_24000.csv,Cosine + WSD sharp,2
0.02831512160252024,train_size_rho0p35,0.02409797583193212,0.19384926235779112,0.35,100,0.03,0.851063829787234,cosine_72000.csv|wsd_20000_24000.csv,Cosine + WSD sharp,2
0.02831512160252024,train_size_rho0p5,0.022652097282016195,0.19384926235779112,0.5,100,0.03,0.8,cosine_72000.csv|wsd_20000_24000.csv,Cosine + WSD sharp,2
0.02831512160252024,train_size_rho0p75,0.020592815710923813,0.19384926235779112,0.75,100,0.03,0.7272727272727273,cosine_72000.csv|wsd_20000_24000.csv,Cosine + WSD sharp,2
0.02831512160252024,train_size_rho1p0,0.018876747735013494,0.19384926235779112,1.0,100,0.03,0.6666666666666666,cosine_72000.csv|wsd_20000_24000.csv,Cosine + WSD sharp,2
0.02831512160252024,train_selected_rho,0.02831512160252024,0.19384926235779112,0.0,100,0.03,1.0,cosine_72000.csv|wsd_20000_24000.csv,Cosine + WSD sharp,2
0.04984517945783994,none,0.04984517945783994,0.1919331977229351,0.0,400,0.03,1.0,cosine_72000.csv|wsd_20000_24000.csv,Cosine + WSD sharp,2
0.04984517945783994,constant_0p85,0.04236840253916395,0.1919331977229351,0.0,400,0.03,0.85,cosine_72000.csv|wsd_20000_24000.csv,Cosine + WSD sharp,2
0.04984517945783994,train_size_rho0p25,0.044306826184746614,0.1919331977229351,0.25,400,0.03,0.8888888888888888,cosine_72000.csv|wsd_20000_24000.csv,Cosine + WSD sharp,2
0.04984517945783994,train_size_rho0p35,0.04242142932582123,0.1919331977229351,0.35,400,0.03,0.851063829787234,cosine_72000.csv|wsd_20000_24000.csv,Cosine + WSD sharp,2
0.04984517945783994,train_size_rho0p5,0.039876143566271956,0.1919331977229351,0.5,400,0.03,0.8,cosine_72000.csv|wsd_20000_24000.csv,Cosine + WSD sharp,2
0.04984517945783994,train_size_rho0p75,0.03625103960570178,0.1919331977229351,0.75,400,0.03,0.7272727272727273,cosine_72000.csv|wsd_20000_24000.csv,Cosine + WSD sharp,2
0.04984517945783994,train_size_rho1p0,0.03323011963855996,0.1919331977229351,1.0,400,0.03,0.6666666666666666,cosine_72000.csv|wsd_20000_24000.csv,Cosine + WSD sharp,2
0.04984517945783994,train_selected_rho,0.04984517945783994,0.1919331977229351,0.0,400,0.03,1.0,cosine_72000.csv|wsd_20000_24000.csv,Cosine + WSD sharp,2
0.019208466224134472,none,0.019208466224134472,0.22761236368377916,0.0,25,0.03,1.0,cosine_72000.csv|wsdld_20000_24000.csv,Cosine + WSD linear,2
0.019208466224134472,constant_0p85,0.016327196290514302,0.22761236368377916,0.0,25,0.03,0.85,cosine_72000.csv|wsdld_20000_24000.csv,Cosine + WSD linear,2
0.019208466224134472,train_size_rho0p25,0.01707419219923064,0.22761236368377916,0.25,25,0.03,0.8888888888888888,cosine_72000.csv|wsdld_20000_24000.csv,Cosine + WSD linear,2
0.019208466224134472,train_size_rho0p35,0.016347630829050615,0.22761236368377916,0.35,25,0.03,0.851063829787234,cosine_72000.csv|wsdld_20000_24000.csv,Cosine + WSD linear,2
0.019208466224134472,train_size_rho0p5,0.015366772979307579,0.22761236368377916,0.5,25,0.03,0.8,cosine_72000.csv|wsdld_20000_24000.csv,Cosine + WSD linear,2
0.019208466224134472,train_size_rho0p75,0.013969793617552344,0.22761236368377916,0.75,25,0.03,0.7272727272727273,cosine_72000.csv|wsdld_20000_24000.csv,Cosine + WSD linear,2
0.019208466224134472,train_size_rho1p0,0.01280564414942298,0.22761236368377916,1.0,25,0.03,0.6666666666666666,cosine_72000.csv|wsdld_20000_24000.csv,Cosine + WSD linear,2
0.019208466224134472,train_selected_rho,0.019208466224134472,0.22761236368377916,0.0,25,0.03,1.0,cosine_72000.csv|wsdld_20000_24000.csv,Cosine + WSD linear,2
