scale,curve,base_mae,corr_mae,delta_pct,win,mode,train_family,test_family,train_curves,lambda,kappa
400,wsdld_20000_24000.csv,0.0038535563963712593,0.0016586341951500196,-56.95835159667342,1,selected_lambda_per_scale_nonnegative,WSD linear,WSD linear,wsdld_20000_24000,3.0,0.04810278972850831
25,wsdcon_3.csv,0.004487187642230267,0.006701823334556287,49.354648588425846,0,selected_lambda_per_scale_nonnegative,WSD linear,WSD-con step,wsdld_20000_24000,3.0,0.02401963314474919
25,wsdcon_9.csv,0.002926482771138891,0.005210606544309241,78.0501356678565,0,selected_lambda_per_scale_nonnegative,WSD linear,WSD-con step,wsdld_20000_24000,3.0,0.02401963314474919
25,wsdcon_18.csv,0.002504818961791151,0.001465847429998037,-41.478907164219336,1,selected_lambda_per_scale_nonnegative,WSD linear,WSD-con step,wsdld_20000_24000,3.0,0.02401963314474919
100,wsdcon_3.csv,0.0056693997340904675,0.012343905314948663,117.72861138585733,0,selected_lambda_per_scale_nonnegative,WSD linear,WSD-con step,wsdld_20000_24000,3.0,0.03707405169362248
100,wsdcon_9.csv,0.004934623402238123,0.00954431654462056,93.41529771637056,0,selected_lambda_per_scale_nonnegative,WSD linear,WSD-con step,wsdld_20000_24000,3.0,0.03707405169362248
100,wsdcon_18.csv,0.0013816404339982303,0.0027322907254048565,97.75700378846585,0,selected_lambda_per_scale_nonnegative,WSD linear,WSD-con step,wsdld_20000_24000,3.0,0.03707405169362248
400,wsdcon_3.csv,0.008173606778800102,0.014019305539178375,71.5192071086692,0,selected_lambda_per_scale_nonnegative,WSD linear,WSD-con step,wsdld_20000_24000,3.0,0.04810278972850831
400,wsdcon_9.csv,0.006687305974578527,0.011809874108772617,76.60137211707206,0,selected_lambda_per_scale_nonnegative,WSD linear,WSD-con step,wsdld_20000_24000,3.0,0.04810278972850831
400,wsdcon_18.csv,0.0025579541942073844,0.004271610435358462,66.99323408651094,0,selected_lambda_per_scale_nonnegative,WSD linear,WSD-con step,wsdld_20000_24000,3.0,0.04810278972850831
25,cosine_72000.csv,0.00744534704076948,0.007304852628570923,-1.8870095836934553,1,selected_lambda_per_scale_nonnegative,WSD-con step,Cosine decay,wsdcon_3+wsdcon_9+wsdcon_18,20.0,0.024963366630532398
100,cosine_72000.csv,0.007265129575917493,0.007089570072426909,-2.416467616386775,1,selected_lambda_per_scale_nonnegative,WSD-con step,Cosine decay,wsdcon_3+wsdcon_9+wsdcon_18,20.0,0.031206352047281154
400,cosine_72000.csv,0.005612615040270773,0.005422789020414156,-3.3821314751609766,1,selected_lambda_per_scale_nonnegative,WSD-con step,Cosine decay,wsdcon_3+wsdcon_9+wsdcon_18,20.0,0.04912066866461048
25,wsd_20000_24000.csv,0.003408385839825258,0.002991129606108345,-12.242048093308156,1,selected_lambda_per_scale_nonnegative,WSD-con step,WSD sharp,wsdcon_3+wsdcon_9+wsdcon_18,20.0,0.024963366630532398
100,wsd_20000_24000.csv,0.0037480705220761528,0.003229514725763,-13.835273196138031,1,selected_lambda_per_scale_nonnegative,WSD-con step,WSD sharp,wsdcon_3+wsdcon_9+wsdcon_18,20.0,0.031206352047281154
400,wsd_20000_24000.csv,0.004701998914275349,0.0038862098529383006,-17.349835170320837,1,selected_lambda_per_scale_nonnegative,WSD-con step,WSD sharp,wsdcon_3+wsdcon_9+wsdcon_18,20.0,0.04912066866461048
25,wsdld_20000_24000.csv,0.0031360955249893426,0.002812826566195575,-10.308007400216745,1,selected_lambda_per_scale_nonnegative,WSD-con step,WSD linear,wsdcon_3+wsdcon_9+wsdcon_18,20.0,0.024963366630532398
100,wsdld_20000_24000.csv,0.003248313740665229,0.002846563020592448,-12.367977730824276,1,selected_lambda_per_scale_nonnegative,WSD-con step,WSD linear,wsdcon_3+wsdcon_9+wsdcon_18,20.0,0.031206352047281154
400,wsdld_20000_24000.csv,0.0038535563963712593,0.0032190524173466503,-16.46541308236973,1,selected_lambda_per_scale_nonnegative,WSD-con step,WSD linear,wsdcon_3+wsdcon_9+wsdcon_18,20.0,0.04912066866461048
25,wsdcon_3.csv,0.004487187642230267,0.0020352754639764684,-54.64251495030248,1,selected_lambda_per_scale_nonnegative,WSD-con step,WSD-con step,wsdcon_3+wsdcon_9+wsdcon_18,20.0,0.024963366630532398
25,wsdcon_9.csv,0.002926482771138891,0.0022781387417140637,-22.15437711845858,1,selected_lambda_per_scale_nonnegative,WSD-con step,WSD-con step,wsdcon_3+wsdcon_9+wsdcon_18,20.0,0.024963366630532398
25,wsdcon_18.csv,0.002504818961791151,0.0022201415977570155,-11.365187200218562,1,selected_lambda_per_scale_nonnegative,WSD-con step,WSD-con step,wsdcon_3+wsdcon_9+wsdcon_18,20.0,0.024963366630532398
