audit,base_mae,base_tau,corr_mae,delta_pct,heldout_scale,nonharm,nuisance,route,scale,target_curve,target_label,tau,tau_multiplier,train_curves,win
leave_one_scale_select_mean,0.002504818961791151,512.0,0.0021331538331243152,-14.83800363763873,25,1,none,weak_step_drop,25,wsdcon_18.csv,WSD-con 18e-5,448.0,0.875,wsdcon_9,1
leave_one_scale_select_mean,0.007265129575917493,8192.0,0.0037455453124358835,-48.44489319431211,100,1,dct4,smooth_decay,100,cosine_72000.csv,Cosine,11264.0,1.375,wsdcon_3,1
leave_one_scale_select_mean,0.0037480705220761528,5120.0,0.0015319686879696078,-59.126471101696055,100,1,none,finite_tail,100,wsd_20000_24000.csv,WSD sharp,5120.0,1.0,wsdld_20000_24000,1
leave_one_scale_select_mean,0.003248313740665229,5120.0,0.0015788212898153425,-51.39566507845967,100,1,none,finite_tail,100,wsdld_20000_24000.csv,WSD linear,5120.0,1.0,wsd_20000_24000,1
leave_one_scale_select_mean,0.0056693997340904675,1536.0,0.0030871619639734407,-45.54693426518973,100,1,dct2,full_step_drop,100,wsdcon_3.csv,WSD-con 3e-5,1728.0,1.125,wsd_20000_24000+wsdld_20000_24000,1
leave_one_scale_select_mean,0.004934623402238123,768.0,0.004502400632784539,-8.75898187605455,100,1,dct2,medium_step_drop,100,wsdcon_9.csv,WSD-con 9e-5,768.0,1.0,wsdcon_3+wsdcon_18,1
leave_one_scale_select_mean,0.0013816404339982303,512.0,0.0012184901180827513,-11.808449716787027,100,1,none,weak_step_drop,100,wsdcon_18.csv,WSD-con 18e-5,512.0,1.0,wsdcon_9,1
leave_one_scale_select_mean,0.005612615040270773,8192.0,0.004674475727621047,-16.714834456283455,400,1,dct4,smooth_decay,400,cosine_72000.csv,Cosine,16384.0,2.0,wsdcon_3,1
leave_one_scale_select_mean,0.004701998914275349,5120.0,0.0017996012230917819,-61.726889863199204,400,1,none,finite_tail,400,wsd_20000_24000.csv,WSD sharp,3840.0,0.75,wsdld_20000_24000,1
leave_one_scale_select_mean,0.0038535563963712593,5120.0,0.0017877954685627416,-53.606609462203856,400,1,none,finite_tail,400,wsdld_20000_24000.csv,WSD linear,3840.0,0.75,wsd_20000_24000,1
leave_one_scale_select_mean,0.008173606778800102,1536.0,0.0033560059070024163,-58.94094250157844,400,1,dct2,full_step_drop,400,wsdcon_3.csv,WSD-con 3e-5,1536.0,1.0,wsd_20000_24000+wsdld_20000_24000,1
leave_one_scale_select_mean,0.006687305974578527,768.0,0.005870670454909265,-12.211726557356029,400,1,dct2,medium_step_drop,400,wsdcon_9.csv,WSD-con 9e-5,768.0,1.0,wsdcon_3+wsdcon_18,1
