best_delta,block_label,config,end,experiment,group,mean_coef,mean_delta,mean_delta_vs_suffix8k,mean_n_cal,mean_source_retention,median_delta,mode,nonharm,reference_config,rows,split,start,wins,wins_vs_suffix8k,worst_delta,worst_delta_vs_suffix8k
-0.00013131962985912793,,suffix_ge_60000,,prefix_start_sweep,core_wsd,9.725269435290831e-09,-1.0649015967799534e-05,26.592624384881624,94.0,2.569353958538428e-07,0.0,suffix,45,,45,all,60000,9,-36,0.0,3.1527952352987443
-0.00013131962985912793,,suffix_ge_60000,,prefix_start_sweep,core_wsd,9.72526943529083e-09,-1.456713125014275e-05,29.882195062791787,94.0,2.569353958538428e-07,0.0,suffix,15,,15,same_scale,60000,3,-12,0.0,4.665186792735431
-8.560765895060385e-05,,suffix_ge_60000,,prefix_start_sweep,core_wsd,9.72526943529083e-09,-8.689958326627925e-06,24.947839045926532,94.0,2.569353958538428e-07,0.0,suffix,30,,30,cross_scale,60000,6,-24,0.0,3.1527952352987443
0.0,,suffix_ge_60000,,prefix_start_sweep,extra_control,0.0,0.0,0.0,94.0,6.196353260394032e-07,0.0,suffix,27,,27,all,60000,0,0,0.0,0.0
0.0,,suffix_ge_60000,,prefix_start_sweep,extra_control,0.0,0.0,0.0,94.0,6.196353260394032e-07,0.0,suffix,9,,9,same_scale,60000,0,0,0.0,0.0
0.0,,suffix_ge_60000,,prefix_start_sweep,extra_control,0.0,0.0,0.0,94.0,6.196353260394032e-07,0.0,suffix,18,,18,cross_scale,60000,0,0,0.0,0.0
-7.220642579213942,8k-12k,drop_8k-12k_from_suffix8k,12000,leave_one_block_out_suffix8k,core_wsd,0.002396798250448166,-1.5519932411742698,25.040641792723324,469.0,0.0002852823419303946,0.0,drop_block_suffix,45,suffix_ge_8000,45,all,8000,18,-27,0.0,3.1527952352987443
-5.24852773976604,8k-12k,drop_8k-12k_from_suffix8k,12000,leave_one_block_out_suffix8k,core_wsd,0.002396798250448166,-1.4901887194784171,28.392020910444618,469.0,0.0002852823419303947,0.0,drop_block_suffix,15,suffix_ge_8000,15,same_scale,8000,6,-9,0.0,4.665186792735431
-7.220642579213942,8k-12k,drop_8k-12k_from_suffix8k,12000,leave_one_block_out_suffix8k,core_wsd,0.0023967982504481664,-1.5828955020221964,23.364952233862663,469.0,0.0002852823419303946,0.0,drop_block_suffix,30,suffix_ge_8000,30,cross_scale,8000,12,-18,0.0,3.1527952352987443
0.0,8k-12k,drop_8k-12k_from_suffix8k,12000,leave_one_block_out_suffix8k,extra_control,0.005994948165792983,0.0,0.0,469.0,0.00020695163595738813,0.0,drop_block_suffix,27,suffix_ge_8000,27,all,8000,0,0,0.0,0.0
0.0,8k-12k,drop_8k-12k_from_suffix8k,12000,leave_one_block_out_suffix8k,extra_control,0.005994948165792983,0.0,0.0,469.0,0.00020695163595738818,0.0,drop_block_suffix,9,suffix_ge_8000,9,same_scale,8000,0,0,0.0,0.0
0.0,8k-12k,drop_8k-12k_from_suffix8k,12000,leave_one_block_out_suffix8k,extra_control,0.005994948165792981,0.0,0.0,469.0,0.00020695163595738818,0.0,drop_block_suffix,18,suffix_ge_8000,18,cross_scale,8000,0,0,0.0,0.0
-43.935387728341524,12k-20k,drop_12k-20k_from_suffix8k,20000,leave_one_block_out_suffix8k,core_wsd,0.025668197387167208,-19.127915946272086,7.464719087625507,437.0,0.000779868280732065,-18.515373680004487,drop_block_suffix,45,suffix_ge_8000,45,all,12000,45,0,-2.119901848061112,1.0328933872376322
-34.13404869026356,12k-20k,drop_12k-20k_from_suffix8k,20000,leave_one_block_out_suffix8k,core_wsd,0.025668197387167215,-18.394007223728693,11.488202406194343,437.0,0.0007798682807320654,-21.069394004333354,drop_block_suffix,15,suffix_ge_8000,15,same_scale,12000,15,0,-3.1119401293253968,1.5532466634100346
-43.935387728341524,12k-20k,drop_12k-20k_from_suffix8k,20000,leave_one_block_out_suffix8k,core_wsd,0.025668197387167215,-19.49487030754378,5.452977428341079,437.0,0.0007798682807320651,-17.782434308050057,drop_block_suffix,30,suffix_ge_8000,30,cross_scale,12000,30,0,-2.119901848061112,1.0328933872376322
0.0,12k-20k,drop_12k-20k_from_suffix8k,20000,leave_one_block_out_suffix8k,extra_control,0.04259863979771996,0.0,0.0,437.0,0.0008381350845772256,0.0,drop_block_suffix,27,suffix_ge_8000,27,all,12000,0,0,0.0,0.0
0.0,12k-20k,drop_12k-20k_from_suffix8k,20000,leave_one_block_out_suffix8k,extra_control,0.04259863979771997,0.0,0.0,437.0,0.0008381350845772256,0.0,drop_block_suffix,9,suffix_ge_8000,9,same_scale,12000,0,0,0.0,0.0
0.0,12k-20k,drop_12k-20k_from_suffix8k,20000,leave_one_block_out_suffix8k,extra_control,0.04259863979771997,0.0,0.0,437.0,0.0008381350845772255,0.0,drop_block_suffix,18,suffix_ge_8000,18,cross_scale,12000,0,0,0.0,0.0
-58.2205249060356,20k-32k,drop_20k-32k_from_suffix8k,32000,leave_one_block_out_suffix8k,core_wsd,0.032537594953233585,-23.41082192958418,3.181813104313413,406.3333333333333,0.0012827399845819762,-23.026305930402348,drop_block_suffix,45,suffix_ge_8000,45,all,20000,45,0,-2.6355724054504925,0.5172228298482517
-44.71032146427536,20k-32k,drop_20k-32k_from_suffix8k,32000,leave_one_block_out_suffix8k,core_wsd,0.032537594953233585,-23.086780337611643,6.795429292311393,406.3333333333333,0.0012827399845819758,-26.742855208310733,drop_block_suffix,15,suffix_ge_8000,15,same_scale,20000,15,0,-3.7341034949718077,0.9310832977636236
-58.2205249060356,20k-32k,drop_20k-32k_from_suffix8k,32000,leave_one_block_out_suffix8k,core_wsd,0.03253759495323359,-23.572842725570457,1.3750050103144034,406.3333333333333,0.0012827399845819762,-22.418477975819115,drop_block_suffix,30,suffix_ge_8000,30,cross_scale,20000,30,0,-2.6355724054504925,0.5172228298482517
0.0,20k-32k,drop_20k-32k_from_suffix8k,32000,leave_one_block_out_suffix8k,extra_control,0.0493771014793213,0.0,0.0,406.3333333333333,0.00130411071247015,0.0,drop_block_suffix,27,suffix_ge_8000,27,all,20000,0,0,0.0,0.0
0.0,20k-32k,drop_20k-32k_from_suffix8k,32000,leave_one_block_out_suffix8k,extra_control,0.049377101479321305,0.0,0.0,406.3333333333333,0.00130411071247015,0.0,drop_block_suffix,9,suffix_ge_8000,9,same_scale,20000,0,0,0.0,0.0
0.0,20k-32k,drop_20k-32k_from_suffix8k,32000,leave_one_block_out_suffix8k,extra_control,0.04937710147932129,0.0,0.0,406.3333333333333,0.00130411071247015,0.0,drop_block_suffix,18,suffix_ge_8000,18,cross_scale,20000,0,0,0.0,0.0
-39.98266450132899,32k-48k,drop_32k-48k_from_suffix8k,48000,leave_one_block_out_suffix8k,core_wsd,0.021216743503267646,-16.208120422932783,10.38451461096481,375.0,0.0013571194343020526,-16.088760187301187,drop_block_suffix,45,suffix_ge_8000,45,all,32000,45,0,-1.9384382510410414,1.2143569842577029
-30.071246305097986,32k-48k,drop_32k-48k_from_suffix8k,48000,leave_one_block_out_suffix8k,core_wsd,0.021216743503267646,-15.45532738728257,14.426882242640467,375.0,0.0013571194343020522,-17.385848285054152,drop_block_suffix,15,suffix_ge_8000,15,same_scale,32000,15,0,-2.734538106711093,1.9306486860243384
-39.98266450132899,32k-48k,drop_32k-48k_from_suffix8k,48000,leave_one_block_out_suffix8k,core_wsd,0.021216743503267646,-16.584516940757887,8.363330795126974,375.0,0.0013571194343020528,-14.928173115870784,drop_block_suffix,30,suffix_ge_8000,30,cross_scale,32000,30,0,-1.9384382510410414,1.2143569842577029
0.0,32k-48k,drop_32k-48k_from_suffix8k,48000,leave_one_block_out_suffix8k,extra_control,0.03331303557889819,0.0,0.0,375.0,0.0013397333951004082,0.0,drop_block_suffix,27,suffix_ge_8000,27,all,32000,0,0,0.0,0.0
0.0,32k-48k,drop_32k-48k_from_suffix8k,48000,leave_one_block_out_suffix8k,extra_control,0.033313035578898205,0.0,0.0,375.0,0.001339733395100408,0.0,drop_block_suffix,9,suffix_ge_8000,9,same_scale,32000,0,0,0.0,0.0
0.0,32k-48k,drop_32k-48k_from_suffix8k,48000,leave_one_block_out_suffix8k,extra_control,0.0333130355788982,0.0,0.0,375.0,0.0013397333951004082,0.0,drop_block_suffix,18,suffix_ge_8000,18,cross_scale,32000,0,0,0.0,0.0
-58.02493526583707,48k-60k,drop_48k-60k_from_suffix8k,60000,leave_one_block_out_suffix8k,core_wsd,0.035193250678525904,-24.585743868816877,2.0068911650807166,406.6666666666667,0.0019682136658179385,-23.770405598853472,drop_block_suffix,45,suffix_ge_8000,45,all,48000,45,0,-2.7681082107237964,0.38468702457494786
-47.75620631544526,48k-60k,drop_48k-60k_from_suffix8k,60000,leave_one_block_out_suffix8k,core_wsd,0.0351932506785259,-24.83606697116029,5.046142658762747,406.6666666666667,0.0019682136658179385,-27.746990346949396,drop_block_suffix,15,suffix_ge_8000,15,same_scale,48000,15,0,-3.802869703823586,0.8623170889118454
-58.02493526583707,48k-60k,drop_48k-60k_from_suffix8k,60000,leave_one_block_out_suffix8k,core_wsd,0.035193250678525904,-24.460582317645173,0.48726541823968716,406.6666666666667,0.0019682136658179385,-23.291506336503215,drop_block_suffix,30,suffix_ge_8000,30,cross_scale,48000,30,0,-2.7681082107237964,0.38468702457494786
0.0,48k-60k,drop_48k-60k_from_suffix8k,60000,leave_one_block_out_suffix8k,extra_control,0.055218374431467813,0.0,0.0,406.6666666666667,0.0020706723602955945,0.0,drop_block_suffix,27,suffix_ge_8000,27,all,48000,0,0,0.0,0.0
0.0,48k-60k,drop_48k-60k_from_suffix8k,60000,leave_one_block_out_suffix8k,extra_control,0.05521837443146782,0.0,0.0,406.6666666666667,0.0020706723602955945,0.0,drop_block_suffix,9,suffix_ge_8000,9,same_scale,48000,0,0,0.0,0.0
0.0,48k-60k,drop_48k-60k_from_suffix8k,60000,leave_one_block_out_suffix8k,extra_control,0.05521837443146782,0.0,0.0,406.6666666666667,0.0020706723602955945,0.0,drop_block_suffix,18,suffix_ge_8000,18,cross_scale,48000,0,0,0.0,0.0
-52.880975733603485,60k-72k,drop_60k-72k_from_suffix8k,72050,leave_one_block_out_suffix8k,core_wsd,0.025835600125230757,-19.592093303137805,7.000541730759789,406.0,0.001542062534671283,-19.695794239725796,drop_block_suffix,45,suffix_ge_8000,45,all,60000,45,0,-2.453845252047182,0.6989499832515622
-33.00409317893678,60k-72k,drop_60k-72k_from_suffix8k,72050,leave_one_block_out_suffix8k,core_wsd,0.02583560012523075,-18.807672725610676,11.07453690431236,406.0,0.001542062534671283,-19.695794239725796,drop_block_suffix,15,suffix_ge_8000,15,same_scale,60000,15,0,-3.3982462257208135,1.2669405670146179
-52.880975733603485,60k-72k,drop_60k-72k_from_suffix8k,72050,leave_one_block_out_suffix8k,core_wsd,0.025835600125230753,-19.98430359190137,4.963544143983491,406.0,0.0015420625346712832,-18.760679365433894,drop_block_suffix,30,suffix_ge_8000,30,cross_scale,60000,30,0,-2.453845252047182,0.6989499832515622
0.0,60k-72k,drop_60k-72k_from_suffix8k,72050,leave_one_block_out_suffix8k,extra_control,0.03652385336941808,0.0,0.0,406.0,0.0015739083962655557,0.0,drop_block_suffix,27,suffix_ge_8000,27,all,60000,0,0,0.0,0.0
0.0,60k-72k,drop_60k-72k_from_suffix8k,72050,leave_one_block_out_suffix8k,extra_control,0.03652385336941809,0.0,0.0,406.0,0.0015739083962655555,0.0,drop_block_suffix,9,suffix_ge_8000,9,same_scale,60000,0,0,0.0,0.0
0.0,60k-72k,drop_60k-72k_from_suffix8k,72050,leave_one_block_out_suffix8k,extra_control,0.036523853369418074,0.0,0.0,406.0,0.0015739083962655553,0.0,drop_block_suffix,18,suffix_ge_8000,18,cross_scale,60000,0,0,0.0,0.0
-0.033308386729291595,2.16k-5k,only_2.16k-5k,5000,only_window,core_wsd,9.52539501448409e-06,-0.007900189088917308,26.584734844808676,23.0,0.0064364414734141475,-0.006092559647041806,only_window,45,,45,all,2160,45,0,-0.0001176868939856135,3.1526775484047587
-0.033308386729291595,2.16k-5k,only_2.16k-5k,5000,only_window,core_wsd,9.525395014484089e-06,-0.009103481574557945,29.873106148348477,23.0,0.00643644147341415,-0.006092559647041806,only_window,15,,15,same_scale,2160,15,0,-0.0001176868939856135,4.665069105841446
-0.021713836819159393,2.16k-5k,only_2.16k-5k,5000,only_window,core_wsd,9.52539501448409e-06,-0.007298542846096989,24.940549193038763,23.0,0.00643644147341415,-0.006576655443363277,only_window,30,,30,cross_scale,2160,30,0,-0.00014079751572415589,3.15265443778302
0.0,2.16k-5k,only_2.16k-5k,5000,only_window,extra_control,1.4137651762005523e-05,0.0,0.0,23.0,0.007955518080257103,0.0,only_window,27,,27,all,2160,0,0,0.0,0.0
