estimator,scale,train_curve,train_label,test_curve,test_label,kappa,base_mae,corr_mae,delta_pct,win
fixed_map_tau_0p03,25,cosine_72000.csv,Cosine,wsdld_20000_24000.csv,WSD linear,0.004241465131126097,0.0031360955249893426,0.003040999383728397,-3.0323100971635264,1
fixed_map_tau_0p03,25,cosine_72000.csv,Cosine,wsdcon_3.csv,WSD-con 3e-5,0.004241465131126097,0.004487187642230267,0.0038435096462451183,-14.344797840128242,1
fixed_map_tau_0p03,25,cosine_72000.csv,Cosine,wsdcon_9.csv,WSD-con 9e-5,0.004241465131126097,0.002926482771138891,0.0027005000958993113,-7.721988916805911,1
fixed_map_tau_0p03,25,cosine_72000.csv,Cosine,wsdcon_18.csv,WSD-con 18e-5,0.004241465131126097,0.002504818961791151,0.0024180359053528277,-3.464643862974681,1
fixed_map_tau_0p03,100,cosine_72000.csv,Cosine,cosine_72000.csv,Cosine,0.004721187283384402,0.007265129575917493,0.00721150811999027,-0.7380660642993586,1
fixed_map_tau_0p03,100,cosine_72000.csv,Cosine,wsd_20000_24000.csv,WSD sharp,0.004721187283384402,0.0037480705220761528,0.003601832014447587,-3.901701069049268,1
fixed_map_tau_0p03,100,cosine_72000.csv,Cosine,wsdld_20000_24000.csv,WSD linear,0.004721187283384402,0.003248313740665229,0.0031430809631211283,-3.2396124865250786,1
fixed_map_tau_0p03,100,cosine_72000.csv,Cosine,wsdcon_3.csv,WSD-con 3e-5,0.004721187283384402,0.0056693997340904675,0.005159582910742606,-8.992430367580194,1
fixed_map_tau_0p03,100,cosine_72000.csv,Cosine,wsdcon_9.csv,WSD-con 9e-5,0.004721187283384402,0.004934623402238123,0.0047957753528682,-2.813751689884736,1
fixed_map_tau_0p03,100,cosine_72000.csv,Cosine,wsdcon_18.csv,WSD-con 18e-5,0.004721187283384402,0.0013816404339982303,0.0013118839925683353,-5.048812969958605,1
fixed_map_tau_0p03,400,cosine_72000.csv,Cosine,cosine_72000.csv,Cosine,0.0030167539805602745,0.005612615040270773,0.0055892540275666635,-0.4162233207959831,1
fixed_map_tau_0p03,400,cosine_72000.csv,Cosine,wsd_20000_24000.csv,WSD sharp,0.0030167539805602745,0.004701998914275349,0.004607761015131298,-2.0042092918810095,1
fixed_map_tau_0p03,400,cosine_72000.csv,Cosine,wsdld_20000_24000.csv,WSD linear,0.0030167539805602745,0.0038535563963712593,0.0037858496087718103,-1.7569948544987168,1
fixed_map_tau_0p03,400,cosine_72000.csv,Cosine,wsdcon_3.csv,WSD-con 3e-5,0.0030167539805602745,0.008173606778800102,0.007752181153311761,-5.155932220539327,1
fixed_map_tau_0p03,400,cosine_72000.csv,Cosine,wsdcon_9.csv,WSD-con 9e-5,0.0030167539805602745,0.006687305974578527,0.006572389910536086,-1.7184209079005641,1
fixed_map_tau_0p03,400,cosine_72000.csv,Cosine,wsdcon_18.csv,WSD-con 18e-5,0.0030167539805602745,0.0025579541942073844,0.0025147836627494096,-1.6876975966081287,1
fixed_map_tau_0p03,25,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,Cosine,0.03,0.00744534704076948,0.007104504643522665,-4.577924915795317,1
fixed_map_tau_0p03,25,wsd_20000_24000.csv,WSD sharp,wsd_20000_24000.csv,WSD sharp,0.03,0.003408385839825258,0.0024765307546488566,-27.340070313875486,1
fixed_map_tau_0p03,25,wsd_20000_24000.csv,WSD sharp,wsdld_20000_24000.csv,WSD linear,0.03,0.0031360955249893426,0.002463477891782212,-21.447613054115,1
fixed_map_tau_0p03,25,wsd_20000_24000.csv,WSD sharp,wsdcon_3.csv,WSD-con 3e-5,0.03,0.004487187642230267,0.004499920167834441,0.28375291205440245,0
fixed_map_tau_0p03,25,wsd_20000_24000.csv,WSD sharp,wsdcon_9.csv,WSD-con 9e-5,0.03,0.002926482771138891,0.0029828555483020704,1.9262979341320818,0
fixed_map_tau_0p03,25,wsd_20000_24000.csv,WSD sharp,wsdcon_18.csv,WSD-con 18e-5,0.03,0.002504818961791151,0.0019498494402122508,-22.156073155165323,1
fixed_map_tau_0p03,100,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,Cosine,0.03,0.007265129575917493,0.006924400945329565,-4.689918149806682,1
fixed_map_tau_0p03,100,wsd_20000_24000.csv,WSD sharp,wsd_20000_24000.csv,WSD sharp,0.03,0.0037480705220761528,0.002818822228051241,-24.792711037629502,1
fixed_map_tau_0p03,100,wsd_20000_24000.csv,WSD sharp,wsdld_20000_24000.csv,WSD linear,0.03,0.003248313740665229,0.0025796295439096018,-20.585579169415013,1
fixed_map_tau_0p03,100,wsd_20000_24000.csv,WSD sharp,wsdcon_3.csv,WSD-con 3e-5,0.03,0.0056693997340904675,0.004962184624574027,-12.474250232593597,1
fixed_map_tau_0p03,100,wsd_20000_24000.csv,WSD sharp,wsdcon_9.csv,WSD-con 9e-5,0.03,0.004934623402238123,0.0050991892433450816,3.3349219928783036,0
fixed_map_tau_0p03,100,wsd_20000_24000.csv,WSD sharp,wsdcon_18.csv,WSD-con 18e-5,0.03,0.0013816404339982303,0.0013346454793919133,-3.4013881940557877,1
fixed_map_tau_0p03,400,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,Cosine,0.03,0.005612615040270773,0.00539085135574248,-3.95116506186739,1
fixed_map_tau_0p03,400,wsd_20000_24000.csv,WSD sharp,wsd_20000_24000.csv,WSD sharp,0.03,0.004701998914275349,0.0037648535611774924,-19.930786250346998,1
fixed_map_tau_0p03,400,wsd_20000_24000.csv,WSD sharp,wsdld_20000_24000.csv,WSD linear,0.03,0.0038535563963712593,0.00318024871497847,-17.472371288683263,1
fixed_map_tau_0p03,400,wsd_20000_24000.csv,WSD sharp,wsdcon_3.csv,WSD-con 3e-5,0.03,0.008173606778800102,0.005189834252286286,-36.504967846665096,1
fixed_map_tau_0p03,400,wsd_20000_24000.csv,WSD sharp,wsdcon_9.csv,WSD-con 9e-5,0.03,0.006687305974578527,0.006139416293167459,-8.192980603756506,1
fixed_map_tau_0p03,400,wsd_20000_24000.csv,WSD sharp,wsdcon_18.csv,WSD-con 18e-5,0.03,0.0025579541942073844,0.002378562626322739,-7.013087579554256,1
fixed_map_tau_0p03,25,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,Cosine,0.03,0.00744534704076948,0.007104504643522665,-4.577924915795317,1
fixed_map_tau_0p03,25,wsdld_20000_24000.csv,WSD linear,wsd_20000_24000.csv,WSD sharp,0.03,0.003408385839825258,0.0024765307546488566,-27.340070313875486,1
fixed_map_tau_0p03,25,wsdld_20000_24000.csv,WSD linear,wsdld_20000_24000.csv,WSD linear,0.03,0.0031360955249893426,0.002463477891782212,-21.447613054115,1
fixed_map_tau_0p03,25,wsdld_20000_24000.csv,WSD linear,wsdcon_3.csv,WSD-con 3e-5,0.03,0.004487187642230267,0.004499920167834441,0.28375291205440245,0
fixed_map_tau_0p03,25,wsdld_20000_24000.csv,WSD linear,wsdcon_9.csv,WSD-con 9e-5,0.03,0.002926482771138891,0.0029828555483020704,1.9262979341320818,0
fixed_map_tau_0p03,25,wsdld_20000_24000.csv,WSD linear,wsdcon_18.csv,WSD-con 18e-5,0.03,0.002504818961791151,0.0019498494402122508,-22.156073155165323,1
fixed_map_tau_0p03,100,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,Cosine,0.03,0.007265129575917493,0.006924400945329565,-4.689918149806682,1
fixed_map_tau_0p03,100,wsdld_20000_24000.csv,WSD linear,wsd_20000_24000.csv,WSD sharp,0.03,0.0037480705220761528,0.002818822228051241,-24.792711037629502,1
fixed_map_tau_0p03,100,wsdld_20000_24000.csv,WSD linear,wsdld_20000_24000.csv,WSD linear,0.03,0.003248313740665229,0.0025796295439096018,-20.585579169415013,1
fixed_map_tau_0p03,100,wsdld_20000_24000.csv,WSD linear,wsdcon_3.csv,WSD-con 3e-5,0.03,0.0056693997340904675,0.004962184624574027,-12.474250232593597,1
fixed_map_tau_0p03,100,wsdld_20000_24000.csv,WSD linear,wsdcon_9.csv,WSD-con 9e-5,0.03,0.004934623402238123,0.0050991892433450816,3.3349219928783036,0
