base_mae,corr_mae,curvature_lambda,curvature_mode,curvature_tau,delta_pct,forced_channel,scale,shrink_curvature,signed_curvature_coef,source_config_id,step_curvature_coef,step_fit_start_step,step_lambda,step_max_mode,step_nuisance_lambda,step_primary_coef,step_retention_power,step_rho,step_ridge_tau,target_retention,test_curve,test_label,win
0.008173606778800102,0.0028070115644079083,10.0,signed_d2_lr,0.003,-65.65761431430175,step,400,1,0,12548,0.05050312729745277,3000,20.0,12,0.01,0.059288363178533546,0.0,0.35,0.05,0.36421778584803244,wsdcon_3.csv,WSD-con 3e-5,1
0.006687305974578527,0.005432443808907711,10.0,signed_d2_lr,0.003,-18.764838493125847,step,400,1,0,12548,0.05050312729745277,3000,20.0,12,0.01,0.059288363178533546,0.0,0.35,0.05,0.6708470597178375,wsdcon_9.csv,WSD-con 9e-5,1
0.0025579541942073844,0.0022098305669466943,10.0,signed_d2_lr,0.003,-13.609455089111188,step,400,1,0,12548,0.05050312729745277,3000,20.0,12,0.01,0.059288363178533546,0.0,0.35,0.05,0.8051383490442287,wsdcon_18.csv,WSD-con 18e-5,1
0.003408385839825258,0.00294900486497902,10.0,signed_d2_lr,0.003,-13.477962778703168,step,25,1,0,10500,0.0,3000,20.0,16,0.01,0.02748358148187263,0.0,0.35,0.05,0.13489076339250247,wsd_20000_24000.csv,WSD sharp,1
0.0031360955249893426,0.00278019045412835,10.0,signed_d2_lr,0.003,-11.348668049969623,step,25,1,0,10500,0.0,3000,20.0,16,0.01,0.02748358148187263,0.0,0.35,0.05,0.1737818772939993,wsdld_20000_24000.csv,WSD linear,1
0.004487187642230267,0.0018454646120559634,10.0,signed_d2_lr,0.003,-58.872577676767,step,25,1,0,10500,0.0,3000,20.0,16,0.01,0.02748358148187263,0.0,0.35,0.05,0.33848205834366957,wsdcon_3.csv,WSD-con 3e-5,1
0.002926482771138891,0.0022989613697740365,10.0,signed_d2_lr,0.003,-21.442853091550706,step,25,1,0,10500,0.0,3000,20.0,16,0.01,0.02748358148187263,0.0,0.35,0.05,0.6545729906695498,wsdcon_9.csv,WSD-con 9e-5,1
0.002504818961791151,0.0022020962830259683,10.0,signed_d2_lr,0.003,-12.08561111134,step,25,1,0,10500,0.0,3000,20.0,16,0.01,0.02748358148187263,0.0,0.35,0.05,0.8062582045727565,wsdcon_18.csv,WSD-con 18e-5,1
0.0037480705220761528,0.0031596103033160053,10.0,signed_d2_lr,0.003,-15.700350761654935,step,100,1,0,10500,0.00547335784919054,3000,20.0,16,0.01,0.035410108987439036,0.0,0.35,0.05,0.1361718609304712,wsd_20000_24000.csv,WSD sharp,1
0.003248313740665229,0.0027924481719273247,10.0,signed_d2_lr,0.003,-14.033914367044687,step,100,1,0,10500,0.00547335784919054,3000,20.0,16,0.01,0.035410108987439036,0.0,0.35,0.05,0.17572414348438625,wsdld_20000_24000.csv,WSD linear,1
0.0056693997340904675,0.003025471482176129,10.0,signed_d2_lr,0.003,-46.6350650143123,step,100,1,0,10500,0.00547335784919054,3000,20.0,16,0.01,0.035410108987439036,0.0,0.35,0.05,0.36492419623783373,wsdcon_3.csv,WSD-con 3e-5,1
0.004934623402238123,0.004400002617900205,10.0,signed_d2_lr,0.003,-10.834074675190774,step,100,1,0,10500,0.00547335784919054,3000,20.0,16,0.01,0.035410108987439036,0.0,0.35,0.05,0.6755396968709881,wsdcon_9.csv,WSD-con 9e-5,1
