kind,scale,train,test,n_train,lambda,kappa,train_delta_pct,test_base_mae,test_corr_mae,test_delta_pct,wins,tests,train_has_final_target,test_has_final_target
all_splits,100,wsdld_20000_24000+wsdcon_9+wsdcon_18,wsd_20000_24000+wsdcon_3,3,20.0,0.03531372493427641,-11.71581240728573,0.00470873512808331,0.003118310794967649,-33.776041545217325,2,2,True,True
all_splits,400,wsdld_20000_24000+wsdcon_9+wsdcon_18,wsd_20000_24000+wsdcon_3,3,14.0,0.04727440635846511,-14.177867082067552,0.006437802846537726,0.0037556230597325362,-41.66296872927191,2,2,True,True
all_splits,25,wsdcon_3+wsdcon_9+wsdcon_18,wsd_20000_24000+wsdld_20000_24000,3,20.0,0.024963366630532398,-34.127511193286445,0.0032722406824073,0.00290197808615196,-11.315261687381373,2,2,False,True
all_splits,100,wsdcon_3+wsdcon_9+wsdcon_18,wsd_20000_24000+wsdld_20000_24000,3,20.0,0.031206352047281154,-25.712217055279616,0.003498192131370691,0.0030380388731777244,-13.154030450942255,2,2,False,True
all_splits,400,wsdcon_3+wsdcon_9+wsdcon_18,wsd_20000_24000+wsdld_20000_24000,3,20.0,0.04912066866461048,-29.471621832582684,0.004277777655323304,0.0035526311351424754,-16.951477580384534,2,2,False,True
all_splits,25,wsd_20000_24000+wsdld_20000_24000+wsdcon_3+wsdcon_9,wsdcon_18,4,20.0,0.028523213967625582,-29.60410844316411,0.002504818961791151,0.002198995316815284,-12.209411124753611,1,1,True,False
all_splits,100,wsd_20000_24000+wsdld_20000_24000+wsdcon_3+wsdcon_9,wsdcon_18,4,20.0,0.03810577390510482,-24.19259231904721,0.0013816404339982303,0.0012340664348984268,-10.681071244618234,1,1,True,False
all_splits,400,wsd_20000_24000+wsdld_20000_24000+wsdcon_3+wsdcon_9,wsdcon_18,4,20.0,0.05819815630640067,-32.18771833393603,0.0025579541942073844,0.002398891213448049,-6.218367049712681,1,1,True,False
all_splits,25,wsd_20000_24000+wsdld_20000_24000+wsdcon_3+wsdcon_18,wsdcon_9,4,20.0,0.030284295736994774,-27.962890020578534,0.002926482771138891,0.002338381992812154,-20.09582233412115,1,1,True,False
all_splits,100,wsd_20000_24000+wsdld_20000_24000+wsdcon_3+wsdcon_18,wsdcon_9,4,20.0,0.04046168667283869,-28.189726304578787,0.004934623402238123,0.004592566465690111,-6.931773889631998,1,1,True,False
all_splits,400,wsd_20000_24000+wsdld_20000_24000+wsdcon_3+wsdcon_18,wsdcon_9,4,20.0,0.06099757546887778,-35.9162625684479,0.006687305974578527,0.0057706985025788235,-13.70667762899056,1,1,True,False
all_splits,25,wsd_20000_24000+wsdld_20000_24000+wsdcon_9+wsdcon_18,wsdcon_3,4,10.0,0.02910673757798019,-17.665221821162604,0.004487187642230267,0.004309506968167747,-3.9597335397859146,1,1,True,False
all_splits,100,wsd_20000_24000+wsdld_20000_24000+wsdcon_9+wsdcon_18,wsdcon_3,4,20.0,0.04894258179074887,-12.010628759057019,0.0056693997340904675,0.003975407596162747,-29.87956780929798,1,1,True,False
all_splits,400,wsd_20000_24000+wsdld_20000_24000+wsdcon_9+wsdcon_18,wsdcon_3,4,20.0,0.0696186336758056,-16.41644430863256,0.008173606778800102,0.0036349148930025646,-55.528630243989106,1,1,True,False
all_splits,25,wsd_20000_24000+wsdcon_3+wsdcon_9+wsdcon_18,wsdld_20000_24000,4,20.0,0.027214576180861066,-30.117636361988975,0.0031360955249893426,0.0027836740012337955,-11.237588936540599,1,1,True,True
all_splits,100,wsd_20000_24000+wsdcon_3+wsdcon_9+wsdcon_18,wsdld_20000_24000,4,20.0,0.035057597790467215,-24.390447482233125,0.003248313740665229,0.0027969820651460075,-13.894337541015734,1,1,True,True
all_splits,400,wsd_20000_24000+wsdcon_3+wsdcon_9+wsdcon_18,wsdld_20000_24000,4,20.0,0.054052614472667994,-29.442175864927723,0.0038535563963712593,0.0031553452381770696,-18.11861787858269,1,1,True,True
all_splits,25,wsdld_20000_24000+wsdcon_3+wsdcon_9+wsdcon_18,wsd_20000_24000,4,20.0,0.02657176006014128,-29.619123112250445,0.003408385839825258,0.0029642457248311867,-13.030805075074525,1,1,True,True
all_splits,100,wsdld_20000_24000+wsdcon_3+wsdcon_9+wsdcon_18,wsd_20000_24000,4,20.0,0.03388837017893097,-23.99510963709067,0.0037480705220761528,0.0031849476438472195,-15.024340521666735,1,1,True,True
all_splits,400,wsdld_20000_24000+wsdcon_3+wsdcon_9+wsdcon_18,wsd_20000_24000,4,20.0,0.052452664103179863,-28.858697943021284,0.004701998914275349,0.0038320361989389084,-18.501976099892726,1,1,True,True
probe_to_final,25,wsdcon_3,wsd_20000_24000+wsdld_20000_24000,1,20.0,0.025439901195420556,-55.54034524346576,0.0032722406824073,0.002894910012049116,-11.531262733418245,2,2,False,True
