mean_delta,median_delta,nonharm,pair_config_id,rows,smooth_config_id,smooth_fit_start_step,smooth_lambda,smooth_max_mode,smooth_nuisance_lambda,smooth_retention_power,smooth_rho,smooth_ridge_tau,step_config_id,step_fit_start_step,step_lambda,step_max_mode,step_nuisance_lambda,step_retention_power,step_rho,step_ridge_tau,wins,worst_delta
-36.17898289741352,-40.477293275340145,15,10395,15,2114,12000,4.0,8,0.05,0.25,0.2,0.05,7222,3000,20.0,8,0.01,0.0,0.35,0.05,15,-6.3129230545310495
-36.17883120467772,-40.47614276278092,15,9395,15,2012,12000,4.0,12,0.05,0.25,0.2,0.05,7222,3000,20.0,8,0.01,0.0,0.35,0.05,15,-6.3129230545310495
-36.17883120467772,-40.47614276278092,15,9595,15,2013,12000,4.0,12,0.05,0.25,0.2,0.05,7222,3000,20.0,8,0.01,0.0,0.35,0.05,15,-6.3129230545310495
-36.17883120467772,-40.47614276278092,15,9795,15,2014,12000,4.0,12,0.05,0.25,0.2,0.05,7222,3000,20.0,8,0.01,0.0,0.35,0.05,15,-6.3129230545310495
-36.17881980367522,-40.47600157834289,15,8795,15,1912,12000,4.0,16,0.05,0.25,0.2,0.05,7222,3000,20.0,8,0.01,0.0,0.35,0.05,15,-6.3129230545310495
-36.17881980367522,-40.47600157834289,15,8995,15,1913,12000,4.0,16,0.05,0.25,0.2,0.05,7222,3000,20.0,8,0.01,0.0,0.35,0.05,15,-6.3129230545310495
-36.17881980367522,-40.47600157834289,15,9195,15,1914,12000,4.0,16,0.05,0.25,0.2,0.05,7222,3000,20.0,8,0.01,0.0,0.35,0.05,15,-6.3129230545310495
-36.03222964976295,-40.477293275340145,15,9936,15,2112,12000,4.0,8,0.05,0.25,0.2,0.05,4201,3000,20.0,16,0.03,0.25,0.2,0.05,15,-6.163530578685239
-36.03222964976295,-40.477293275340145,15,10136,15,2113,12000,4.0,8,0.05,0.25,0.2,0.05,4201,3000,20.0,16,0.03,0.25,0.2,0.05,15,-6.163530578685239
-36.03222964976295,-40.477293275340145,15,10336,15,2114,12000,4.0,8,0.05,0.25,0.2,0.05,4201,3000,20.0,16,0.03,0.25,0.2,0.05,15,-6.163530578685239
