all_mean_delta_pct,all_mean_factor,all_non_harm_cells,all_tests,all_wins,all_worst_delta_pct,extra_holdout_mean_delta_pct,extra_holdout_mean_factor,extra_holdout_non_harm_cells,extra_holdout_tests,extra_holdout_wins,extra_holdout_worst_delta_pct,main_matrix_mean_delta_pct,main_matrix_mean_factor,main_matrix_non_harm_cells,main_matrix_tests,main_matrix_wins,main_matrix_worst_delta_pct,threshold
-3.487572918500889,0.26881720430107525,1116,1116,300,0.0,0.0,0.0,558,558,0,0.0,-6.975145837001777,0.5376344086021505,558,558,300,0.0,0.244702866581
-3.4114351591066687,0.26344086021505375,1116,1116,294,0.0,0.0,0.0,558,558,0,0.0,-6.822870318213337,0.5268817204301075,558,558,294,0.0,0.244702868581
-3.4114351591066687,0.26344086021505375,1116,1116,294,0.0,0.0,0.0,558,558,0,0.0,-6.822870318213337,0.5268817204301075,558,558,294,0.0,0.246017013117
-3.359144126980648,0.25806451612903225,1116,1116,288,0.0,0.0,0.0,558,558,0,0.0,-6.718288253961296,0.5161290322580645,558,558,288,0.0,0.246017015117
-3.359144126980648,0.25806451612903225,1116,1116,288,0.0,0.0,0.0,558,558,0,0.0,-6.718288253961296,0.5161290322580645,558,558,288,0.0,0.248248157165
-3.3093858302755166,0.25627240143369173,1116,1116,286,0.0,0.0,0.0,558,558,0,0.0,-6.618771660551033,0.5125448028673835,558,558,286,0.0,0.248248159165
-3.3093858302755166,0.25627240143369173,1116,1116,286,0.0,0.0,0.0,558,558,0,0.0,-6.618771660551033,0.5125448028673835,558,558,286,0.0,0.25429312203
-2.9255654490430416,0.24551971326164876,1116,1116,274,0.0,0.0,0.0,558,558,0,0.0,-5.851130898086083,0.4910394265232975,558,558,274,0.0,0.25429312403
-2.9255654490430416,0.24551971326164876,1116,1116,274,0.0,0.0,0.0,558,558,0,0.0,-5.851130898086083,0.4910394265232975,558,558,274,0.0,0.261043160709
-2.5539915775965403,0.23118279569892472,1116,1116,258,0.0,0.0,0.0,558,558,0,0.0,-5.107983155193081,0.46236559139784944,558,558,258,0.0,0.261043162709
-2.5539915775965403,0.23118279569892472,1116,1116,258,0.0,0.0,0.0,558,558,0,0.0,-5.107983155193081,0.46236559139784944,558,558,258,0.0,0.262059474277
-2.451215642066476,0.2168458781362007,1116,1116,242,0.0,0.0,0.0,558,558,0,0.0,-4.902431284132953,0.4336917562724014,558,558,242,0.0,0.262059476277
-2.451215642066476,0.2168458781362007,1116,1116,242,0.0,0.0,0.0,558,558,0,0.0,-4.902431284132953,0.4336917562724014,558,558,242,0.0,0.263079296932
-2.2570831616154075,0.2025089605734767,1116,1116,226,0.0,0.0,0.0,558,558,0,0.0,-4.514166323230815,0.4050179211469534,558,558,226,0.0,0.263079298932
-2.2570831616154075,0.2025089605734767,1116,1116,226,0.0,0.0,0.0,558,558,0,0.0,-4.514166323230815,0.4050179211469534,558,558,226,0.0,0.264453039007
-2.116288759221236,0.1881720430107527,1116,1116,210,0.0,0.0,0.0,558,558,0,0.0,-4.232577518442472,0.3763440860215054,558,558,210,0.0,0.264453041007
-2.116288759221236,0.1881720430107527,1116,1116,210,0.0,0.0,0.0,558,558,0,0.0,-4.232577518442472,0.3763440860215054,558,558,210,0.0,0.272263329726
-1.5166847491413635,0.16666666666666666,1116,1116,186,0.0,0.0,0.0,558,558,0,0.0,-3.0333694982827266,0.3333333333333333,558,558,186,0.0,0.272263331726
-1.5166847491413635,0.16666666666666666,1116,1116,186,0.0,0.0,0.0,558,558,0,0.0,-3.0333694982827266,0.3333333333333333,558,558,186,0.0,0.453437826932
-1.400933148322997,0.15949820788530467,1116,1116,178,0.0,0.0,0.0,558,558,0,0.0,-2.801866296645994,0.31899641577060933,558,558,178,0.0,0.453437828932
-1.400933148322997,0.15949820788530467,1116,1116,178,0.0,0.0,0.0,558,558,0,0.0,-2.801866296645994,0.31899641577060933,558,558,178,0.0,0.482564749997
-1.3358470520074317,0.15591397849462366,1116,1116,174,0.0,0.0,0.0,558,558,0,0.0,-2.671694104014864,0.3118279569892473,558,558,174,0.0,0.482564751997
-1.3358470520074317,0.15591397849462366,1116,1116,174,0.0,0.0,0.0,558,558,0,0.0,-2.671694104014864,0.3118279569892473,558,558,174,0.0,0.495582364832
-1.2484869113687207,0.14157706093189965,1116,1116,158,0.0,0.0,0.0,558,558,0,0.0,-2.496973822737442,0.2831541218637993,558,558,158,0.0,0.495582366832
-1.2484869113687207,0.14157706093189965,1116,1116,158,0.0,0.0,0.0,558,558,0,0.0,-2.496973822737442,0.2831541218637993,558,558,158,0.0,0.520084043339
-1.1613061717123987,0.13709677419354838,1116,1116,153,0.0,0.0,0.0,558,558,0,0.0,-2.3226123434247974,0.27419354838709675,558,558,153,0.0,0.520084045339
-1.1613061717123987,0.13709677419354838,1116,1116,153,0.0,0.0,0.0,558,558,0,0.0,-2.3226123434247974,0.27419354838709675,558,558,153,0.0,0.523681912592
-1.1144608863103578,0.12992831541218638,1116,1116,145,0.0,0.0,0.0,558,558,0,0.0,-2.228921772620715,0.25985663082437277,558,558,145,0.0,0.523681914592
-1.1144608863103578,0.12992831541218638,1116,1116,145,0.0,0.0,0.0,558,558,0,0.0,-2.228921772620715,0.25985663082437277,558,558,145,0.0,0.533981906583
-0.8596821324741002,0.11738351254480286,1116,1116,131,0.0,0.0,0.0,558,558,0,0.0,-1.7193642649482002,0.23476702508960573,558,558,131,0.0,0.533981908583
-0.8596821324741002,0.11738351254480286,1116,1116,131,0.0,0.0,0.0,558,558,0,0.0,-1.7193642649482002,0.23476702508960573,558,558,131,0.0,0.558495537959
-0.811458054416805,0.10842293906810035,1116,1116,121,0.0,0.0,0.0,558,558,0,0.0,-1.62291610883361,0.2168458781362007,558,558,121,0.0,0.558495539959
-0.811458054416805,0.10842293906810035,1116,1116,121,0.0,0.0,0.0,558,558,0,0.0,-1.62291610883361,0.2168458781362007,558,558,121,0.0,0.571271903101
-0.6747748368572981,0.08333333333333333,1116,1116,93,0.0,0.0,0.0,558,558,0,0.0,-1.3495496737145962,0.16666666666666666,558,558,93,0.0,0.571271905101
-0.6747748368572981,0.08333333333333333,1116,1116,93,0.0,0.0,0.0,558,558,0,0.0,-1.3495496737145962,0.16666666666666666,558,558,93,0.0,0.65488477347
-0.6249163556737364,0.07526881720430108,1116,1116,84,0.0,0.0,0.0,558,558,0,0.0,-1.2498327113474728,0.15053763440860216,558,558,84,0.0,0.65488477547
-0.6249163556737364,0.07526881720430108,1116,1116,84,0.0,0.0,0.0,558,558,0,0.0,-1.2498327113474728,0.15053763440860216,558,558,84,0.0,0.679892577663
-0.6057829694321699,0.07258064516129033,1116,1116,81,0.0,0.0,0.0,558,558,0,0.0,-1.2115659388643398,0.14516129032258066,558,558,81,0.0,0.679892579663
