config_id,curvature_lambda,curvature_mode,curvature_tau,mean_delta,mean_step_curvature_coef,mean_step_primary_coef,median_delta,nonharm,rows,shrink_curvature,signed_curvature_coef,wins,worst_delta
899,80.0,signed_d2_lr,0.001,-33.4766024861613,-0.005926852542905861,0.06914719656238559,-29.5084918638418,15,15,0,1,15,-13.58499424082591
233,7.0,abs_diff_drop,0.01,-33.468136885184535,-0.0006575005539820108,0.06914719368281602,-29.5084918638418,15,15,1,1,15,-12.599893822196295
235,7.0,abs_diff_drop,0.01,-33.468136885184535,-0.0006575005539820108,0.06914719368281602,-29.5084918638418,15,15,0,1,15,-12.599893822196295
292,10.0,diff_drop,0.003,-33.45055241158522,0.004716490206485885,0.06914710241105776,-29.5084918638418,15,15,1,0,15,-13.495215860965548
294,10.0,diff_drop,0.003,-33.45055241158522,0.004716490206485885,0.06914710241105776,-29.5084918638418,15,15,0,0,15,-13.495215860965548
293,10.0,diff_drop,0.003,-33.45055241158522,0.004716490206485885,0.06914710241105776,-29.5084918638418,15,15,1,1,15,-13.495215860965548
325,10.0,neg_diff_drop,0.003,-33.45055241158522,-0.004716490206485885,0.06914710241105776,-29.5084918638418,15,15,1,1,15,-13.495215860965548
295,10.0,diff_drop,0.003,-33.45055241158522,0.004716490206485885,0.06914710241105776,-29.5084918638418,15,15,0,1,15,-13.495215860965548
327,10.0,neg_diff_drop,0.003,-33.45055241158522,-0.004716490206485885,0.06914710241105776,-29.5084918638418,15,15,0,1,15,-13.495215860965548
261,10.0,signed_d2_lr,0.003,-33.45033464300863,-0.004716490206487481,0.06914710241105776,-29.5084918638418,15,15,1,1,15,-13.494035712062956
263,10.0,signed_d2_lr,0.003,-33.45033464300863,-0.004716490206487481,0.06914710241105776,-29.5084918638418,15,15,0,1,15,-13.494035712062956
420,14.0,diff_drop,0.003,-33.425582995615365,0.0035133960522431254,0.06914715328210866,-29.5084918638418,15,15,1,0,15,-13.409121991523342
422,14.0,diff_drop,0.003,-33.425582995615365,0.0035133960522431254,0.06914715328210866,-29.5084918638418,15,15,0,0,15,-13.409121991523342
421,14.0,diff_drop,0.003,-33.425582995615365,0.0035133960522431254,0.06914715328210866,-29.5084918638418,15,15,1,1,15,-13.409121991523342
453,14.0,neg_diff_drop,0.003,-33.425582995615365,-0.0035133960522431254,0.06914715328210866,-29.5084918638418,15,15,1,1,15,-13.409121991523342
423,14.0,diff_drop,0.003,-33.425582995615365,0.0035133960522431254,0.06914715328210866,-29.5084918638418,15,15,0,1,15,-13.409121991523342
455,14.0,neg_diff_drop,0.003,-33.425582995615365,-0.0035133960522431254,0.06914715328210866,-29.5084918638418,15,15,0,1,15,-13.409121991523342
389,14.0,signed_d2_lr,0.003,-33.42541071624594,-0.0035133960522431254,0.06914715328210866,-29.5084918638418,15,15,1,1,15,-13.40846020206784
391,14.0,signed_d2_lr,0.003,-33.42541071624594,-0.0035133960522431254,0.06914715328210866,-29.5084918638418,15,15,0,1,15,-13.40846020206784
361,10.0,abs_diff_drop,0.01,-33.40998266018777,-0.0004866193756386981,0.06914720315975284,-29.5084918638418,15,15,1,1,15,-12.859317337418496
363,10.0,abs_diff_drop,0.01,-33.40998266018777,-0.0004866193756386981,0.06914720315975284,-29.5084918638418,15,15,0,1,15,-12.859317337418496
548,20.0,diff_drop,0.003,-33.40521454126035,0.0025327538582989185,0.06914718326543091,-29.5084918638418,15,15,1,0,15,-13.33886954794007
550,20.0,diff_drop,0.003,-33.40521454126035,0.0025327538582989185,0.06914718326543091,-29.5084918638418,15,15,0,0,15,-13.33886954794007
549,20.0,diff_drop,0.003,-33.40521454126035,0.0025327538582989185,0.06914718326543091,-29.5084918638418,15,15,1,1,15,-13.33886954794007
581,20.0,neg_diff_drop,0.003,-33.40521454126035,-0.0025327538582989185,0.06914718326543091,-29.5084918638418,15,15,1,1,15,-13.33886954794007
551,20.0,diff_drop,0.003,-33.40521454126035,0.0025327538582989185,0.06914718326543091,-29.5084918638418,15,15,0,1,15,-13.33886954794007
583,20.0,neg_diff_drop,0.003,-33.40521454126035,-0.0025327538582989185,0.06914718326543091,-29.5084918638418,15,15,0,1,15,-13.33886954794007
517,20.0,signed_d2_lr,0.003,-33.40509326282262,-0.0025327538582989185,0.06914718326543091,-29.5084918638418,15,15,1,1,15,-13.338509695686762
519,20.0,signed_d2_lr,0.003,-33.40509326282262,-0.0025327538582989185,0.06914718326543091,-29.5084918638418,15,15,0,1,15,-13.338509695686762
109,4.0,abs_diff_drop,0.03,-33.40002576569189,-0.00011227841178019226,0.06914720909350976,-29.5084918638418,15,15,1,1,15,-13.014868552290505
111,4.0,abs_diff_drop,0.03,-33.40002576569189,-0.00011227841178019226,0.06914720909350976,-29.5084918638418,15,15,0,1,15,-13.014868552290505
676,30.0,diff_drop,0.003,-33.38835116262725,0.001722915168221668,0.06914720034349474,-29.5084918638418,15,15,1,0,15,-13.280778274244264
678,30.0,diff_drop,0.003,-33.38835116262725,0.001722915168221668,0.06914720034349474,-29.5084918638418,15,15,0,0,15,-13.280778274244264
677,30.0,diff_drop,0.003,-33.38835116262725,0.001722915168221668,0.06914720034349474,-29.5084918638418,15,15,1,1,15,-13.280778274244264
709,30.0,neg_diff_drop,0.003,-33.38835116262725,-0.001722915168221668,0.06914720034349474,-29.5084918638418,15,15,1,1,15,-13.280778274244264
679,30.0,diff_drop,0.003,-33.38835116262725,0.001722915168221668,0.06914720034349474,-29.5084918638418,15,15,0,1,15,-13.280778274244264
711,30.0,neg_diff_drop,0.003,-33.38835116262725,-0.001722915168221668,0.06914720034349474,-29.5084918638418,15,15,0,1,15,-13.280778274244264
645,30.0,signed_d2_lr,0.003,-33.388275683944045,-0.001722915168221668,0.06914720034349474,-29.5084918638418,15,15,1,1,15,-13.280595289498908
647,30.0,signed_d2_lr,0.003,-33.388275683944045,-0.001722915168221668,0.06914720034349474,-29.5084918638418,15,15,0,1,15,-13.280595289498908
489,14.0,abs_diff_drop,0.01,-33.379410554379376,-0.00036057388676842707,0.06914720834399368,-29.5084918638418,15,15,1,1,15,-12.997563932781365
491,14.0,abs_diff_drop,0.01,-33.379410554379376,-0.00036057388676842707,0.06914720834399368,-29.5084918638418,15,15,0,1,15,-12.997563932781365
804,50.0,diff_drop,0.003,-33.3742265177271,0.001047541187917412,0.06914720939005949,-29.5084918638418,15,15,1,0,15,-13.232259766921327
806,50.0,diff_drop,0.003,-33.3742265177271,0.001047541187917412,0.06914720939005949,-29.5084918638418,15,15,0,0,15,-13.232259766921327
805,50.0,diff_drop,0.003,-33.3742265177271,0.001047541187917412,0.06914720939005949,-29.5084918638418,15,15,1,1,15,-13.232259766921327
837,50.0,neg_diff_drop,0.003,-33.3742265177271,-0.001047541187917412,0.06914720939005949,-29.5084918638418,15,15,1,1,15,-13.232259766921327
807,50.0,diff_drop,0.003,-33.3742265177271,0.001047541187917412,0.06914720939005949,-29.5084918638418,15,15,0,1,15,-13.232259766921327
839,50.0,neg_diff_drop,0.003,-33.3742265177271,-0.001047541187917412,0.06914720939005949,-29.5084918638418,15,15,0,1,15,-13.232259766921327
773,50.0,signed_d2_lr,0.003,-33.37418754992061,-0.001047541187917412,0.06914720939005949,-29.5084918638418,15,15,1,1,15,-13.232178703135444
775,50.0,signed_d2_lr,0.003,-33.37418754992061,-0.001047541187917412,0.06914720939005949,-29.5084918638418,15,15,0,1,15,-13.232178703135444
9,4.0,signed_d2_lr,0.01,-33.370031299115745,-0.0008557442810401599,0.0691471723873946,-29.5084918638418,15,15,1,1,15,-13.217479175089009
11,4.0,signed_d2_lr,0.01,-33.370031299115745,-0.0008557442810401599,0.0691471723873946,-29.5084918638418,15,15,0,1,15,-13.217479175089009
40,4.0,diff_drop,0.01,-33.37003105278135,0.0008557407998706373,0.0691471723842265,-29.5084918638418,15,15,1,0,15,-13.21796435195467
42,4.0,diff_drop,0.01,-33.37003105278135,0.0008557407998706373,0.0691471723842265,-29.5084918638418,15,15,0,0,15,-13.21796435195467
41,4.0,diff_drop,0.01,-33.37003105278135,0.0008557407998706373,0.0691471723842265,-29.5084918638418,15,15,1,1,15,-13.21796435195467
73,4.0,neg_diff_drop,0.01,-33.37003105278135,-0.0008557407998706373,0.0691471723842265,-29.5084918638418,15,15,1,1,15,-13.21796435195467
43,4.0,diff_drop,0.01,-33.37003105278135,0.0008557407998706373,0.0691471723842265,-29.5084918638418,15,15,0,1,15,-13.21796435195467
75,4.0,neg_diff_drop,0.01,-33.37003105278135,-0.0008557407998706373,0.0691471723842265,-29.5084918638418,15,15,0,1,15,-13.21796435195467
113,4.0,abs_diff_drop,0.05,-33.369525164112645,-4.042022973010192e-05,0.06914721256366761,-29.5084918638418,15,15,1,1,15,-13.105595541185389
115,4.0,abs_diff_drop,0.05,-33.369525164112645,-4.042022973010192e-05,0.06914721256366761,-29.5084918638418,15,15,0,1,15,-13.105595541185389
237,7.0,abs_diff_drop,0.03,-33.36756728208163,-7.305563155066898e-05,0.06914721220087378,-29.5084918638418,15,15,1,1,15,-13.094769946123364
239,7.0,abs_diff_drop,0.03,-33.36756728208163,-7.305563155066898e-05,0.06914721220087378,-29.5084918638418,15,15,0,1,15,-13.094769946123364
932,80.0,diff_drop,0.003,-33.36605815662515,0.0006585392981736398,0.06914721252082602,-29.5084918638418,15,15,1,0,15,-13.204265073589628
934,80.0,diff_drop,0.003,-33.36605815662515,0.0006585392981736398,0.06914721252082602,-29.5084918638418,15,15,0,0,15,-13.204265073589628
933,80.0,diff_drop,0.003,-33.36605815662515,0.0006585392981736398,0.06914721252082602,-29.5084918638418,15,15,1,1,15,-13.204265073589628
965,80.0,neg_diff_drop,0.003,-33.36605815662515,-0.0006585392981736398,0.06914721252082602,-29.5084918638418,15,15,1,1,15,-13.204265073589628
935,80.0,diff_drop,0.003,-33.36605815662515,0.0006585392981736398,0.06914721252082602,-29.5084918638418,15,15,0,1,15,-13.204265073589628
967,80.0,neg_diff_drop,0.003,-33.36605815662515,-0.0006585392981736398,0.06914721252082602,-29.5084918638418,15,15,0,1,15,-13.204265073589628
901,80.0,signed_d2_lr,0.003,-33.36603779294281,-0.0006585392981736398,0.06914721252082602,-29.5084918638418,15,15,1,1,15,-13.204225569594275
903,80.0,signed_d2_lr,0.003,-33.36603779294281,-0.0006585392981736398,0.06914721252082602,-29.5084918638418,15,15,0,1,15,-13.204225569594275
617,20.0,abs_diff_drop,0.01,-33.36434056699776,-0.00025900330741558225,0.06914721137694077,-29.5084918638418,15,15,1,1,15,-13.075787365005676
619,20.0,abs_diff_drop,0.01,-33.36434056699776,-0.00025900330741558225,0.06914721137694077,-29.5084918638418,15,15,0,1,15,-13.075787365005676
168,7.0,diff_drop,0.01,-33.36406244999076,0.0005687246284494142,0.06914719615310459,-29.5084918638418,15,15,1,0,15,-13.197417971021942
170,7.0,diff_drop,0.01,-33.36406244999076,0.0005687246284494142,0.06914719615310459,-29.5084918638418,15,15,0,0,15,-13.197417971021942
169,7.0,diff_drop,0.01,-33.36406244999076,0.0005687246284494142,0.06914719615310459,-29.5084918638418,15,15,1,1,15,-13.197417971021942
201,7.0,neg_diff_drop,0.01,-33.36406244999076,-0.0005687246284494142,0.06914719615310459,-29.5084918638418,15,15,1,1,15,-13.197417971021942
171,7.0,diff_drop,0.01,-33.36406244999076,0.0005687246284494142,0.06914719615310459,-29.5084918638418,15,15,0,1,15,-13.197417971021942
