is_lower_edge,is_upper_edge,kappa,pooled_retention,scale,selected_lambda,train_id,train_label,train_size,within_band
0,1,0.013704803028448833,0.3234446974307834,100,0.03,wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv,WSD linear + WSD-con 3e-5 + WSD-con 9e-5,3,1
0,1,0.021812394996471,0.3233141722359515,400,0.03,wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv,WSD linear + WSD-con 3e-5 + WSD-con 9e-5,3,1
0,1,0.009737102537345414,0.27189574065127897,25,0.03,wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_18.csv,WSD linear + WSD-con 3e-5 + WSD-con 18e-5,3,1
0,1,0.013780385304390604,0.28935121095891947,100,0.03,wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_18.csv,WSD linear + WSD-con 3e-5 + WSD-con 18e-5,3,1
0,1,0.02154419231156874,0.2892477719823821,400,0.03,wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_18.csv,WSD linear + WSD-con 3e-5 + WSD-con 18e-5,3,1
0,0,0.011084536509290643,0.49760009991132526,25,0.025,wsdld_20000_24000.csv|wsdcon_9.csv|wsdcon_18.csv,WSD linear + WSD-con 9e-5 + WSD-con 18e-5,3,1
0,0,0.014792590800393163,0.5290968271767431,100,0.025,wsdld_20000_24000.csv|wsdcon_9.csv|wsdcon_18.csv,WSD linear + WSD-con 9e-5 + WSD-con 18e-5,3,1
0,0,0.0254388864591041,0.5274633269416358,400,0.025,wsdld_20000_24000.csv|wsdcon_9.csv|wsdcon_18.csv,WSD linear + WSD-con 9e-5 + WSD-con 18e-5,3,1
0,1,0.009318491916245763,0.31847957225814894,25,0.03,wsdcon_3.csv|wsdcon_9.csv|wsdcon_18.csv,WSD-con 3e-5 + WSD-con 9e-5 + WSD-con 18e-5,3,1
0,1,0.013049517339241638,0.3394461635833354,100,0.03,wsdcon_3.csv|wsdcon_9.csv|wsdcon_18.csv,WSD-con 3e-5 + WSD-con 9e-5 + WSD-con 18e-5,3,1
0,1,0.020664039200691774,0.3394461635833354,400,0.03,wsdcon_3.csv|wsdcon_9.csv|wsdcon_18.csv,WSD-con 3e-5 + WSD-con 9e-5 + WSD-con 18e-5,3,1
0,0,0.008846644965156743,0.20643144718308662,25,0.015,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_3.csv,Cosine + WSD sharp + WSD linear + WSD-con 3e-5,4,1
0,0,0.013480621216093598,0.22383039813633582,100,0.015,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_3.csv,Cosine + WSD sharp + WSD linear + WSD-con 3e-5,4,1
0,0,0.021324563195375765,0.2235610899979305,400,0.015,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_3.csv,Cosine + WSD sharp + WSD linear + WSD-con 3e-5,4,1
0,0,0.011186131246000713,0.3913636803295632,25,0.025,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_9.csv,Cosine + WSD sharp + WSD linear + WSD-con 9e-5,4,1
0,0,0.016860265055566342,0.4150765319253828,100,0.025,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_9.csv,Cosine + WSD sharp + WSD linear + WSD-con 9e-5,4,1
0,0,0.029223083132459197,0.41316641745548255,400,0.025,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_9.csv,Cosine + WSD sharp + WSD linear + WSD-con 9e-5,4,1
0,1,0.015431438968378057,0.3234352090261,25,0.03,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_18.csv,Cosine + WSD sharp + WSD linear + WSD-con 18e-5,4,1
0,1,0.02137382577898893,0.3316772964201325,100,0.03,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_18.csv,Cosine + WSD sharp + WSD linear + WSD-con 18e-5,4,1
0,1,0.0372356179553173,0.3291604565429973,400,0.03,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_18.csv,Cosine + WSD sharp + WSD linear + WSD-con 18e-5,4,1
0,1,0.009718887344691077,0.29686472110131845,25,0.03,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv,Cosine + WSD sharp + WSD-con 3e-5 + WSD-con 9e-5,4,1
0,1,0.01426657597233791,0.3163851594188213,100,0.03,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv,Cosine + WSD sharp + WSD-con 3e-5 + WSD-con 9e-5,4,1
0,1,0.022774035979682673,0.3161665625419453,400,0.03,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv,Cosine + WSD sharp + WSD-con 3e-5 + WSD-con 9e-5,4,1
0,1,0.010087463258370922,0.26553850144809943,25,0.03,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_3.csv|wsdcon_18.csv,Cosine + WSD sharp + WSD-con 3e-5 + WSD-con 18e-5,4,1
0,1,0.014367124483762702,0.2824668071101671,100,0.03,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_3.csv|wsdcon_18.csv,Cosine + WSD sharp + WSD-con 3e-5 + WSD-con 18e-5,4,1
0,1,0.02255712878940147,0.282238787247301,400,0.03,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_3.csv|wsdcon_18.csv,Cosine + WSD sharp + WSD-con 3e-5 + WSD-con 18e-5,4,1
0,1,0.01158925690628858,0.4626521679826634,25,0.03,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_9.csv|wsdcon_18.csv,Cosine + WSD sharp + WSD-con 9e-5 + WSD-con 18e-5,4,1
0,1,0.015674215494050597,0.4897129039473327,100,0.03,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_9.csv|wsdcon_18.csv,Cosine + WSD sharp + WSD-con 9e-5 + WSD-con 18e-5,4,1
0,1,0.027028807055968596,0.4884943037114435,400,0.03,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_9.csv|wsdcon_18.csv,Cosine + WSD sharp + WSD-con 9e-5 + WSD-con 18e-5,4,1
0,1,0.009728161913252322,0.3014286180096561,25,0.03,cosine_72000.csv|wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv,Cosine + WSD linear + WSD-con 3e-5 + WSD-con 9e-5,4,1
0,1,0.014225379403655258,0.3213740044333305,100,0.03,cosine_72000.csv|wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv,Cosine + WSD linear + WSD-con 3e-5 + WSD-con 9e-5,4,1
0,1,0.022648862283182525,0.3212474578939578,400,0.03,cosine_72000.csv|wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv,Cosine + WSD linear + WSD-con 3e-5 + WSD-con 9e-5,4,1
0,1,0.010101403980180279,0.26986917255069637,25,0.03,cosine_72000.csv|wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_18.csv,Cosine + WSD linear + WSD-con 3e-5 + WSD-con 18e-5,4,1
0,1,0.014309545032998928,0.2872143700624631,100,0.03,cosine_72000.csv|wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_18.csv,Cosine + WSD linear + WSD-con 3e-5 + WSD-con 18e-5,4,1
0,1,0.022383462433278458,0.2871154576963727,400,0.03,cosine_72000.csv|wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_18.csv,Cosine + WSD linear + WSD-con 3e-5 + WSD-con 18e-5,4,1
0,1,0.011809104831209708,0.49837391744096393,25,0.03,cosine_72000.csv|wsdld_20000_24000.csv|wsdcon_9.csv|wsdcon_18.csv,Cosine + WSD linear + WSD-con 9e-5 + WSD-con 18e-5,4,1
0,1,0.015737916398361897,0.5281576397583884,100,0.03,cosine_72000.csv|wsdld_20000_24000.csv|wsdcon_9.csv|wsdcon_18.csv,Cosine + WSD linear + WSD-con 9e-5 + WSD-con 18e-5,4,1
0,1,0.02706781259794842,0.5266539357942446,400,0.03,cosine_72000.csv|wsdld_20000_24000.csv|wsdcon_9.csv|wsdcon_18.csv,Cosine + WSD linear + WSD-con 9e-5 + WSD-con 18e-5,4,1
0,1,0.009665496010276201,0.31639694908122346,25,0.03,cosine_72000.csv|wsdcon_3.csv|wsdcon_9.csv|wsdcon_18.csv,Cosine + WSD-con 3e-5 + WSD-con 9e-5 + WSD-con 18e-5,4,1
0,1,0.013546833075462618,0.3372442043587487,100,0.03,cosine_72000.csv|wsdcon_3.csv|wsdcon_9.csv|wsdcon_18.csv,Cosine + WSD-con 3e-5 + WSD-con 9e-5 + WSD-con 18e-5,4,1
0,1,0.02145986012186861,0.33724477765276945,400,0.03,cosine_72000.csv|wsdcon_3.csv|wsdcon_9.csv|wsdcon_18.csv,Cosine + WSD-con 3e-5 + WSD-con 9e-5 + WSD-con 18e-5,4,1
0,1,0.010021025046406595,0.2973016581971842,25,0.03,wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv,WSD sharp + WSD linear + WSD-con 3e-5 + WSD-con 9e-5,4,1
0,1,0.014798615123851933,0.3162792104117731,100,0.03,wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv,WSD sharp + WSD linear + WSD-con 3e-5 + WSD-con 9e-5,4,1
0,1,0.023781470947778164,0.3159535043574089,400,0.03,wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv,WSD sharp + WSD linear + WSD-con 3e-5 + WSD-con 9e-5,4,1
0,1,0.01042364597684737,0.26722401082960107,25,0.03,wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_18.csv,WSD sharp + WSD linear + WSD-con 3e-5 + WSD-con 18e-5,4,1
0,1,0.01498846740582214,0.28360710128682476,100,0.03,wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_18.csv,WSD sharp + WSD linear + WSD-con 3e-5 + WSD-con 18e-5,4,1
