config_id,curvature_lambda,curvature_mode,curvature_tau,mean_delta,mean_step_curvature_coef,mean_step_primary_coef,median_delta,nonharm,rows,shrink_curvature,signed_curvature_coef,step_fit_start_step,step_lambda,step_max_mode,step_nuisance_lambda,step_rho,wins,worst_delta
12721,14.0,signed_d2_lr,0.003,-36.38744614744063,0.0030136028074675258,0.04145100369265421,-40.477293275340145,15,15,1,0,3000,20.0,12,0.015,0.75,15,-7.595641406232245
13057,14.0,signed_d2_lr,0.003,-36.387402027070706,0.003012337156396463,0.04145018279790605,-40.477293275340145,15,15,1,0,3000,20.0,16,0.015,0.75,15,-7.595079810625604
12385,14.0,signed_d2_lr,0.003,-36.38653551172771,0.0030191645757529292,0.04145313973669747,-40.477293275340145,15,15,1,0,3000,20.0,8,0.015,0.75,15,-7.5963825135080825
11880,14.0,signed_d2_lr,0.001,-36.34881213610171,0.0406203731643036,0.04072751994066122,-40.477293275340145,15,15,1,0,3000,20.0,16,0.01,0.35,15,-5.943230348718931
11544,14.0,signed_d2_lr,0.001,-36.34749142300688,0.040643288625251024,0.040729393012120224,-40.477293275340145,15,15,1,0,3000,20.0,12,0.01,0.35,15,-5.934024367826851
11208,14.0,signed_d2_lr,0.001,-36.33965702048174,0.04074518672366462,0.04073766137278191,-40.477293275340145,15,15,1,0,3000,20.0,8,0.01,0.35,15,-5.880988895552097
11220,20.0,signed_d2_lr,0.001,-36.325263100244015,0.002138079752270797,0.040737193068291724,-40.477293275340145,15,15,1,0,3000,20.0,8,0.01,0.35,15,-7.239429959292076
11556,20.0,signed_d2_lr,0.001,-36.32463716419879,0.0021225188886877296,0.04072892713045332,-40.477293275340145,15,15,1,0,3000,20.0,12,0.01,0.35,15,-7.2355066530439665
11892,20.0,signed_d2_lr,0.001,-36.32434717685444,0.002119118805798288,0.04072705438533786,-40.477293275340145,15,15,1,0,3000,20.0,16,0.01,0.35,15,-7.233978821989306
11534,10.0,signed_d2_lr,0.01,-36.300844120970346,0.0016795928093008175,0.04072891467030845,-40.477293275340145,15,15,1,0,3000,20.0,12,0.01,0.35,15,-6.972279909276424
11870,10.0,signed_d2_lr,0.01,-36.30072586209373,0.0016787212634638273,0.04072704194444014,-40.477293275340145,15,15,1,0,3000,20.0,16,0.01,0.35,15,-6.971861826269055
11198,10.0,signed_d2_lr,0.01,-36.300681444646344,0.001683490614852517,0.040737180638547255,-40.477293275340145,15,15,1,0,3000,20.0,8,0.01,0.35,15,-6.97104663837409
11511,4.0,signed_d2_lr,0.03,-36.28310754095928,0.0014435065493234762,0.04072874015315767,-40.477293275340145,15,15,1,0,3000,20.0,12,0.01,0.35,15,-6.889661709097982
11175,4.0,signed_d2_lr,0.03,-36.283072945277354,0.0014486569200622638,0.04073700695802839,-40.477293275340145,15,15,1,0,3000,20.0,8,0.01,0.35,15,-6.888646746583271
11847,4.0,signed_d2_lr,0.03,-36.28298815383618,0.001442611093254129,0.04072686743788069,-40.477293275340145,15,15,1,0,3000,20.0,16,0.01,0.35,15,-6.889229951540821
13046,10.0,signed_d2_lr,0.01,-36.269849531494856,0.0012425480594653508,0.04145014940897133,-40.477293275340145,15,15,1,0,3000,20.0,16,0.015,0.75,15,-6.78880763765587
12710,10.0,signed_d2_lr,0.01,-36.269838514422325,0.0012429981350283036,0.04145097029100855,-40.477293275340145,15,15,1,0,3000,20.0,12,0.015,0.75,15,-6.789008266223151
12374,10.0,signed_d2_lr,0.01,-36.26869151839845,0.0012450310802670484,0.04145310629778179,-40.477293275340145,15,15,1,0,3000,20.0,8,0.015,0.75,15,-6.788163437584382
13023,4.0,signed_d2_lr,0.03,-36.26346340485581,0.0011419310460503407,0.04145000965760107,-40.477293275340145,15,15,1,0,3000,20.0,16,0.015,0.75,15,-6.743639135530066
12687,4.0,signed_d2_lr,0.03,-36.26345301483751,0.0011423938317128039,0.04145083053389666,-40.477293275340145,15,15,1,0,3000,20.0,12,0.015,0.75,15,-6.743846831975963
12351,4.0,signed_d2_lr,0.03,-36.26237309112341,0.0011450819697493776,0.04145296697886178,-40.477293275340145,15,15,1,0,3000,20.0,8,0.015,0.75,15,-6.743115683951151
11523,7.0,signed_d2_lr,0.03,-36.21639360113693,0.0005127004759168358,0.040728895572726104,-40.477293275340145,15,15,1,0,3000,20.0,12,0.01,0.35,15,-6.5167738777907385
11859,7.0,signed_d2_lr,0.03,-36.216316432264,0.0005124166645506991,0.04072702285854618,-40.477293275340145,15,15,1,0,3000,20.0,16,0.01,0.35,15,-6.516600923367266
11187,7.0,signed_d2_lr,0.03,-36.216046662731195,0.000513996207984642,0.0407371614709541,-40.477293275340145,15,15,1,0,3000,20.0,8,0.01,0.35,15,-6.514480729645888
13035,7.0,signed_d2_lr,0.03,-36.209418614211096,0.000393160740648763,0.04145013174518746,-40.477293275340145,15,15,1,0,3000,20.0,16,0.015,0.75,15,-6.445958605576552
12699,7.0,signed_d2_lr,0.03,-36.209386360005354,0.0003933072794655959,0.0414509526203132,-40.477293275340145,15,15,1,0,3000,20.0,12,0.015,0.75,15,-6.446032800506007
12363,7.0,signed_d2_lr,0.03,-36.20814304585276,0.0003939827808533873,0.041453088589911355,-40.477293275340145,15,15,1,0,3000,20.0,8,0.015,0.75,15,-6.444637178351065
11546,14.0,signed_d2_lr,0.01,-36.20805688351248,0.00040649373436425215,0.04072890906273778,-40.477293275340145,15,15,1,0,3000,20.0,12,0.01,0.35,15,-6.482962928026604
11882,14.0,signed_d2_lr,0.01,-36.20798350233377,0.0004062645292211479,0.04072703635167172,-40.477293275340145,15,15,1,0,3000,20.0,16,0.01,0.35,15,-6.482812774256108
11210,14.0,signed_d2_lr,0.01,-36.20769015860141,0.00040751293417977543,0.04073717484054154,-40.477293275340145,15,15,1,0,3000,20.0,8,0.01,0.35,15,-6.48056064096556
13058,14.0,signed_d2_lr,0.01,-36.19982649098365,0.00027111455102604026,0.041450140768343684,-40.477293275340145,15,15,1,0,3000,20.0,16,0.015,0.75,15,-6.407064313811494
12722,14.0,signed_d2_lr,0.01,-36.199791799984574,0.0002712284621256063,0.04145096164166542,-40.477293275340145,15,15,1,0,3000,20.0,12,0.015,0.75,15,-6.407126757069337
