cap,estimator,max_kappa,mean_delta_pct,mean_kappa,tau_multiplier,test_curve,test_label,tests,train_curve,train_label,wins
0.03,tau_x_0p25_cap_0p03,0.011554431677735327,-5.563948739422071,0.006456129992717705,0.25,wsd_20000_24000.csv,WSD sharp,3,cosine_72000.csv,Cosine,2
0.03,tau_x_0p25_cap_0p03,0.011554431677735327,-4.504949134532946,0.006456129992717705,0.25,wsdld_20000_24000.csv,WSD linear,3,cosine_72000.csv,Cosine,2
0.03,tau_x_0p25_cap_0p03,0.011554431677735327,-14.362080159119335,0.006456129992717705,0.25,wsdcon_3.csv,WSD-con 3e-5,3,cosine_72000.csv,Cosine,2
0.03,tau_x_0p25_cap_0p03,0.011554431677735327,-6.496580675162925,0.006456129992717705,0.25,wsdcon_9.csv,WSD-con 9e-5,3,cosine_72000.csv,Cosine,2
0.03,tau_x_0p25_cap_0p03,0.011554431677735327,-5.668150778408325,0.006456129992717705,0.25,wsdcon_18.csv,WSD-con 18e-5,3,cosine_72000.csv,Cosine,2
0.03,tau_x_0p25_cap_0p03,0.03,-3.6344209250699926,0.02496223123661742,0.25,cosine_72000.csv,Cosine,3,wsd_20000_24000.csv,WSD sharp,3
0.03,tau_x_0p25_cap_0p03,0.03,-19.518309582773366,0.02496223123661742,0.25,wsd_20000_24000.csv,WSD sharp,3,wsd_20000_24000.csv,WSD sharp,3
0.03,tau_x_0p25_cap_0p03,0.03,-16.25793956655872,0.02496223123661742,0.25,wsdld_20000_24000.csv,WSD linear,3,wsd_20000_24000.csv,WSD sharp,3
0.03,tau_x_0p25_cap_0p03,0.03,-30.493860572536487,0.02496223123661742,0.25,wsdcon_3.csv,WSD-con 3e-5,3,wsd_20000_24000.csv,WSD sharp,3
0.03,tau_x_0p25_cap_0p03,0.03,-10.953909603556388,0.02496223123661742,0.25,wsdcon_9.csv,WSD-con 9e-5,3,wsd_20000_24000.csv,WSD sharp,2
0.03,tau_x_0p25_cap_0p03,0.03,-9.310799266725011,0.02496223123661742,0.25,wsdcon_18.csv,WSD-con 18e-5,3,wsd_20000_24000.csv,WSD sharp,3
0.03,tau_x_0p25_cap_0p03,0.03,-3.962621423116442,0.027092254935140742,0.25,cosine_72000.csv,Cosine,3,wsdld_20000_24000.csv,WSD linear,3
0.03,tau_x_0p25_cap_0p03,0.03,-21.39109024957988,0.027092254935140742,0.25,wsd_20000_24000.csv,WSD sharp,3,wsdld_20000_24000.csv,WSD linear,3
0.03,tau_x_0p25_cap_0p03,0.03,-17.75638147036734,0.027092254935140742,0.25,wsdld_20000_24000.csv,WSD linear,3,wsdld_20000_24000.csv,WSD linear,3
0.03,tau_x_0p25_cap_0p03,0.03,-27.613659453868905,0.027092254935140742,0.25,wsdcon_3.csv,WSD-con 3e-5,3,wsdld_20000_24000.csv,WSD linear,3
0.03,tau_x_0p25_cap_0p03,0.03,-7.681797303340839,0.027092254935140742,0.25,wsdcon_9.csv,WSD-con 9e-5,3,wsdld_20000_24000.csv,WSD linear,2
0.03,tau_x_0p25_cap_0p03,0.03,-9.264805502753855,0.027092254935140742,0.25,wsdcon_18.csv,WSD-con 18e-5,3,wsdld_20000_24000.csv,WSD linear,3
0.03,tau_x_0p25_cap_0p03,0.02635829371339548,-2.7252123251194305,0.018880969632356644,0.25,cosine_72000.csv,Cosine,3,wsdcon_3.csv,WSD-con 3e-5,3
0.03,tau_x_0p25_cap_0p03,0.02635829371339548,-14.564679928003628,0.018880969632356644,0.25,wsd_20000_24000.csv,WSD sharp,3,wsdcon_3.csv,WSD-con 3e-5,3
0.03,tau_x_0p25_cap_0p03,0.02635829371339548,-12.170193518337292,0.018880969632356644,0.25,wsdld_20000_24000.csv,WSD linear,3,wsdcon_3.csv,WSD-con 3e-5,3
0.03,tau_x_0p25_cap_0p03,0.02635829371339548,-30.569398868167383,0.018880969632356644,0.25,wsdcon_3.csv,WSD-con 3e-5,3,wsdcon_3.csv,WSD-con 3e-5,3
0.03,tau_x_0p25_cap_0p03,0.02635829371339548,-11.987877587957337,0.018880969632356644,0.25,wsdcon_9.csv,WSD-con 9e-5,3,wsdcon_3.csv,WSD-con 3e-5,3
0.03,tau_x_0p25_cap_0p03,0.02635829371339548,-9.65041143457148,0.018880969632356644,0.25,wsdcon_18.csv,WSD-con 18e-5,3,wsdcon_3.csv,WSD-con 3e-5,3
0.03,tau_x_0p25_cap_0p03,0.03,-2.974304949233327,0.020713198189643126,0.25,cosine_72000.csv,Cosine,3,wsdcon_9.csv,WSD-con 9e-5,3
