group,mean_delta_pct,mean_peak_to_mean,mean_target_factor,mean_target_retention,mode,non_harm_cells,tests,wins,worst_delta_pct
main_matrix,-11.40874394853597,9.39666505851064,0.8333333333333334,0.32128262505855754,retention_gate_0p1,558,558,465,0.0
extra_holdout,0.0,0.6094878128732173,0.0,0.0017650528495065734,retention_gate_0p1,558,558,0,0.0
all,-5.704371974267985,5.003076435691928,0.4166666666666667,0.16152383895403205,retention_gate_0p1,1116,1116,465,0.0
main_matrix,-11.760941354928594,9.39666505851064,0.9838709677419355,0.32128262505855754,train_relative_gate_0p05,558,558,549,0.0
extra_holdout,1.177667784113108,0.6094878128732173,0.16666666666666666,0.0017650528495065734,train_relative_gate_0p05,465,558,0,22.53638404133347
all,-5.291636785407743,5.003076435691928,0.5752688172043011,0.16152383895403205,train_relative_gate_0p05,1023,1116,549,22.53638404133347
main_matrix,-11.475754643733813,9.39666505851064,0.8637992831541219,0.32128262505855754,train_relative_gate_0p1,558,558,482,0.0
extra_holdout,1.177667784113108,0.6094878128732173,0.16666666666666666,0.0017650528495065734,train_relative_gate_0p1,465,558,0,22.53638404133347
all,-5.1490434298103525,5.003076435691928,0.5152329749103942,0.16152383895403205,train_relative_gate_0p1,1023,1116,482,22.53638404133347
main_matrix,-11.40874394853597,9.39666505851064,0.8333333333333334,0.32128262505855754,train_relative_gate_0p2,558,558,465,0.0
extra_holdout,1.177667784113108,0.6094878128732173,0.16666666666666666,0.0017650528495065734,train_relative_gate_0p2,465,558,0,22.53638404133347
all,-5.1155380822114305,5.003076435691928,0.5,0.16152383895403205,train_relative_gate_0p2,1023,1116,465,22.53638404133347
main_matrix,-10.725065487525619,9.39666505851064,0.7849462365591398,0.32128262505855754,train_relative_gate_0p5,558,558,438,0.0
extra_holdout,0.0,0.6094878128732173,0.0,0.0017650528495065734,train_relative_gate_0p5,558,558,0,0.0
all,-5.362532743762809,5.003076435691928,0.3924731182795699,0.16152383895403205,train_relative_gate_0p5,1116,1116,438,0.0
