group,mean_delta_pct,mean_target_factor,mode,non_harm_cells,tests,train_size,wins,worst_delta_pct
extra_holdout,0.14795920391610193,0.023069176622539475,retention_alpha_0p5,90,135,2,0,1.6754211582526546
all,-3.868844624965384,0.2965655254038105,retention_alpha_0p5,270,315,2,180,1.6754211582526546
main_matrix,-7.253326899794118,0.5196604914679761,retention_alpha_0p5,180,180,3,180,-0.14594616163331464
extra_holdout,0.15381901521618163,0.02404509350925262,retention_alpha_0p5,120,180,3,0,1.7046157579813093
all,-3.549753942288968,0.2718527924886143,retention_alpha_0p5,300,360,3,180,1.7046157579813093
main_matrix,-7.890438426326965,0.5371891941728691,retention_alpha_0p5,90,90,4,90,-0.21699849644275515
extra_holdout,0.16520288794541957,0.02502184328936699,retention_alpha_0p5,90,135,4,0,1.4125258649968053
all,-3.0570536377635342,0.22988878364276794,retention_alpha_0p5,180,225,4,90,1.4125258649968053
main_matrix,-7.939718726365829,0.5396057660799469,retention_alpha_0p5,18,18,5,18,-0.22805660314784149
extra_holdout,0.16560808497715807,0.02521279596665918,retention_alpha_0p5,36,54,5,0,1.1355944454996214
all,-1.8607236178585889,0.15381103849498112,retention_alpha_0p5,54,72,5,18,1.1355944454996214
main_matrix,-6.046109734607449,0.41276461236589695,retention_alpha_0p75,90,90,1,90,-0.05333891735643803
extra_holdout,0.046197811340383026,0.006686540977259401,retention_alpha_0p75,36,54,1,0,0.4365392500654819
all,-3.761494404877012,0.2604853355951578,retention_alpha_0p75,126,144,1,90,0.4365392500654819
main_matrix,-5.3705119194071935,0.38461755213898924,retention_alpha_0p75,180,180,2,180,-0.04600652794919391
extra_holdout,0.03933174480717657,0.006081319700915008,retention_alpha_0p75,90,135,2,0,0.46078159920701633
all,-3.0520074918867497,0.2223877382369574,retention_alpha_0p75,270,315,2,180,0.46078159920701633
main_matrix,-5.676821641361212,0.40248703645089096,retention_alpha_0p75,180,180,3,180,-0.050902379846595736
extra_holdout,0.04145248004356697,0.006467280527481117,retention_alpha_0p75,120,180,3,0,0.4688108247454803
all,-2.817684580658822,0.20447715848918607,retention_alpha_0p75,300,360,3,180,0.4688108247454803
main_matrix,-6.2656233074206735,0.4213058424074058,retention_alpha_0p75,90,90,4,90,-0.0819096155575294
extra_holdout,0.04528518086947505,0.0068568724737293075,retention_alpha_0p75,90,135,4,0,0.3884789945435063
all,-2.479078214446584,0.17263646044719988,retention_alpha_0p75,180,225,4,90,0.3884789945435063
main_matrix,-6.320329296976999,0.4244208378258675,retention_alpha_0p75,18,18,5,18,-0.08608367797665606
extra_holdout,0.04554625436209724,0.006934132584382024,retention_alpha_0p75,36,54,5,0,0.3123161135160091
all,-1.5459226334726768,0.11130580889475336,retention_alpha_0p75,54,72,5,18,0.3123161135160091
