base_config_id,config_id,fit_start_step,max_mode,mean_delta,mean_kappa,mean_source_retention,mean_target_retention,median_delta,nonharm,nuisance_lambda,retention_power,rho_smooth,rho_step,ridge_tau,rows,smooth_lambda,step_lambda,wins,worst_delta
1300,1002,8000,8,-34.712655463793205,0.04127568282763238,0.02207427302616203,0.5261887482191262,-34.98219902002258,15,0.04,0.25,0.0,0.35,0.05,15,4.0,20.0,15,-5.733127466776211
100,6202,8000,8,-34.712655463793205,0.04127568282763238,0.02207427302616203,0.5261887482191262,-34.98219902002258,15,0.04,0.25,0.0,0.35,0.05,15,4.0,20.0,15,-5.733127466776211
1316,902,8000,12,-34.712582090398996,0.041274199410830915,0.022068791535611042,0.5258623854471114,-34.98089120669117,15,0.04,0.25,0.0,0.35,0.05,15,4.0,20.0,15,-5.732917279888827
108,6102,8000,12,-34.712582090398996,0.041274199410830915,0.022068791535611042,0.5258623854471114,-34.98089120669117,15,0.04,0.25,0.0,0.35,0.05,15,4.0,20.0,15,-5.732917279888827
1308,802,8000,16,-34.712507677579794,0.04127421754322136,0.02206846009054953,0.5258091386717108,-34.98031987664674,15,0.04,0.25,0.0,0.35,0.05,15,4.0,20.0,15,-5.732887119303887
116,6002,8000,16,-34.712507677579794,0.04127421754322136,0.02206846009054953,0.5258091386717108,-34.98031987664674,15,0.04,0.25,0.0,0.35,0.05,15,4.0,20.0,15,-5.732887119303887
1236,2223,8000,16,-34.71143277778576,0.040777138816601353,0.023500035451621826,0.5428919853183819,-41.728394704159754,15,0.05,0.25,0.35,0.5,0.05,15,4.0,20.0,15,-5.492167776277834
188,3623,8000,16,-34.71143277778576,0.040777138816601353,0.023500035451621826,0.5428919853183819,-41.728394704159754,15,0.05,0.25,0.35,0.5,0.05,15,4.0,20.0,15,-5.492167776277834
1244,2323,8000,12,-34.71141185841795,0.04077712327952472,0.02350030066247175,0.5429345910734116,-41.72852801915548,15,0.05,0.25,0.35,0.5,0.05,15,4.0,20.0,15,-5.492135221758332
180,3723,8000,12,-34.71141185841795,0.04077712327952472,0.02350030066247175,0.5429345910734116,-41.72852801915548,15,0.05,0.25,0.35,0.5,0.05,15,4.0,20.0,15,-5.492135221758332
1228,2423,8000,8,-34.71040912041017,0.0407780472536758,0.023504689760579664,0.5431959145327,-41.7289739802861,15,0.05,0.25,0.35,0.5,0.05,15,4.0,20.0,15,-5.489810167432041
172,3823,8000,8,-34.71040912041017,0.0407780472536758,0.023504689760579664,0.5431959145327,-41.7289739802861,15,0.05,0.25,0.35,0.5,0.05,15,4.0,20.0,15,-5.489810167432041
1581,3444,12000,12,-34.70473673946133,0.04611877466832791,0.018520596854298355,0.4746148908293079,-41.017070800498615,15,0.02,0.0,0.6,0.6,0.05,15,7.0,20.0,15,-5.865026047119493
1565,3544,12000,8,-34.70415141637099,0.046119370600458044,0.018530687724008846,0.475275719197431,-41.016435989528766,15,0.02,0.0,0.6,0.6,0.05,15,7.0,20.0,15,-5.865522127253476
1564,147,8000,8,-34.69125341569931,0.04586835445682888,0.02016252651380646,0.475275719197431,-36.94572341279607,15,0.02,0.0,0.6,1.0,0.05,15,7.0,20.0,15,-5.448407891460782
1580,47,8000,12,-34.69042706026403,0.045865846637412534,0.02015016796119049,0.4746148908293079,-36.942905533290016,15,0.02,0.0,0.6,1.0,0.05,15,7.0,20.0,15,-5.4483108213330915
179,7014,5000,12,-34.68358733105252,0.04304107972924355,0.024356850742001453,0.5429345910734116,-34.35921790291688,15,0.05,0.25,0.2,0.6,0.05,15,4.0,20.0,15,-5.814860469699134
187,6914,5000,16,-34.68358122407144,0.04304101440973839,0.024356544896885636,0.5428919853183819,-34.358895557407564,15,0.05,0.25,0.2,0.6,0.05,15,4.0,20.0,15,-5.815010614913563
171,7114,5000,8,-34.683208314249576,0.04304199334693488,0.024361911031878094,0.5431959145327,-34.361311429567955,15,0.05,0.25,0.2,0.6,0.05,15,4.0,20.0,15,-5.811977132247559
1579,1756,5000,12,-34.6633837347865,0.048279129734951395,0.02131147995263134,0.4746148908293079,-36.7491475917852,15,0.02,0.0,0.75,0.9,0.05,15,7.0,20.0,15,-6.156982086132001
1563,1856,5000,8,-34.66086833280319,0.04828180423654428,0.021325723103067667,0.475275719197431,-36.75567377884651,15,0.02,0.0,0.75,0.9,0.05,15,7.0,20.0,15,-6.156926431007326
1228,2415,8000,8,-34.655447532466475,0.038981285923767275,0.023504689760579664,0.5431959145327,-36.9057466218947,15,0.05,0.25,0.2,0.75,0.05,15,4.0,20.0,15,-5.38067105025063
172,3815,8000,8,-34.655447532466475,0.038981285923767275,0.023504689760579664,0.5431959145327,-36.9057466218947,15,0.05,0.25,0.2,0.75,0.05,15,4.0,20.0,15,-5.38067105025063
