config_id,gate_mode,gate_sign,gate_tau,mean_delta,mean_step_curvature_coef,mean_step_gate_coef,mean_step_primary_coef,median_delta,nonharm,rows,shrink_gate,wins,worst_delta
14,lr,signed,0.03,-34.96713642823912,0.018542806209491405,0.0455147508284023,0.039711936374173966,-40.477293275340145,15,15,1,15,-1.6652543847937573
15,lr,signed,0.03,-33.41347111342866,0.018542806209491405,0.06144491361834311,0.039711936374173966,-40.477293275340145,14,15,0,14,4.218705835837588
16,lr,nonpos,0.1,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,15,-10.801466736917275
17,lr,nonpos,0.1,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,15,-10.801466736917275
18,lr,signed,0.1,-37.455632165415516,0.018687797249308163,0.004186439605169409,0.04064297717494071,-40.477293275340145,15,15,1,15,-10.309273587846446
19,lr,signed,0.1,-37.40662671002945,0.018687797249308163,0.0056516934669787015,0.04064297717494071,-40.477293275340145,15,15,0,15,-10.1236795662754
20,lr,nonpos,0.3,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,15,-10.801466736917275
21,lr,nonpos,0.3,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,15,-10.801466736917275
22,lr,signed,0.3,-37.52897458831908,0.018700849338115347,0.00046606127759456467,0.040726789552066586,-40.477293275340145,15,15,1,15,-10.746672620941366
23,lr,signed,0.3,-37.52863876857581,0.018700849338115347,0.0006291827247526623,0.040726789552066586,-40.477293275340145,15,15,0,15,-10.726011097387754
24,sqrt_lr,nonpos,0.001,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,15,-10.801466736917275
25,sqrt_lr,nonpos,0.001,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,15,-10.801466736917275
26,sqrt_lr,signed,0.001,164.27704310735785,0.017144926619331584,0.8648411715767185,0.0,210.55288956346052,6,15,1,6,402.09137702221733
27,sqrt_lr,signed,0.001,245.28339260156955,0.017144926619331584,1.16753558162857,0.0,295.7970506026341,6,15,0,6,597.1770491476075
28,sqrt_lr,nonpos,0.003,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,15,-10.801466736917275
29,sqrt_lr,nonpos,0.003,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,15,-10.801466736917275
30,sqrt_lr,signed,0.003,144.90577863762064,0.01726974370192708,0.7924917287749668,0.0,190.1405861377376,6,15,1,6,355.4824801792086
31,sqrt_lr,signed,0.003,219.11746047546146,0.01726974370192708,1.0698638338462052,0.0,268.2468517913573,6,15,0,6,534.2632180374729
32,sqrt_lr,nonpos,0.01,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,15,-10.801466736917275
33,sqrt_lr,nonpos,0.01,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,15,-10.801466736917275
34,sqrt_lr,signed,0.01,46.476674547574824,0.01798890075397031,0.3899820996811494,0.015082503223553654,85.07209702128769,6,15,1,6,143.16316343434426
35,sqrt_lr,signed,0.01,82.87596408502768,0.01798890075397031,0.5264758345695516,0.015082503223553654,123.16022210263995,6,15,0,6,213.13710350687023
36,sqrt_lr,nonpos,0.03,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,15,-10.801466736917275
37,sqrt_lr,nonpos,0.03,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,15,-10.801466736917275
38,sqrt_lr,signed,0.03,-25.738110145630476,0.018575283051881466,0.06951308191944666,0.03616440270401714,-32.305250097560204,11,15,1,11,10.54575305302301
39,sqrt_lr,signed,0.03,-19.426435209402964,0.018575283051881466,0.09384266059125301,0.03616440270401714,-17.622939355159197,10,15,0,10,21.464480740992254
40,sqrt_lr,nonpos,0.1,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,15,-10.801466736917275
41,sqrt_lr,nonpos,0.1,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,15,-10.801466736917275
