base_mae,corr_mae,delta_pct,feature,kappa,origin_r2,pearson,scale,test_curve,test_group,test_label,train_curves,train_id,win
0.00744534704076948,0.007262022086729694,-2.462275472666753,S10_current,0.016135752669323045,0.0414448861633252,-0.03833892602063817,25,cosine_72000.csv,cosine,Cosine 72k,wsdcon_9,probe9,1
0.003408385839825258,0.0029056417948110013,-14.750209296727723,S10_current,0.016135752669323045,0.38447423710404416,0.7998285798301222,25,wsd_20000_24000.csv,wsd,WSD exp,wsdcon_9,probe9,1
0.0031360955249893426,0.0027743224659741474,-11.535779319618289,S10_current,0.016135752669323045,0.31839679303800605,0.742177661440994,25,wsdld_20000_24000.csv,wsd,WSD linear,wsdcon_9,probe9,1
0.004487187642230267,0.0027686674559162638,-38.29838026251666,S10_current,0.016135752669323045,0.7508041540096497,0.8694804302664777,25,wsdcon_3.csv,probe,WSD-con 3e-5,wsdcon_9,probe9,1
0.002926482771138891,0.002199432037829934,-24.84384123081691,S10_current,0.016135752669323045,0.4667765673717962,0.7742908469156718,25,wsdcon_9.csv,probe,WSD-con 9e-5,wsdcon_9,probe9,1
0.002504818961791151,0.002174671267236181,-13.180501249435094,S10_current,0.016135752669323045,0.347965864654167,0.6301224745790838,25,wsdcon_18.csv,probe,WSD-con 18e-5,wsdcon_9,probe9,1
0.007265129575917493,0.00708989660592381,-2.411973085442909,S10_current,0.015428668529379243,0.042114111799387066,0.424861605769005,100,cosine_72000.csv,cosine,Cosine 72k,wsdcon_9,probe9,1
0.0037480705220761528,0.0032701683917427714,-12.750617351475524,S10_current,0.015428668529379243,0.3295514213148447,0.9645067924639874,100,wsd_20000_24000.csv,wsd,WSD exp,wsdcon_9,probe9,1
0.003248313740665229,0.0029044168465793383,-10.586935916339879,S10_current,0.015428668529379243,0.3027631197741627,0.9575628569010617,100,wsdld_20000_24000.csv,wsd,WSD linear,wsdcon_9,probe9,1
0.0056693997340904675,0.004486745916900294,-20.860300431433675,S10_current,0.015428668529379243,0.5289606444175117,0.7749996484485985,100,wsdcon_3.csv,probe,WSD-con 3e-5,wsdcon_9,probe9,1
0.004934623402238123,0.004657600930585799,-5.613852346395454,S10_current,0.015428668529379243,0.12929593649029747,0.5815254899829824,100,wsdcon_9.csv,probe,WSD-con 9e-5,wsdcon_9,probe9,1
0.0013816404339982303,0.0012209160822973662,-11.632863930867698,S10_current,0.015428668529379243,0.35615576061070275,0.5677353309044975,100,wsdcon_18.csv,probe,WSD-con 18e-5,wsdcon_9,probe9,1
0.005612615040270773,0.00540263656005773,-3.7411879971535167,S10_current,0.028340519806877164,0.06776611745149042,0.551916276263263,400,cosine_72000.csv,cosine,Cosine 72k,wsdcon_9,probe9,1
0.004701998914275349,0.003816692699562259,-18.828294749819808,S10_current,0.028340519806877164,0.42948376708659575,0.963082525253404,400,wsd_20000_24000.csv,wsd,WSD exp,wsdcon_9,probe9,1
0.0038535563963712593,0.0032174934070167624,-16.505869486001345,S10_current,0.028340519806877164,0.41123902587328187,0.9545284127726328,400,wsdld_20000_24000.csv,wsd,WSD linear,wsdcon_9,probe9,1
0.008173606778800102,0.00527053697781753,-35.51761027349969,S10_current,0.028340519806877164,0.6942533874995086,0.8828684614369374,400,wsdcon_3.csv,probe,WSD-con 3e-5,wsdcon_9,probe9,1
0.006687305974578527,0.006143421859152095,-8.13308255213656,S10_current,0.028340519806877164,0.2207855537806087,0.7339771420310919,400,wsdcon_9.csv,probe,WSD-con 9e-5,wsdcon_9,probe9,1
