cosine_to_wsd,feature,max_kappa,mean_all,mean_kappa,mean_off_group,mean_wsd_targets,probe_to_wsd,tests_all,train_id,wins_all,worst_off_group
nan,S10_cap1024,0.10880673425447232,-8.565122519475551,0.0813834504821907,10.072535399432805,-45.840438357292264,nan,18,wsd,13,64.40920866059498
nan,step_tau256,0.22142367845864014,2.1246904703421277,0.16867027049128552,17.56551379920433,-28.75695618738227,nan,18,wsd,9,74.70180600642414
nan,S20_cap512,0.1983041554247277,-0.7294736769230753,0.1488162363321477,20.203703640209483,-42.5958283111882,nan,18,wsd,9,66.73249572011797
nan,S20_cap1024,0.1828397851390439,0.522554785429886,0.13676509408792611,23.29491474672839,-45.02216513716712,nan,18,wsd,9,57.78826746542407
nan,S10_cap2048,0.10180534421289072,0.07392848817582494,0.07598381673404037,24.158016981398053,-48.094248498268634,nan,18,wsd,10,59.50666371419287
nan,S10_current,0.10137762438248095,13.220457438328118,0.07567308498517272,43.931836420719264,-48.20230052645419,nan,18,wsd,10,144.57286970182827
nan,S20,0.18167714297684961,15.137539460170855,0.13592418144163762,45.30565386917797,-45.19868935784337,nan,18,wsd,9,144.26740322028206
nan,S50,0.41012068786715067,24.474015949105915,0.3076163940670814,57.74673538712427,-42.0714229269308,nan,18,wsd,9,139.46441575431533
nan,S100,0.7721988728938384,46.485002343494834,0.5798879384550558,89.87909741402096,-40.303187797557435,nan,18,wsd,9,184.85483347901254
nan,S200,1.4729647471842295,85.19703695159716,1.1068189638350276,147.3203578897887,-39.049604924785946,nan,18,wsd,9,289.89333710435596
246.37108813329678,step_tau2048,0.27856663290470995,363.04278034999305,0.2414612208481944,449.99677783140095,246.37108813329678,nan,18,cosine,3,1136.5365882173905
349.7137330196231,step_tau1024,0.5539993714799405,418.3901526434061,0.480376598540666,516.40024598895,349.7137330196231,nan,18,cosine,3,1205.5375028242233
254.98909540183715,S10_cap2048,0.5754750346282461,444.8298113968238,0.4898372182168689,542.2368679305076,254.98909540183715,nan,18,cosine,3,1572.300139003168
407.84425665742714,step_tau512,1.1045865697923776,463.93422532770296,0.9577856610410854,570.9762374650105,407.84425665742714,nan,18,cosine,3,1284.2044444815367
