channel,delta_first_vs_pure_pct,delta_refit_mpl_vs_pure_pct,delta_vs_first_error_pct,delta_vs_pure_pct,final_error_mae,final_smooth_coef,final_step_curvature_coef,final_step_primary_coef,final_target_retention,first_error_mae,first_smooth_coef,first_step_curvature_coef,first_step_primary_coef,first_target_retention,pure_mpl_mae,refit_mpl_mae,scale,test_curve,test_label,variant,win_vs_first_error,win_vs_pure
smooth,-31.681286986452008,0.5521610956519263,-0.7361068821260086,-32.18418573472464,0.00411344884285767,0.04918112306640413,0.02027062684476877,0.09157244398517646,0.31973859000646515,0.004143952764348088,0.04898284995669083,0.02023703096506908,0.09120634014503035,0.31973859000646515,0.006065618893503333,0.006099110881243771,400,wsdld_20000_24000.csv,WSD linear,step_only,1,1
step,-61.67632967375416,5.0574436694495795,2.4732293209677403,-60.72849742237444,0.006039340875973262,0.04918112306640413,0.02027062684476877,0.09157244398517646,0.44185264606654295,0.005893579148420095,0.04898284995669083,0.02023703096506908,0.09120634014503035,0.44190353138363614,0.015378430871178581,0.016156186349733682,400,wsdcon_3.csv,WSD-con 3e-5,step_only,0,1
step,-27.398735435516265,3.499497807933527,-1.5299134803922088,-28.509471969023505,0.006457657909793855,0.04918112306640413,0.02027062684476877,0.09157244398517646,0.7495430667249908,0.006557989474811701,0.04898284995669083,0.02023703096506908,0.09120634014503035,0.749590662618146,0.009032886016726277,0.009348991664874746,400,wsdcon_9.csv,WSD-con 9e-5,step_only,1,1
step,-15.025693297652687,9.883172646605164,6.227523968953963,-9.733897980311546,0.004394920859300834,0.04918112306640413,0.02027062684476877,0.09157244398517646,0.8679498916036247,0.004137271297583188,0.04898284995669083,0.02023703096506908,0.09120634014503035,0.867980776969021,0.004868849724276598,0.005350046548430613,400,wsdcon_18.csv,WSD-con 18e-5,step_only,0,1
smooth,-29.5084918638418,-10.170176780999396,-17.74154609532217,-42.01477527310609,0.0024952930795335494,0.024413874141470112,0.011009814553681966,0.04787836384309757,0.2662406679882105,0.0030334791879569334,0.02420899317439569,0.011031540753919438,0.04769938361833003,0.2662406679882105,0.004303325702859985,0.0038656698714169394,25,wsd_20000_24000.csv,WSD sharp,smooth_plus_step,1,1
smooth,-16.880609023662686,-12.64016634541555,-19.863504005850984,-33.39103257988639,0.00257150737658811,0.024413874141470112,0.011009814553681966,0.04787836384309757,0.3198517221283153,0.0032089091801266964,0.02420899317439569,0.011031540753919438,0.04769938361833003,0.3198517221283153,0.003860602372604268,0.003372615810772029,25,wsdld_20000_24000.csv,WSD linear,smooth_plus_step,1,1
step,-52.87815483344662,1.1847133322600678,-13.677952816007032,-59.32345858135968,0.0034946868435308206,0.024413874141470112,0.011009814553681966,0.04787836384309757,0.4087545826258799,0.004048429060170452,0.02420899317439569,0.011031540753919438,0.04769938361833003,0.4088909831017751,0.008591406057766149,0.008693189590761104,25,wsdcon_3.csv,WSD-con 3e-5,smooth_plus_step,1,1
step,-28.40013634317151,-3.8893963753480643,-6.738986427643545,-33.22524143721647,0.00404135020351751,0.024413874141470112,0.011009814553681966,0.04787836384309757,0.7198961588738917,0.004333375811299792,0.02420899317439569,0.011031540753919438,0.04769938361833003,0.7200309593150199,0.006052212378600692,0.00581681784971903,25,wsdcon_9.csv,WSD-con 9e-5,smooth_plus_step,1,1
step,-14.273967180468016,-2.7609348007083145,-3.2758520581944284,-17.082225190995082,0.003428142459215026,0.024413874141470112,0.011009814553681966,0.04787836384309757,0.850230302290213,0.003544246738960761,0.02420899317439569,0.011031540753919438,0.04769938361833003,0.8503186355117636,0.004134387912738256,0.004020240158059188,25,wsdcon_18.csv,WSD-con 18e-5,smooth_plus_step,1,1
smooth,-47.42184213260951,-6.383264818203205,-18.91795179309851,-57.36855269166168,0.0018522896210575652,0.03856655072029441,0.015223512791301809,0.06902058433191455,0.2686449951276333,0.002284463283822057,0.03800463456838331,0.01525007605232624,0.06853553713634956,0.2686449951276333,0.004344890305179187,0.004067544450939162,100,wsd_20000_24000.csv,WSD sharp,smooth_plus_step,1,1
